	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	ETV6	FOS	FOXN2	FOXO3	GTF2B	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20A	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POGK	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YBX3	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF22	ZNF267	ZNF274	ZNF281	ZNF32	ZNF322	ZNF37A	ZNF385A	ZNF394	ZNF444	ZNF524	ZNF580	ZNF677	ZNF75A	ZNF780A
Asthma						HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5									CD40 HLA-DRA							HLA-DQB1 HLA-DRA					HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5			HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5								HLA-DPA1 HLA-DRB1		HLA-DMA HLA-DQB1		HLA-DMA HLA-DMB			HLA-DPA1 HLA-DRA HLA-DRB1	CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5		CD40 HLA-DPB1 HLA-DRB5	CD40 HLA-DMA						HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1						HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5	HLA-DQA1 HLA-DQB1		CD40 HLA-DMA						CD40 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1			CD40 HLA-DQA1 HLA-DQB1 HLA-DRA	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	HLA-DPA1 HLA-DPB1 HLA-DRA	CD40 HLA-DMB HLA-DPB1 HLA-DQA1					CD40 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5				HLA-DMA HLA-DMB	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1								HLA-DPA1 HLA-DPB1																				CD40 HLA-DMA												
Autoimmune_thyroid_disease				HLA-DMB HLA-E		HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5									CD40 HLA-DRA							HLA-DQB1 HLA-DRA					CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5			HLA-A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5								HLA-DPA1 HLA-DRB1		HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRB1	HLA-DMA HLA-DMB	CD40 CD80 HLA-A HLA-DMB		HLA-DPA1 HLA-DRA HLA-DRB1	CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E	CD40 CD86 HLA-A HLA-DMB HLA-E	CD40 HLA-DPB1 HLA-DRB5 HLA-E	CD40 CD86 HLA-DMA HLA-E						CD80 HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 HLA-E						CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E	HLA-DQA1 HLA-DQB1		CD40 HLA-DMA						CD40 CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E			CD40 CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	CD86 HLA-DPA1 HLA-DPB1 HLA-DRA	CD40 CD80 CD86 HLA-A HLA-DMB HLA-DPB1 HLA-DQA1 HLA-E			CD80 CD86 HLA-A HLA-DRA	CD80 HLA-A HLA-DMB HLA-E	CD40 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		CD40 CD80 HLA-A HLA-E		HLA-DMA HLA-DMB	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		CD40 CD86 HLA-E		CD40 CD80 HLA-A HLA-DQA1 HLA-E		CD80 CD86 HLA-A HLA-E		CD86 HLA-DPA1 HLA-DPB1											CD80 CD86 HLA-DMA HLA-DMB HLA-E		CD86 HLA-A HLA-E							CD40 HLA-DMA						CD80 CD86 HLA-A						
B_cell_receptor_signaling_pathway																																													FCGR2B NFKBIA					FCGR2B FOS					IFITM1 NFKB1 NFKBIA																				FCGR2B FOS JUN NFKBIA																																										FCGR2B NFKBIA									
Bacterial_invasion_of_epithelial_cells																							ACTB ACTG1																																																																									ACTB ACTG1																	ACTB ACTG1						ACTB ACTG1							
Bile_secretion																																																		AQP9 ATP1B1																																AQP9 ATP1B1																																												
Bladder_cancer	CCND1 MMP9					CCND1 CDKN1A CDKN2A MMP9				CDKN1A MMP9 TYMP						CDKN1A MDM2												CCND1 CDKN1A MMP9						CCND1 CDKN2A						CDKN1A CDKN2A																CDKN1A CDKN2A													CCND1 CDKN1A					CCND1 CDKN1A CDKN2A MMP9					CDKN2A MDM2 MMP9										CDKN1A CDKN2A				CCND1 MMP9 TYMP	CCND1 MMP9			CDKN2A MDM2					CCND1 CDKN1A		CDKN1A CDKN2A																						
Calcium_signaling_pathway																																																																																						CALM1 CALM3 CYSLTR1															CALM3 SLC25A5																									
Cardiac_muscle_contraction	COX5B SLC8A1																					COX5B SLC8A1																																																	COX5B SLC8A1																													COX5B TPM4																										
Cell_adhesion_molecules_(CAMs)						ALCAM HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 ITGB8 PDCD1LG2		CD80 HLA-DMB ITGB8 PDCD1LG2	CLDN7 HLA-E SDC2	ALCAM CD274 CD40 CD86 HLA-E ICAM1 ITGB8 PDCD1LG2 PVRL2					ALCAM CD40 HLA-DRA								ALCAM CLDN23 ITGB7				CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1 ITGB8 PDCD1LG2			CD274 HLA-A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 PTPRC											ALCAM CD80 CLDN7 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRB1 ICAM3 ITGB8 PDCD1LG2 PTPRC SDC2		CD274 CD40 CD80 CLDN7 HLA-A HLA-DMB ICAM1 ITGB8 PDCD1LG2 PVRL2		HLA-DPA1 HLA-DRA HLA-DRB1	CD274 CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E	CD274 CD40 CD86 HLA-A HLA-DMB HLA-E ICAM1 ITGB8	CD40 HLA-DPB1 HLA-DRB5 HLA-E	CD274 CD40 CD86 HLA-DMA HLA-E PVRL2	ALCAM CD86 SDC2					CD80 HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 HLA-E ICAM1						CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E ITGB8 PDCD1LG2 PTPRC			CD40 HLA-DMA ICAM1						CD274 CD40 CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E ITGB8 PDCD1LG2 PTPRC PVRL2			CD40 CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E ICAM1 ITGB8	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 PDCD1LG2 PTPRC SDC2	CD274 CD86 HLA-DPA1 HLA-DPB1 HLA-DRA ITGB8 PDCD1LG2	CD274 CD40 CD80 CD86 HLA-A HLA-DMB HLA-DPB1 HLA-DQA1 HLA-E ICAM1 ITGB8 PDCD1LG2 PTPRC PVRL2			CD80 CD86 HLA-A HLA-DRA ICAM1 ITGB8		CD40 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1 PTPRC		CD274 CD40 CD80 HLA-A HLA-E ICAM1	CD40 ITGB8	HLA-DMA HLA-DMB	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		ALCAM CD40 CD86 HLA-E ICAM1		CD274 CD40 CD80 HLA-A HLA-DQA1 HLA-E ICAM1 PVRL2 SDC2	CD274 CD40 CD80 HLA-A ICAM1 PDCD1LG2 PVRL2	CD274 CD80 CD86 HLA-A HLA-E ICAM1 ITGB8 PVRL2 SDC2	CLDN7 HLA-DMA HLA-DMB HLA-E ICAM1 ITGB8 PDCD1LG2	CD86 HLA-DPA1 HLA-DPB1 ITGB8											CD274 CD80 CD86 CLDN7 HLA-DMA HLA-DMB HLA-E ICAM1 PVRL2		ALCAM CD86 HLA-A HLA-E			HLA-DMA ITGB8				CD40 CLDN7 HLA-DMA ICAM1									HLA-DMB SDC2	HLA-DPA1 ITGB8		
Cell_cycle						CCND1 CDKN1A CDKN2A GADD45G YWHAH YWHAQ										CDKN1A MDM2									CCND1 CCND2 CDKN1A GADD45B GADD45G YWHAQ			CCND1 CDKN1A YWHAH YWHAQ																						PTTG1 YWHAH YWHAQ						CDKN1A CDKN2A													CCND1 CDKN1A YWHAQ																				CDKN1A CDKN2A GADD45G PTTG1 YWHAH								CDKN2A MDM2							CDKN1A CDKN2A																						
Chagas_disease_(American_trypanosomiasis)	CCL2 CCL3 GNA15		C1QC IFNGR2 IL1B			C3 IFNGR1 IL1B JUN TLR2				C1QB CCL2 CCL3 CCL3L3 GNA15 IFNGR2 IL1B NFKB1 NFKBIA TLR2		C1QA C1QC CFLAR FOS IFNGR1									CCL3L3 GNA15 IL1B NFKB1 NFKBIA	C3 TLR2					C1QA C1QB C1QC CALR CCL2 CCL3 CCL3L3 CCL5 GNA15 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2	C1QA C3 CALR CCL2 CCL3L3								C1QB C1QC	C1QC CCL5 GNA15 IFNGR2 IL1B TLR2	C1QA CCL3 CCL5			C1QA C1QB C1QC C3 CALR CCL3 GNA15 IFNGR1 IL1B NFKBIA TLR2	C1QC CCL2 CCL3 CCL3L3 IL1B TLR2			C1QA C1QB C1QC CCL3 IFNGR1 NFKBIA			C1QC CCL5 GNA15	CCL3 CCL5 CFLAR IFNGR2	CCL3 CCL3L3 FOS							CCL3 CCL3L3	C1QB C1QC CCL2 GNA15 IFNGR1 TLR2			C1QA C1QB C1QC C3 CALR CCL3 IFNGR1 IL1B NFKBIA TLR2							C1QA IFNGR1 IL1B		C1QA C1QB C1QC C3 CALR CCL3 CCL5 GNA15 IFNGR1 IFNGR2 NFKB1 NFKBIA TLR2			CALR CCL2 CCL3 CCL3L3 CCL5 IFNGR2 NFKB1 NFKBIA	C1QA C1QB C1QC C3 CCL3 CCL3L3 IFNGR1 IL1B TLR2	C1QA C1QB C1QC CCL2 CCL3 CCL3L3 FOS IFNGR2 IL1B JUN NFKBIA TLR2	C1QA C1QB C1QC C3 CALR CCL2 CCL3 CCL3L3 CCL5 GNA15 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2			CCL2 CCL3 CCL3L3 IFNGR1 IFNGR2 IL1B JUN		C1QA C1QB CCL2 CCL3 CCL3L3 IFNGR2 IL1B			CCL5 NFKBIA		C1QA C1QB CCL3					CCL2 CCL3 CCL5 CFLAR NFKBIA		C1QB C3 CALR CCL5 IFNGR2 IL1B JUN NFKBIA TLR2	C1QA C1QB C1QC IFNGR1 IL1B	C1QB CCL2 CCL5 GNA15 NFKBIA			C3 CCL2 GNA15 IFNGR2 IL1B NFKB1 TLR2							C3 CALR CCL3 CCL3L3 CCL5 CFLAR IL1B NFKBIA				C1QA C3 CCL3		C3 IFNGR1 JUN			CCL5 CFLAR IFNGR2			NFKBIA TLR2									
