	ATF3	ATF5	BATF3	CEBPD	CEBPZ	DDIT3	DNMT1	ETS2	ETV5	FOS	FOXO3	HIF1A	HMG20B	HMGA1	HMGN3	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	KLF10	KLF3	KLF6	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TCF7L2	XBP1	YBX1	YY1	ZNF267
Measles	0	0	8	0	0	0	0	9	0	0	0	7	0	11	0	14	3	11	14	8	12	0	0	0	0	5	0	0	0	2	14	10	8	7	22	0	7	11	0	12	0	0	14	0	0	7	3	0
Mineral_absorption	0	3	0	0	0	2	0	9	3	4	0	8	5	7	6	4	0	0	0	0	0	0	6	6	0	0	6	8	0	0	0	0	9	6	9	0	4	0	0	0	0	4	0	0	0	8	0	0
Osteoclast_differentiation	6	4	12	3	0	0	0	15	5	11	0	5	4	15	0	13	4	6	10	0	8	4	0	0	7	8	12	3	0	3	17	8	11	12	22	0	13	11	6	10	0	4	17	0	0	8	0	0
Oxidative_phosphorylation	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	8	0	0
PPAR_signaling_pathway	0	0	10	0	0	0	0	9	0	6	5	6	3	11	3	7	0	4	7	0	7	0	0	2	0	0	10	2	0	2	10	7	0	7	12	3	9	5	6	5	0	0	7	2	0	6	0	0
Parkinson's_disease	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	8	0	4	0	4	7	8	3	4	0	0	0	8	0	0	8	0	7	0	0	0	0	0	0	0	10	0	0
Pathogenic_Escherichia_coli_infection	4	0	0	0	0	0	7	0	7	4	8	0	8	9	5	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	5	0	5	3	0	0	0	7	0	5	0	0	5	3	5	0	3	5
Phagosome	15	0	0	7	0	8	8	20	14	19	15	5	12	26	11	9	6	8	8	6	0	5	0	0	10	12	22	4	0	4	22	10	23	16	24	0	8	18	17	14	5	0	15	7	4	9	5	5
Rheumatoid_arthritis	11	3	10	0	0	3	0	20	0	8	4	0	3	12	9	8	5	7	9	4	6	6	0	0	8	4	18	3	0	2	14	11	16	13	17	3	13	9	14	6	6	3	8	3	0	11	0	0
Staphylococcus_aureus_infection	12	3	0	7	0	3	0	18	6	9	4	0	5	17	4	5	8	4	4	5	0	2	0	0	8	8	18	3	0	3	16	6	17	10	16	0	8	4	13	0	7	0	7	2	0	6	0	0
Systemic_lupus_erythematosus	7	4	0	5	0	3	0	17	5	9	0	0	4	14	0	0	7	6	8	6	0	0	0	0	6	0	17	3	0	2	18	8	14	11	20	0	6	8	13	7	7	0	9	0	0	9	0	0
Toll-like_receptor_signaling_pathway	0	0	8	0	0	2	0	12	0	5	0	4	0	8	6	0	3	4	6	4	6	3	0	0	0	0	9	0	0	0	11	8	8	10	14	0	5	6	6	6	2	0	7	0	0	11	0	0
Toxoplasmosis	11	0	7	3	0	4	0	12	0	9	0	0	4	0	0	0	5	7	0	0	6	0	0	0	6	0	12	0	0	2	15	8	11	7	13	0	0	8	11	7	5	0	0	0	0	0	0	0
Tuberculosis	19	0	12	5	0	7	0	23	9	18	6	6	8	23	7	0	8	8	0	0	0	3	4	3	9	9	21	4	0	7	21	10	24	17	24	0	12	14	17	10	8	0	12	3	0	11	0	0
Type_I_diabetes_mellitus	8	2	3	0	0	2	0	11	0	6	0	0	2	7	3	0	3	5	4	3	3	0	2	0	6	0	12	0	0	2	9	6	10	5	9	0	5	5	10	3	5	0	4	0	0	6	3	0
Viral_myocarditis	10	0	5	0	0	2	2	12	4	7	5	0	3	9	5	7	3	6	8	4	4	0	0	0	7	0	13	0	0	0	13	9	11	4	12	3	7	7	13	8	5	0	8	3	2	6	3	2
p53_signaling_pathway	7	0	0	0	3	2	0	0	3	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	3	5	0	0	0	0	0
