	ATF3	ATF5	BATF3	CEBPD	CEBPZ	DDIT3	DNMT1	ETS2	ETV5	FOS	FOXO3	HIF1A	HMG20B	HMGA1	HMGN3	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	KLF10	KLF3	KLF6	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TCF7L2	XBP1	YBX1	YY1	ZNF267
Hematopoietic_cell_lineage	CD14 CD33 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA		CD36 CD44 CD55 CSF1 CSF2RA IL1B IL2RA IL7R			CD14 HLA-DRA		CD14 CD36 CD38 CD44 CD55 CD9 CSF1R CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA IL3RA IL7R MME		CD14 CD36 CD9 CSF1R HLA-DRA HLA-DRB1 HLA-DRB5 IL7R		CD14 CD38 IL1B IL2RA IL3RA	CD14 CSF1 FCGR1A	ANPEP CD14 CD33 CD44 CD9 CSF1 CSF2RA FCGR1A HLA-DRB1 IL1B IL2RA IL7R MME	CD14 CD55 IL1B IL3RA TFRC		CD14 CSF1R HLA-DRA HLA-DRB1	CD36 HLA-DRB1 HLA-DRB5 IL7R	CD36 CD44 CD55 IL2RA IL7R MME							ANPEP CD14 CSF1 CSF1R TFRC	ANPEP CD14 CD33 CD44 CD55 CSF1 CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA IL7R MME			CD44 IL1B	ANPEP CD14 CD36 CD38 CD44 CD9 CSF1R CSF2RA HLA-DRA HLA-DRB1 IL2RA IL3RA IL7R MME	CD36 CD44 CD9 HLA-DRA IL7R	CD14 CD33 CSF1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA TFRC	ANPEP CD14 CD33 CD38 CD9 HLA-DRA IL1B	CD14 CD36 CD38 CD44 CD9 CSF1R CSF2RA IL1B IL2RA IL3RA IL7R MME		ANPEP CD38 CD44 CD9 CSF1R CSF2RA HLA-DRA IL1B IL3RA IL7R		ANPEP CD14 CD36 CD38 CD44 CD55 CD9 CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL3RA MME		HLA-DRA HLA-DRB1	CD33 CSF1 IL2RA	CD36 CD38 CD44 CD9 IL7R MME			CD44 CD9 FCGR1A IL1B IL3RA		
Intestinal_immune_network_for_IgA_production	CXCR4 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5	CD80 HLA-DMB				HLA-DQB1 HLA-DRA		CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL15RA			HLA-DMA HLA-DQB1	CD80 CXCR4 HLA-DQA1 HLA-DQB1 HLA-DRB1 TNFSF13B	HLA-DMA HLA-DMB	CD40 CD80 HLA-DMB IL15RA TNFSF13B	HLA-DPA1 HLA-DRA HLA-DRB1	CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 IL15RA TNFSF13B	CD40 CD86 HLA-DMB IL15RA TNFSF13B	CD40 HLA-DPB1 HLA-DRB5 TNFSF13B	CD40 CD86 HLA-DMA IL15RA TNFSF13B				CD80 HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL15RA TNFSF13B	HLA-DMB IL15RA			CD40 CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 IL15RA TNFSF13B	CD40 CD80 HLA-DQA1 HLA-DQB1 HLA-DRA TNFSF13B	CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	CD86 HLA-DPA1 HLA-DPB1 HLA-DRA	CD40 CD80 CD86 HLA-DMB HLA-DPB1 HLA-DQA1 IL15RA TNFSF13B	CD40 TNFSF13B	CD80 CD86 HLA-DRA TNFSF13B	CD80 HLA-DMB IL15RA TNFSF13B	CD40 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5	CD40 CD80 TNFSF13B	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		CD40 CD80 HLA-DQA1 IL15RA TNFSF13B			CD80 CD86 HLA-DMA HLA-DMB		
Leishmaniasis	C3 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B JUN TLR2		IFNGR2 IL1B NFKB1 NFKBIA TLR2	C3 FCGR1A FCGR3A HLA-DMA		C3 HLA-DQB1 HLA-DRA TLR2		FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2	C3 FCGR1A FCGR3A NCF2	FCGR3A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 JUN NCF1 NCF2 NFKBIA STAT1		IFNGR2 IL1B TLR2	FCGR1A FCGR3A HLA-DMA HLA-DQB1 IFNGR1	C3 FCGR1A FCGR2A FCGR3A HLA-DQA1 HLA-DQB1 HLA-DRB1 IFNGR1 IL1B NCF1 NCF2 NFKBIA TLR2	HLA-DMA HLA-DMB IL1B TLR2		HLA-DPA1 HLA-DRA HLA-DRB1 IFNGR1 NFKBIA	HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 STAT1		FCGR3A HLA-DPB1 HLA-DRB5		FOS NCF2			FCGR2A HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 NCF1 NCF2 NFKB1 NFKBIA	FCGR2A FCGR3A IFNGR1 NCF2 TLR2	C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B NFKBIA TLR2	FCGR2A HLA-DMB NCF1		HLA-DPA1 IFNGR1 IL1B	C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 IFNGR1 IFNGR2 NCF1 NFKB1 NFKBIA TLR2	HLA-DQA1 HLA-DQB1 HLA-DRA IFNGR2 NFKB1 NFKBIA STAT1	C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B NCF2 TLR2	FCGR2A FOS HLA-DPA1 HLA-DPB1 HLA-DRA IFNGR2 IL1B JUN NCF1 NFKBIA TLR2	C3 FCGR2A FCGR3A HLA-DMB HLA-DPB1 HLA-DQA1 IFNGR1 IFNGR2 IL1B NCF1 NCF2 NFKB1 NFKBIA TLR2		FCGR3A HLA-DRA IFNGR1 IFNGR2 IL1B JUN NCF2	C3 FCGR2A FOS HLA-DMB IFNGR2 NCF1 NFKBIA STAT1	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR2 IL1B	IFNGR2 NCF1 NFKBIA STAT1	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1	IFNGR1 JUN NCF2	C3 FCGR2A FOS HLA-DQA1 IFNGR2 NCF1 NFKBIA			C3 FCGR1A HLA-DMA HLA-DMB IL1B NCF1 NCF2 NFKBIA STAT1		
Malaria	GYPC IL18 IL1B TLR2		CCL2 CD36 CD40 GYPC ICAM1 IL18 IL1B TLR2					CCL2 CD36 GYPC ICAM1 IL18 IL1B TLR2				GYPC IL1B TLR2		GYPC IL18 IL1B SDC2 TLR2	CCL2 IL1B SDC2 TLR2	CCL2 CD36 CD40 ICAM1			CCL2 CD36 CD40 ICAM1						CCL2 ICAM1 IL18	CCL2 GYPC TLR2					CD36 CD40 GYPC IL18 TLR2	CCL2 CD36 CD40 GYPC ICAM1	GYPC IL18 IL1B SDC2 TLR2	CCL2 IL1B TLR2	CCL2 CD36 CD40 GYPC ICAM1 IL18 IL1B TLR2	CD40 ICAM1	CCL2 ICAM1 IL18 IL1B		CCL2 CD36 CD40 ICAM1 IL1B	CD36 CD40 ICAM1 IL18			CD36 CD40 ICAM1 SDC2					
Measles			IFIH1 IFNGR2 IL1B IL2RA NFKB1 NFKBIA SLAMF1 TLR2					FCGR2B IFNGR1 IFNGR2 IL1B IL2RA IRF7 NFKB1 NFKBIA TLR2				CCND2 HSPA8 IFNGR2 IL1B IL2RA STAT2 TLR2		CCND1 CCND2 HSPA8 IFNGR1 IL1B IL2RA MX1 NFKBIA SLAMF1 TLR2 TNFSF10		CCND2 DDX58 EIF2AK2 IFIH1 IFNGR2 IRF7 MX1 OAS1 OAS2 OAS3 SLAMF1 STAT1 STAT2 TNFSF10	FCGR2B IFNGR1 NFKBIA	DDX58 EIF2AK2 IFIH1 IRF7 MX1 OAS1 OAS2 OAS3 SLAMF1 STAT1 STAT2	DDX58 EIF2AK2 IFIH1 IFNGR2 IL2RA IRF7 MX1 OAS1 OAS2 OAS3 SLAMF1 STAT1 STAT2 TNFSF10	DDX58 IFIH1 IRF7 MX1 OAS1 OAS2 OAS3 TNFSF10	DDX58 EIF2AK2 IFIH1 IFNGR2 IRF7 MX1 OAS1 OAS2 OAS3 STAT1 STAT2 TNFSF10					CCND1 CCND2 IFNGR1 MSN TLR2				IFNGR1 IL1B	CCND1 CCND2 DDX58 HSPA1A IFNGR1 IFNGR2 IL2RA MX1 NFKB1 NFKBIA OAS1 OAS2 TLR2 TNFSF10	CCND2 EIF2AK2 IFNGR2 NFKB1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT1	CCND1 CCND2 FCGR2B HSPA8 IFNGR1 IL1B IL2RA TLR2	DDX58 FCGR2B IFNGR2 IL1B IRF7 NFKBIA TLR2	CCND1 CCND2 DDX58 FCGR2B HSPA1A HSPA8 IFIH1 IFNGR1 IFNGR2 IL1B IL2RA IRF7 MX1 NFKB1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT2 TLR2 TNFSF10		CCND2 IFNGR1 IFNGR2 IL1B MX1 OAS1 SLAMF1	CCND2 DDX58 HSPA8 IFIH1 IFNGR2 IRF7 NFKBIA OAS1 OAS2 STAT1 TNFSF10		DDX58 HSPA1A IFNGR2 IRF7 MX1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT1 TNFSF10			CCND2 DDX58 EIF2AK2 IFIH1 IFNGR2 IRF7 MX1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT2 TNFSF10			HSPA1A IL1B IRF7 MX1 NFKBIA STAT1 TNFSF10	HSPA8 STAT1 TNFSF10	
Mineral_absorption		ATOX1 MT1E MT2A				MT1G SLC8A1		ATP2B1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A SLC8A1	ATP1B1 FTH1 SLC11A1	FTH1 MT2A SLC11A1 SLC8A1		FTH1 MT1E MT1F MT1G MT1H MT1M MT2A SLC11A1	ATOX1 ATP2B1 FTH1 MT1H MT1X	ATP1B1 ATP2B1 FTH1 MT1G MT1M MT1X SLC11A1	MT1F MT1G MT1H MT1M MT1X SLC11A1	ATOX1 FTH1 MT1E MT2A							FTH1 MT1E MT1F MT1G MT1H MT2A	FTH1 MT1E MT1F MT1H MT1X MT2A			ATP1B1 ATP2B1 MT1F MT1G MT1H MT1M	MT1E MT1F MT1G MT1H MT1M MT1X MT2A SLC11A1					ATP1B1 ATP2B1 FTH1 MT1F MT1G MT1H MT1M MT1X SLC8A1	MT1F MT1G MT1H MT1M MT1X MT2A	ATOX1 FTH1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A		MT1G MT1H MT1M MT1X					ATP1B1 MT1E MT1F MT1X				FTH1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A		
Osteoclast_differentiation	CYBB IFNGR1 IL1B JUN JUNB LILRA1	LILRA2 LILRB1 LILRB4 NCF1	ACP5 CSF1 IFNGR2 IL1B LILRA1 LILRB1 LILRB2 LILRB4 NFKB1 NFKBIA SOCS3 TREM2	FCGR1A FCGR3A LILRA2				ACP5 CSF1R CYBB FCGR2A FCGR2B FCGR3A IFNGR1 IFNGR2 IL1B LILRA2 LILRB2 NFKB1 NFKBIA SOCS3 TREM2	FCGR1A FCGR2B FCGR3A LILRB4 NCF2	CSF1R CYBB FCGR3A JUN NCF1 NCF2 NFKB2 NFKBIA PPARG STAT1 TREM2		IFNGR2 IL1B LILRB4 SOCS3 STAT2	CSF1 FCGR1A FCGR3A IFNGR1	CSF1 CYBB FCGR1A FCGR2A FCGR3A IFNGR1 IL1B JUNB LILRA1 LILRA2 NCF1 NCF2 NFKBIA PPARG TREM2		ACP5 FCGR2A IFNGR2 JUNB LILRA1 LILRB1 LILRB2 LILRB4 PPARG SOCS3 SQSTM1 STAT1 STAT2	CSF1R FCGR2B IFNGR1 NFKBIA	ACP5 JUNB PPARG STAT1 STAT2 TREM2	ACP5 IFNGR2 JUNB LILRA1 LILRB4 PPARG SOCS3 SQSTM1 STAT1 STAT2		ACP5 IFNGR2 JUNB PPARG SOCS3 STAT1 STAT2 TREM2	CSF1 FCGR2B FOS NCF2			FCGR2A LILRB2 LILRB4 NCF1 NCF2 NFKB1 NFKBIA	CSF1 CSF1R FCGR2A FCGR3A IFNGR1 JUNB LILRA2 NCF2	CSF1 CTSK CYBB FCGR2A FCGR3A IFNGR1 IL1B LILRA2 LILRB2 NFKBIA PPARG TREM2	ACP5 FCGR2A NCF1		CYBB IFNGR1 IL1B	ACP5 CSF1R CYBB FCGR2A FCGR3A IFNGR1 IFNGR2 LILRB1 LILRB2 LILRB4 NCF1 NFKB1 NFKB2 NFKBIA PPARG SOCS3 SQSTM1	IFNGR2 LILRB4 NFKB1 NFKB2 NFKBIA SOCS3 SQSTM1 STAT1	CSF1 CTSK CYBB FCGR2A FCGR2B FCGR3A IFNGR1 IL1B JUNB LILRA2 NCF2	ACP5 CYBB FCGR2A FCGR2B FOS IFNGR2 IL1B JUN LILRB1 LILRB2 NCF1 NFKBIA	ACP5 CSF1R CYBB FCGR2A FCGR2B FCGR3A IFNGR1 IFNGR2 IL1B LILRA2 LILRB1 LILRB2 LILRB4 NCF1 NCF2 NFKB1 NFKB2 NFKBIA PPARG SOCS3 STAT2 TREM2		ACP5 CSF1R CYBB FCGR3A IFNGR1 IFNGR2 IL1B JUN LILRA1 LILRB1 LILRB2 NCF2 SOCS3	ACP5 FCGR2A FOS IFNGR2 LILRB4 NCF1 NFKB2 NFKBIA SOCS3 STAT1 TREM2	CYBB FCGR2B IFNGR2 IL1B LILRB1 LILRB2	IFNGR2 JUNB LILRB1 NCF1 NFKBIA PPARG SOCS3 SQSTM1 STAT1 TREM2		CSF1 IFNGR1 JUN NCF2	ACP5 FCGR2A FOS IFNGR2 JUNB LILRA1 LILRB1 LILRB2 LILRB4 NCF1 NFKB2 NFKBIA PPARG SOCS3 SQSTM1 STAT2 TREM2			ACP5 FCGR1A IL1B NCF1 NCF2 NFKBIA STAT1 TREM2		
Oxidative_phosphorylation		MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9																MT-ATP6 MT-CO3 MT-CYB MT-ND4 MT-ND5	ATP6V1D MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 PPA1		MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 PPA1								MT-ATP6 MT-ND2 MT-ND4 MT-ND5							ATP6V1D MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9										ATP5G3 MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9		
PPAR_signaling_pathway			ACSL1 ACSL4 CD36 CYP27A1 FABP3 FABP4 GK LPL OLR1 UBC					ACSL1 ACSL4 CD36 DBI FABP3 GK OLR1 SCD UBC		CD36 DBI FABP3 FABP5 PPARG SCD	ACOX2 FABP5 GK LPL PPARG	ACSL1 FABP3 FABP5 GK OLR1 PCK2	CYP27A1 LPL UBC	ACOX2 CYP27A1 DBI FABP3 FABP4 FABP5 GK LPL NR1H3 OLR1 PPARG	ACSL4 LPL UBC	ACSL1 CD36 FABP3 FABP4 FABP5 GK PPARG		ACOX2 CD36 FABP4 PPARG	ACOX2 ACSL1 ACSL4 CD36 FABP4 PPARG UBC		ACOX2 CD36 CYP27A1 FABP4 FABP5 PPARG UBC			DBI FABP5			ACOX2 DBI FABP3 GK NR1H3 OLR1 PCK2 PPARG SCD UBC	ACSL1 OLR1		OLR1 SCD	ACOX2 ACSL1 CD36 FABP3 FABP5 GK OLR1 PCK2 PPARG UBC	ACOX2 ACSL1 CD36 DBI FABP5 GK PCK2		DBI FABP3 FABP4 FABP5 OLR1 SCD UBC	ACOX2 ACSL1 CD36 DBI FABP3 FABP4 FABP5 GK OLR1 PCK2 PPARG UBC	DBI FABP4 FABP5	ACOX2 ACSL1 ACSL4 FABP4 FABP5 GK OLR1 PCK2 UBC	ACOX2 CD36 FABP3 FABP4 FABP5	ACSL4 CD36 GK NR1H3 OLR1 SCD	ACOX2 CD36 DBI FABP5 PPARG			ACOX2 CD36 CYP27A1 DBI FABP4 FABP5 PPARG	ACOX2 LPL		CYP27A1 DBI FABP3 FABP5 GK OLR1		
Parkinson's_disease		MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 SLC25A5 SNCA			CYCS SNCA													MT-ATP6 MT-CO3 MT-CYB MT-ND4 MT-ND5 UBE2L6	MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 SLC25A5 UBE2L6		MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 SLC25A5 UBE2L6		ATP5G3 CYCS NDUFB6 SLC25A5		ATP5G3 MT-ND2 NDUFB6 SLC25A5	ATP5G3 COX5B CYCS NDUFB6 NDUFB9 SLC25A5 SNCA	ATP5G3 COX5B CYCS LRRK2 NDUFB6 NDUFB9 SLC25A5 UCHL1	LRRK2 SLC25A5 UCHL1	MT-ATP6 MT-ND2 MT-ND4 MT-ND5				ATP5G3 COX5B CYCS LRRK2 NDUFB6 SLC25A5 SNCA UCHL1			MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 UCHL1		CYCS MT-CO3 MT-ND2 NDUFB6 NDUFB9 SLC25A5 UCHL1								ATP5G3 MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 SLC25A5 UCHL1		
Pathogenic_Escherichia_coli_infection	CD14 TUBA1A TUBA4A YWHAQ						ACTB ACTG1 NCL TUBA1A TUBA1B TUBB TUBB4B		ACTB ACTG1 CD14 TUBA1B TUBA4A TUBB YWHAQ	ACTG1 CD14 TUBB2A TUBB4B	ACTB ACTG1 TUBA1A TUBA1B TUBB TUBB2A TUBB4B YWHAQ		ACTG1 CD14 TUBA1A TUBA1B TUBA4A TUBB TUBB4B YWHAQ	ACTB ACTG1 CD14 NCL TUBA1B TUBA4A TUBB TUBB2A YWHAQ	ACTB ACTG1 CD14 TUBA1A TUBB							NCL TUBA1A TUBB YWHAQ					CD14 TUBA1B TUBA4A TUBB2A YWHAQ				CD14 TUBA1B TUBB2A TUBB4B YWHAQ		ACTB CD14 TUBA1B TUBA4A YWHAQ	CD14 TUBA1A TUBB				ACTB ACTG1 NCL TUBA1A TUBA1B TUBB2A TUBB4B		ACTB ACTG1 TUBA1B TUBB2A TUBB4B			ACTB TUBA1A TUBA1B TUBB2A TUBB4B	ACTB ACTG1 TUBA1A	ACTG1 NCL TUBA1A TUBA1B TUBB		NCL TUBB TUBB2A	ACTB ACTG1 TUBA1A TUBB TUBB4B
Phagosome	C3 CD14 CTSS CYBB HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO TLR2 TUBA1A TUBA4A			C3 FCGR1A FCGR3A HLA-DMA MARCO OLR1 TUBA4A		C3 CD14 CLEC7A CTSS CYBB HLA-DQB1 HLA-DRA TLR2	ACTB ACTG1 CORO1A MRC1 TUBA1A TUBA1B TUBB TUBB4B	ATP6V1D CALR CD14 CD36 CLEC7A CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO OLR1 TLR2	ACTB ACTG1 ATP6V1D C3 CALR CD14 CTSS FCGR1A FCGR2B FCGR3A NCF2 TUBA1B TUBA4A TUBB	ACTG1 CD14 CD36 CLEC7A CORO1A CYBB FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO MRC1 NCF1 NCF2 TUBB2A TUBB4B	ACTB ACTG1 ATP6V1D C3 CALR CORO1A CTSS HLA-A HLA-DQA1 NCF1 TUBA1A TUBA1B TUBB TUBB2A TUBB4B	CD14 MARCO OLR1 TLR2 TUBA1B	ACTG1 CD14 FCGR1A FCGR3A HLA-DMA HLA-DQB1 MARCO TUBA1A TUBA1B TUBA4A TUBB TUBB4B	ACTB ACTG1 ATP6V1D C3 CALR CD14 CTSS CYBB FCGR1A FCGR2A FCGR3A HLA-A HLA-DQA1 HLA-DQB1 HLA-DRB1 MARCO MRC1 MSR1 NCF1 NCF2 OLR1 TLR2 TUBA1B TUBA4A TUBB TUBB2A	ACTB ACTG1 CD14 CORO1A HLA-DMA HLA-DMB MARCO TFRC TLR2 TUBA1A TUBB	ACTB ATP6V1D CD36 FCGR2A HLA-A HLA-DMB MSR1 TAP1 TUBB2A	ATP6V1D CD14 FCGR2B HLA-DPA1 HLA-DRA HLA-DRB1	CD36 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E MRC1 TAP1	ACTB ATP6V1D CD36 HLA-A HLA-DMB HLA-E MSR1 TAP1	FCGR3A HLA-DPB1 HLA-DRB5 HLA-E OLR1 TAP1		CLEC7A FCGR2B NCF2 TUBA1A TUBB			FCGR2A HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 HLA-E MRC1 NCF1 NCF2 TUBA1A	CD14 CORO1A FCGR2A FCGR3A HLA-E MARCO MRC1 MSR1 NCF2 TFRC TLR2 TUBA4A	ATP6V1D C3 CALR CD14 CTSS CYBB FCGR2A FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E OLR1 TLR2 TUBA1B TUBA4A TUBB2A	FCGR2A HLA-DMB NCF1 OLR1		CLEC7A CYBB HLA-DPA1 OLR1	ATP6V1D C3 CALR CD14 CD36 CTSS CYBB FCGR2A FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E NCF1 OLR1 TLR2 TUBA1B TUBB2A TUBB4B	CALR CD36 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E TAP1 TUBB2A TUBB4B	ACTB ATP6V1D C3 CD14 CLEC7A CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO NCF2 OLR1 TFRC TLR2 TUBA1B TUBA4A	CD14 CLEC7A CORO1A CYBB FCGR2A FCGR2B HLA-DPA1 HLA-DPB1 HLA-DRA MARCO MRC1 NCF1 OLR1 TLR2 TUBA1A TUBB	ATP6V1D C3 CALR CD14 CD36 CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DMB HLA-DPB1 HLA-DQA1 HLA-E MARCO MRC1 NCF1 NCF2 OLR1 TAP1 TLR2 TUBA1B TUBB2A TUBB4B		CTSS CYBB FCGR3A HLA-A HLA-DRA MARCO NCF2 OLR1	ACTB ACTG1 ATP6V1D C3 CD36 CORO1A FCGR2A HLA-A HLA-DMB HLA-E MRC1 MSR1 NCF1 TAP1 TUBA1A TUBA1B TUBB2A TUBB4B	ATP6V1D CD14 CD36 CLEC7A CYBB FCGR2B HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO MRC1 OLR1	ACTB ACTG1 ATP6V1D CALR CD36 CORO1A HLA-A HLA-E MRC1 MSR1 NCF1 TUBA1B TUBB2A TUBB4B	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		ACTB C3 CD36 FCGR2A HLA-A HLA-DQA1 HLA-E MRC1 MSR1 NCF1 TAP1 TUBA1A TUBA1B TUBB2A TUBB4B	ACTB ACTG1 CLEC7A CYBB HLA-DRA MRC1 TUBA1A	ACTG1 TUBA1A TUBA1B TUBB	C3 CALR FCGR1A HLA-DMA HLA-DMB HLA-E NCF1 NCF2 OLR1	HLA-A HLA-E TAP1 TUBB TUBB2A	ACTB ACTG1 TUBA1A TUBB TUBB4B
