	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
Complement_Activation,_Classical_Pathway										C1QB CD55		C1QA C1QC																C1QA C1QB C1QC CD55						C1QB C1QC				C1QC C3				C1QA C1QB C1QC												C1QB C1QC				C1QA C1QB C1QC C3 CD55										C1QA C1QB C1QC			C1QA C1QB C1QC C3	C1QA C1QB C1QC					C1QA C1QB CD55					C1QA C1QB							C1QB C3	C1QA C1QB C1QC CD55																											
Complement_and_Coagulation_Cascades						C3 CFD F3						C1QA C1QC C5AR1 CFD CLU SERPING1	CLU PLAUR		C3 SERPINA1					C5AR1 PLAUR			C3 SERPINA1					C1QA C1QB C1QC CD55 PLAUR SERPINA1	C3 C5AR1 PLAUR		CFD SERPING1			C1QB C1QC				C1QC C3 C5AR1 F3				C1QA C1QB C1QC			C1QC C5AR1		C5AR1 CLU F3 PLAUR				C5AR1 PLAUR			C1QB C1QC C5AR1 CFD	C3 C5AR1			C1QA C1QB C1QC C3 CD55 SERPINA1	PLAUR SERPINA1							C1QA SERPINA1		C1QA C1QB C1QC PLAUR SERPINA1 SERPING1			C1QA C1QB C1QC C3 PLAUR SERPINA1	C1QA C1QB C1QC PLAUR SERPINA1					C1QA C1QB CD55 CLU F3 SERPINA1					C1QA C1QB		CFD CLU		C3 C5AR1 CFD CLU SERPING1				C1QA C1QB C1QC CD55 SERPINA1								CD55 F3 PLAUR																			
Constitutive_Androstane_Receptor_Pathway						HSP90AA1 SULT1A1										ALAS1 HSP90AA1										ALAS1 HSP90AA1 SULT1A1												ALAS1 HSP90AA1 SULT1A1																	HSP90AA1 SULT1A1												ALAS1 HSP90AA1																																			ALAS1 HSP90AA1				ALAS1 HSP90AA1			ALAS1 HSP90AA1								
Corticotropin-releasing_hormone																						IL18 NFKB1 NFKBIA																													IL18 NFKB1 NFKBIA																HSP90AA1 JUNB																								IL18 JUNB NFKBIA																			HSP90AA1 NFKBIA							
Cytochrome_P450													CYP19A1 CYP1B1 CYP27B1			CYP19A1 CYP27A1																																																														CYP19A1 CYP27B1																										CYB5A CYP1B1 CYP27A1							CYP19A1 CYP27B1						
Cytokines_and_Inflammatory_Response			CXCL2 IL1B							CSF1 IL1B																																																CSF1 CXCL2 IL1B													CSF1 CXCL2 IL1B	CXCL2 IL1B																						CXCL2 IL1B	CSF1 CXCL2																						
DNA_Damage_Response						BID CCND1 CDKN1A CYCS PMAIP1						CCND1 CDKN1A CYCS PMAIP1					CDKN1A CYCS MDM2						CDKN1A PMAIP1			CCND1 CCND2 CDKN1A CYCS GADD45B GADD45G											CDKN1A PMAIP1	CCND1 CCND2 CYCS GADD45G PMAIP1										BID CCND1 CDKN1A PMAIP1		CCND2 CYCS		CDKN1A CYCS PMAIP1															CCND1 CDKN1A CYCS			BID CCND2 GADD45G NBN	CCND1 CCND2 CDKN1A CYCS GADD45G		BID CCND1 CCND2 CYCS		BID CCND2 CYCS MDM2																															CYCS PMAIP1		BID NBN									
DNA_Damage_Response_(only_ATM_dependent)						CCND1 CDKN1A JUN PMAIP1											CDKN1A MDM2						CDKN1A PMAIP1																									CCND1 CDKN1A PMAIP1				CDKN1A PMAIP1															CCND1 CDKN1A								CCND2 JUN MDM2 PCK2 SOD2																																										
Differentiation_Pathway																																															CSF1 INHBA																																																			CSF1 INHBA																			
Diurnally_Regulated_Genes_with_Circadian_Orthologs	ETV6 G0S2 NCOA4						HERPUD1 PSMA4					BTG1 GSTM3 GSTP1 PSMA4			G0S2 HSPA8											DNAJA1 GSTP1 HSPA8 TOB1		BTG1 DNAJA1 G0S2 NCOA4							G0S2 HERPUD1 HSPA8					G0S2 NCOA4 PSMA4				BTG1 G0S2 NCOA4 PSMA4				GSTM3 PSMA4		HERPUD1 HSPA8								BTG1 DNAJA1 G0S2 GSTP1 HSPA8 NCOA4 TOB1										BTG1 DNAJA1 G0S2 NCOA4		DNAJA1 G0S2 PSMA4	G0S2 GSTM3 GSTP1 HERPUD1 HSPA8 TOB1	BTG1 G0S2 NCOA4	HERPUD1 HSPA8 TOB1													BTG1 DNAJA1 NCOA4 PSMA4	G0S2 GSTP1 NCOA4 PSMA4	BTG1 DNAJA1 HERPUD1 HSPA8 NCOA4 PSMA4		BTG1 HERPUD1				DNAJA1 G0S2 HSPA8 NCOA4				BTG1 GSTM3				BTG1 DNAJA1 HSPA8 PSMA4											BTG1 DNAJA1 ETV6 NCOA4				
Dopamine_metabolism																																																																																									NQO1 PRKACB												NQO1 PRKACB																
EBV_LMP1_signaling										NFKB1 NFKBIA												NFKB1 NFKBIA						CCL20 CCL5 NFKB1 NFKBIA																							NFKB1 NFKBIA							CCL20 HSP90AA1 NFKBIA										CCL5 NFKB1 NFKB2 NFKBIA		CCL20 CCL5 NFKB1 NFKB2 NFKBIA		CCL20 NFKBIA				CCL5 NFKB2 NFKBIA		CCL20 CCL5 NFKB2 NFKBIA	CCL5 NFKBIA	CCL5 NFKBIA						CCL5 NFKB2 NFKBIA	CCL5 NFKBIA		CCL5 HSP90AA1 NFKB2 NFKBIA		CCL5 NFKBIA																			HSP90AA1 NFKBIA			CCL20 NFKB2				
EGF/EGFR_Signaling_Pathway																																																																																																				AURKA DOK2																	
Eicosanoid_Synthesis					LTA4H TBXAS1			ALOX5AP PTGES TBXAS1														PTGDS PTGES TBXAS1								ALOX5AP LTA4H														LTA4H TBXAS1		LTA4H TBXAS1														ALOX5AP LTA4H PTGDS TBXAS1												ALOX5AP PTGES	ALOX5AP PTGS1			ALOX5AP LTA4H PTGES PTGS1	PTGDS PTGES		ALOX5AP LTA4H PTGS1						ALOX5AP PTGES	ALOX5AP LTA4H PTGS1 TBXAS1								ALOX5AP PTGDS	ALOX5AP PTGDS														ALOX5AP TBXAS1						ALOX5AP PTGES PTGS1		
Electron_Transport_Chain				COX5B MT-ND2 NDUFB6	NDUFB9 UCP2		COX5B MT-ND2 MT-ND4 MT-ND5	MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 SLC25A5																	MT-CYB MT-ND4											SLC25A5 UCP2										MT-CYB MT-ND2 MT-ND4 MT-ND5 SLC25A5				ATP5G3 NDUFB6 SLC25A5															MT-ND2 MT-ND4 MT-ND5								ATP5G3 COX5B MT-ND2 NDUFB6 NDUFB9 SLC25A5																						ATP5G3 NDUFB6 UCP2						ATP5G3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 SLC25A5																
Endochondral_Ossification															SPP1 TIMP3																																			MMP9 TIMP3					SPP1 TIMP3																																			MMP9 STAT1 TIMP3																											
Endothelin_Pathways	GNA15 PTGIR																					CALM1 GNA15 RAMP1						CALM1 GNA15 PTGIR																																																																																									
ErbB_Signaling_Pathway						CCND1 CDKN1A JUN											CDKN1A MDM2									CCND1 CDKN1A HBEGF JUN																						CCND1 CDKN1A HBEGF																			CCND1 CDKN1A HBEGF																															CCND1 CDKN1A HBEGF																			
Estrogen_metabolism								CYP1B1 NQO1																																															CYP1B1 SULT1A1													CYP1B1 NQO1 SULT1A1																																				CYP1B1 SULT1A1													
Estrogen_signaling_pathway																																																																								FOS JUN																																													
FAS_pathway_and_Stress_induction_of_HSP_regulation						CYCS HSPB1 JUN													CFLAR RIPK2										CYCS HSPB1			CYCS HSPB1																CFLAR HSPB1		CYCS HSPB1																																																								CYCS HSPB1 JUN											
Fatty_Acid_Beta_Oxidation										ACSL1 ACSL4 LPL																									ACSL1 DLD																																																		ACSL1 DLD		ACSL1 ACSL4 DLD		ACSL1 ACSL4 DLD									ACSL4 LPL																			
Fatty_Acid_Biosynthesis										ACSL1 ACSL4																		ACSL1 ACSL4																																															ACSL1 ACSL4		ACSL4 SCD										ACSL1 ACSL4																														
Fatty_Acid_Omega_Oxidation																																																																							ALDH1A1 ALDH2																																	ALDH1A1 ALDH2													
Fluoropyrimidine_Activity																																																																												CDA TYMP UPP1													CDA TYMP UPP1																												
Focal_Adhesion																								ACTB ACTG1 ITGB7								ACTB ACTG1 CCND1 FGR HCK	ACTB ITGB8																																																																										ACTB ACTG1										
Folate_Metabolism										IL1B NFKB1 SOD2												IL1B NFKB1						IL1B NFKB1 SOD2							IL1B SOD2																																	ABCA1 NFKB1 NFKB2 SOD2		GPX3 NFKB1 NFKB2 SOD2		IL1B SOD2			ABCA1 IL1B SOD2	GPX3 NFKB2 SOD2		GPX3 NFKB2										IL1B NFKB2 SOD2	GPX3 IL1B NFKB2 SOD2					GPX3 IL1B NFKB1																			NFKB2 SOD2				
G1_to_S_cell_cycle_control						CCND1 CDKN1A CDKN2A											CDKN1A MDM2																				CDKN1A CDKN2A															CDKN1A CDKN2A															CCND1 CDKN1A																										CDKN2A MDM2							CDKN1A CDKN2A																	
GPCRs,_Class_A_Rhodopsin-like																																																																					CCR7 FPR2 LPAR6 PTGIR																																																
Gastric_cancer_network_2			PLAC8 RNF144B																							LBR PLAC8 RNF144B		CTNNB1 PLAC8 RNF144B																																								CD48 PLAC8 RNF144B							CD48 PLAC8 RNF144B													CD48 PLAC8 RNF144B																													
Glial_Cell_Differentiation																																																										CNP MBP																														CNP MBP																													
Glutathione_metabolism																																																										ANPEP GCLC GPX3															GCLC GPX3				ANPEP GCLC																																								
Glycolysis_and_Gluconeogenesis					LDHB MDH1																																					MPC2 SLC2A3																				LDHA SLC2A3											FBP1 LDHB MDH1 MPC2		FBP1 LDHB MDH1 MPC2	FBP1 LDHB MDH1 MPC2																									FBP1 LDHB MDH1 SLC2A3																
Hair_Follicle_Development																												CTNNB1 INHBA NFKB1																																	CTNNB1 INHBA																																																								
Hypertrophy_Model										HBEGF IL18												HBEGF IL18				ATF3 HBEGF		HBEGF IL18																				ATF3 HBEGF																			ATF3 HBEGF								HBEGF IL18										ATF3 IL18				ATF3 IL18									ATF3 HBEGF																			
IL-1_signaling_pathway										CCL2 IL1B NFKB1 NFKBIA												IL1B NFKB1 NFKBIA						CCL2 IL1B NFKB1 NFKBIA																							CCL2 NFKB1 NFKBIA								CCL2 SQSTM1											CCL2 NFKB1 NFKBIA SQSTM1		CCL2 IL1B JUN NFKBIA																			CCL2 NFKBIA SQSTM1			CCL2 IL1B NFKB1																							
IL-2_Signaling_Pathway																										CCND2 IL2RA JUN									CCND2 IL2RA SOCS3									IL2RA SOCS3 STAT1				SOCS3 STAT1																						CCND2 SOCS3 STAT1					CCND2 JUN SOCS3	CCND2 FOS SOCS3 STAT1														IL2RA STAT1																											
IL-3_Signaling_Pathway										CD86 HCK LYN		CD86 FOS YWHAQ																CD86 HCK IL3RA							HCK IL3RA LYN												CD86 FOS YWHAQ																					CD86 HCK IL3RA LYN				CD86 FOS JUN			CD86 HCK IL3RA JUN LYN																							IL3RA YWHAQ								JUN YWHAQ							CD86 HCK IL3RA				
IL-4_Signaling_Pathway										NFKB1 NFKBIA SOCS3																		DOK2 NFKB1 NFKBIA SOCS3														DOK2 NFKBIA									NFKB1 NFKBIA																			NFKB1 NFKBIA SOCS3 STAT1						FOS NFKBIA SOCS3 STAT1		DOK2 NFKBIA																																DOK2 NFKBIA							
IL-5_Signaling_Pathway																														JUN SPRED1																																																																																							
