	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
Apoptosis-related_network_due_to_altered_Notch3_in_ovarian_cancer	1	1	1	0.0177079613055	1	0.0326579519189	1	0.0206336069963	1	0.000488986499763	1	1	1	1	1	1	1	1	1	1	1	0.0246601907213	0.0270578667197	1	1	0.0355929354948	1	0.0278370184939	0.017873120647	1	1	0.00219662642999	1	1	1	1	1	0.0122449815717	1	0.0150963327642	1	1	1	0.00865809819565	1	1	1	0.00268185154139	1	0.0528887317143	1	1	0.00447988326972	1	1	1	1	0.00301731626818	1	1	1	1	1	1	1	1	1	0.00166856855023	1	0.00609980635607	0.000997602589881	1	0.00485211694035	1	0.0286428673463	0.000822385104066	1	1	1	1	1	1	1	1	1	0.0314131239751	1	0.0101824705605	0.0105081850738	1	0.0115880997739	1	1	0.0707678022656	0.0451987620019	1	1	1	1	1	1	1	1	1	0.00447988326972	0.0477122627302	1	0.00382532134305	1	1	1	1	0.0290824656564	1	1	1	1
Apoptosis_Modulation_by_HSP70	1	1	1	1	1	0.0332671296244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0979857290713	1	0.0837214947688	1	1	0.0762484435302	1	0.0824602261966	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)	1	1	0.0508214237589	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00197401209191	1	1	1	1	1	1	1	1	0.00602873838352	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0114973675111	1	1	1	1	1	1	1	1	1	1
Aryl_Hydrocarbon_Receptor	1	1	1	1	1	0.0196472801142	1	0.0122352884915	1	0.00139392878719	1	0.0620130076041	1	1	1	0.0202428075328	1	1	1	1	1	0.0946721074292	0.00116158535849	1	1	0.00337545460927	1	0.0691814193041	1	1	0.0299179370633	1	1	1	1	1	0.00219092640251	1	1	1	1	1	1	1	1	1	1	0.0843202801872	0.00889039049803	1	1	0.0122215322592	1	0.00902074406474	0.0039452005185	1	1	0.0756167981904	1	1	1	1	1	1	1	1	0.00130534142614	0.0209817441105	0.0146999976776	0.0721512384507	0.0425600023212	1	1	1	1	1	0.00583640562557	1	0.0691814193041	1	1	1	1	1	0.0973159320763	0.0572918982879	1	1	0.09790465385	1	1	1	1	0.00768745461253	1	1	1	0.00560364719227	1	1	1	0.0281982733762	1	0.0265203800168	1	1	1	1	1	1	1	1	0.017427694537	1	1	0.000687814855983	1
Aryl_Hydrocarbon_Receptor_Pathway	1	1	1	1	1	0.0249883244936	1	0.0156619872784	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0858047281792	1	1	0.0353925832659	1	1	0.000837077149462	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0814458648623	0.0484328073871	1	1	0.0301625153958	1	1	1	1	1	1	1	1	0.0240225900393	1	1	1	0.0563733468141	0.0279532304889	1	1	0.00375499651715	1	0.0454613573471	1	0.0858047281792	1	1	1	1	1	1	1	1	1	0.00680745568938	0.0759971829913	0.0680597509027	1	1	0.0551237174691	1	1	1	1	1	1	1	1	1	0.00258942000915	1	0.0395644102647	1	1	1	1	1	1	1	1	1	1	1
Arylhydrocarbon_receptor_(AhR)_signaling_pathway	1	1	1	1	1	0.00642911726107	1	0.00391341877036	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00861240788691	1	1	0.0302439896739	1	1	1	1	0.0138948516276	1	1	1	1	1	0.0130720143738	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0334305454494	0.0192856151379	1	1	0.0901685000337	1	1	1	1	1	1	1	1	0.00929750821024	0.0328722081803	1	1	0.0571563523283	0.0607992241504	1	1	0.0253409446567	1	1	1	1	1	1	1	1	1	0.0477272445497	1	1	1	0.00578849985945	1	1	1	1	0.0970460789743	1	1	1	1	1	1	1	1	1	0.0122714707388	1	0.0156063684184	1	1	1	1	1	1	1	1	1	0.00611375111206	1
BCL-XL_prevents_the_binding_of_truncated_BID_to_BAX._This_is_prevented_by_BAD._BAD_can_displace_tBID_from_BCL-XL.___	1	1	1	1	1	0.00839210104527	1	1	1	0.0367807171625	1	1	1	1	1	0.0838838740987	1	1	1	1	1	1	1	1	1	1	1	0.0572681575363	1	1	1	1	1	1	1	1	1	1	1	0.0291351845436	1	0.0783538096833	1	1	1	1	1	0.02114962959	1	1	0.0354515581025	1	1	1	1	1	1	1	0.0177519508643	1	1	1	1	1	1	1	0.0838838740987	0.00213785769083	1	0.0190813989013	1	0.0427880930322	1	1	1	1	1	0.030950911842	1	1	1	1	1	1	1	1	0.0590701221765	1	0.0337183573157	1	0.00152170950055	1	1	1	1	1	1	1	1	1	1	0.019393373583	1	1	1	1	1	0.019393373583	1	0.0838838740987	1	1	1	1	1	0.0575191875682	1
BDNF_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0865998991894	1	1	1	1	1	0.0357238015922	0.0653815441217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0840145170783	1	0.0866215243049	0.00513362911545	1	1	1	0.0982042583977	1	1	1	1	1	1	0.0923366704951	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0733328108672	1	1	1	1	1	1	1	1	0.0338810109837	1	1	1	1	1	0.0442003766156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0756680688893	1	1	1	1	1	1	1	0.0718261859408	1	1	1
B_Cell_Receptor_Signaling_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0956629540124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Benzo(a)pyrene_metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00201388298822	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bladder_Cancer	1	1	1	1	1	0.00856560740193	1	1	1	1	1	1	1	1	1	1	0.000788389883754	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0447405735646	1	1	1	1	0.0158938677355	1	1	1	1	1	1	1	1	1	1	0.0493253106943	1	1	1	0.0067789439077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0113271293188	1	1	1	0.0732811004342	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0573279576522	1	1	1	1	1	1	1	0.00434893634205	1	1	1	1	0.0294593961295	1	0.00203268297034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Calcium_Regulation_in_the_Cardiac_Cell	1	0.0233149268506	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0762443890012	1	1	1	1	1	1	1	1	0.00213385745419	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00500138133345	1	0.0635896672439	0.0546868665121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0147227727129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0175761204654	1	1	1	1	1	0.0719748203743	1	1	1	1	1
Cell_Cycle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00896627979874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0280863682581	1	1	1	1	1	1	1	1	1	0.0678473674846	1	1	1	1	0.067703573258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0435215303814	1	1	1	1	1	1	1	0.0451870470633	1	1	1	1	1	1	0.0222025206964	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0738091836629	1
Cholesterol_Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00763070029038	1	1	0.014421848498	1	1	1	1	1	1	1	1	0.0774585239287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.21214634827e-05	0.0253749794515	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0139785989576	1	1	0.00615653783537	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0170704676654	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Complement_Activation,_Classical_Pathway	1	1	1	1	1	1	1	1	1	0.0310600489004	1	0.0358441610066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000212142007831	1	1	1	1	1	7.45632464664e-05	1	1	1	0.0546449452455	1	1	1	4.04524664994e-05	1	1	1	1	1	1	1	1	1	1	1	0.00882298365686	1	1	1	0.000118694040299	1	1	1	1	1	1	1	1	1	0.00472346520442	1	1	0.000754168775299	0.000930491793905	1	1	1	1	0.0016245959673	1	1	1	1	0.000207761938715	1	1	1	1	1	1	0.0510675081219	8.02378059694e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Complement_and_Coagulation_Cascades	1	1	1	1	1	0.0471894451487	1	1	1	1	1	0.00161029720444	0.0100951024936	1	0.049460536642	1	1	1	1	0.00204884113507	1	1	0.0354280027303	1	1	1	1	0.00203554467293	0.0262473357786	1	0.0555507052156	1	1	0.00137648418504	1	1	1	0.077150205536	1	1	1	0.00310757500619	1	1	0.0822574698635	1	0.00175935247859	1	1	1	0.078732549932	1	1	0.00304342822655	0.0752575059184	1	1	0.0244858705332	0.049460536642	1	1	1	1	1	1	0.0233081600331	1	0.00353995640653	1	1	0.0103030797745	0.00147279334366	1	1	1	1	0.00050860995173	1	1	1	1	0.00376595416116	1	0.0436349893535	1	0.0537214865361	1	1	1	0.000263666798243	1	1	1	1	1	1	1	0.0143217900081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Constitutive_Androstane_Receptor_Pathway	1	1	1	1	1	0.0713614478698	1	1	1	1	1	1	1	1	1	0.012043333773	1	1	1	1	1	1	1	1	1	0.0426812935127	1	1	1	1	1	1	1	1	1	1	1	0.0559320124969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0248228324588	1	1	1	1	1	1	1	1	1	1	1	0.012043333773	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0168876099646	1	1	1	0.02012969734	1	1	0.00651830457111	1	1	1	1	1	1	1	1
Corticotropin-releasing_hormone	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0970583128441	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.032581342519	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0792238807708	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0494890205378	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0792238807708	1	1	1	1	1	1	1
Cytochrome_P450	1	1	1	1	1	1	1	1	1	1	1	1	0.000544287652854	1	1	0.0441674042919	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0827083195243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006602307128	1	1	1	1	1	1	0.00161854514222	1	1	1	1	1	1
Cytokines_and_Inflammatory_Response	1	1	0.00587491581946	1	1	1	1	1	1	0.0828271526436	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.062176546739	1	1	1	1	1	1	1	1	1	1	1	1	0.0386766576807	0.0460471326513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0743317980715	0.0109431590416	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA_Damage_Response	1	1	1	1	1	0.00295027033045	1	1	1	1	1	0.0702690960001	1	1	1	1	0.000100326029362	1	1	1	1	1	0.0508558398974	1	1	0.00806186192739	1	1	1	1	1	1	1	1	1	1	0.074569440369	0.0464095800214	1	1	1	1	1	1	1	1	1	0.00922853715052	1	0.0964903893322	1	0.00285074617559	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00610678977185	1	1	0.084328552854	0.0766266298856	1	0.0721970040564	1	0.0822402591906	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0875140940915	1	0.074569440369	1	1	1	1	1	1	1	1	1
DNA_Damage_Response_(only_ATM_dependent)	1	1	1	1	1	0.0302039822801	1	1	1	1	1	1	1	1	1	1	0.00596965725282	1	1	1	1	1	0.0696768056336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0765832648542	1	1	1	0.0466531459822	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0746515447214	1	1	1	1	1	1	1	0.0465247786119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Differentiation_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0653678516885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0627687094781	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Diurnally_Regulated_Genes_with_Circadian_Orthologs	0.0040405789038	1	1	1	1	1	0.0333757012944	1	1	1	1	0.017023041635	1	1	0.0314061873854	1	1	1	1	1	1	1	1	1	1	0.0255033000427	1	0.0198087261016	1	1	1	1	1	1	0.0289816461534	1	1	1	1	0.0551237174691	1	1	1	0.0276005697309	1	1	1	0.0984780015886	1	0.0439137258432	1	1	1	1	1	1	1	0.00163948412325	1	1	1	1	1	1	1	1	1	0.0283221109924	1	0.0893883028758	0.00299909137456	0.0279532304889	0.0788316171429	1	1	1	1	1	1	1	1	1	1	1	1	0.0751615128874	0.0203978537984	0.00113470740148	1	0.0759971829913	1	1	1	0.0105855202535	1	1	1	0.0604244814531	1	1	1	0.000173807471192	1	1	1	1	1	1	1	1	1	1	0.00296722602537	1	1	1	1
Dopamine_metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0579292491559	1	1	1	1	1	1	1	1	1	1	1	0.0133827359964	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EBV_LMP1_signaling	1	1	1	1	1	1	1	1	1	0.0769010390822	1	1	1	1	1	1	1	1	1	1	1	0.0322633167529	1	1	1	1	1	0.00160246190327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0138991082123	1	1	1	1	1	1	0.0559276443098	1	1	1	1	1	1	1	1	1	0.00240164758027	1	0.000146182023024	1	0.0425987654037	1	1	1	0.0318579494055	1	2.14983759548e-05	0.0950430103024	0.00376070536336	1	1	1	1	1	0.0442992394067	0.0964874300598	1	0.00277154256478	1	0.0190340869601	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00632435118512	1	1	0.0362612621017	1	1	1	1
EGF/EGFR_Signaling_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0518984738088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Eicosanoid_Synthesis	1	1	1	1	0.00414480241058	1	1	0.00168247052838	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00204689080468	1	1	1	1	1	1	1	0.01405503369	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0966606467832	1	0.053135475692	1	1	1	1	1	1	1	1	1	1	1	1	1	1.39126099052e-06	1	1	1	1	1	1	1	1	1	1	1	0.036014307059	0.0762484435302	1	1	0.00337222607323	0.0509918696144	1	0.0112735945031	1	1	1	1	1	0.0280404417803	0.00538102800567	1	1	1	1	1	1	1	0.0586347506076	0.00843116389296	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00283032870695	1	1	1	1	1	0.000127402554845	1	1
