	ARID3A	ARNT	ASCL2	ATF3	BATF3	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF8	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	NR3C1	PKNOX1	PLSCR1	RUNX1	SOX4	TCF4	TCF7L2	TFDP2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF385A
Kit_receptor_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0390604143923	1	1
Leptin_signaling_pathway	1	1	0.0641645872029	1	1	1	1	1	1	1	1	1	0.0827083195243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0459192030248	1	1
MAPK_Signaling_Pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0161889991057	1	1	1	1	1
Matrix_Metalloproteinases	1	1	1	1	1	0.0388961810454	1	1	1	1	1	1	0.0222392112926	1	1	1	1	1	1	1	1	1	1	1	0.0913259929858	1	1	1	1	1	1	1	1	1	1	0.0573279576522	1	1
Metapathway_biotransformation	1	1	1	1	1	1	1	1	1	1	0.00595702137685	1	1	1	1	1	1	1	1	1	1	1	1	0.056997957244	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Monoamine_Transport	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0606663902909	1	1
Myometrial_Relaxation_and_Contraction_Pathways	1	1	1	1	1	1	1	1	0.0989700773252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0534927132842	1	0.049717719258	1	1	1	1	1	0.00866076307517
NOD_pathway	1	1	1	1	1	1	1	0.000171026885025	1	1	1	0.00162377824688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00161214877573	1	1	1	1	1	1	1	1	1	1	1
NRF2_pathway	1	1	1	1	1	1	1	1	1	1	1	0.0675112537781	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0261825480832	1	1	1	1	1	1	1	0.0933688241823	0.0321650515386	1	1
Oncostatin_M_Signaling_Pathway	1	1	0.00862128832813	1	1	1	1	0.071493990645	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04711519881	1	1	1	1	1	1	1	1	0.0495587667121	1	1
Osteoclast_Signaling	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0275741758558	1	1	1	1	1	1	1	1	1	1	1	1	1
Oxidation_by_Cytochrome_P450	1	1	1	1	1	1	1	1	1	1	0.0288861554121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Oxidative_Stress	0.00746329995528	1	1	1	0.0189526948556	0.0388961810454	1	1	1	0.00892154891796	0.00746329995528	0.00329536186042	1	1	1	1	1	1	1	1	1	0.0269598282818	1	1	0.0138023066282	0.00817762795871	0.00206219686789	1	1	0.0347244196851	1	1	1	1	1	1	1	1
Oxidative_phosphorylation	1	1	1	1	0.081346211281	0.00499036389698	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000679247688729	1	0.0191502416695	0.00105913110845	1	0.0261104452358	1	1	8.4314870652e-07	1	1	1	1	1	0.0157677916098	1	1	1	1
Parkin-Ubiquitin_Proteasomal_System_pathway	1	1	1	1	1	1	1	0.0831269715836	0.00145173925158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00485412139116	1
Pathogenic_Escherichia_coli_infection	1	1	1	0.078732549932	1	1	1	1	4.5726686928e-06	1	1	1	0.000910982784996	0.078732549932	1	0.0684637777034	1	1	1	1	0.00722854182278	1	1	1	0.015541175072	1	1	1	1	1	1	0.000332011014584	0.00204884113507	1	1	1	0.0328423685007	0.00137648418504
Primary_Focal_Segmental_Glomerulosclerosis_FSGS	1	0.0545849273975	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0964903893322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Prostaglandin_Synthesis_and_Regulation	1	0.0106306153439	1	1	0.0178061696235	1	1	1	0.0479621445985	1	1	1	1	1	1	1	1	1	1	1	1	0.0253522973021	0.00358006023362	1	1	1	0.0116501370484	1	1	1	0.00699970392045	1	1	1	1	1	0.00909612851543	1
Proteasome_Degradation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0181954608346	1	1	1	1	1	1	1	1
Quercetin_and_Nf-kB/_AP-1_Induced_Cell_Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0562446603532	1	1	1	1	1	1	1	1	1	1	1
Quercetin_and_Nf-kB/_AP-1_induced_cell_apoptosis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0412361645764	1	1	1	1	1	1	1	1	1	1	1
RANKL/RANK_Signaling_Pathway	0.0231874749155	1	1	1	1	1	1	0.00595455443817	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0254969165533	1	1	1	1	1	1	1	1	0.00511449057855	1	1
Regulation_of_Actin_Cytoskeleton	1	1	1	1	1	1	0.0370195642548	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0443343031211	1	1	1	1	1	1	1	1	1	1	0.00534665572278	1	1	1	1	1	0.00911537859551
Regulation_of_toll-like_receptor_signaling_pathway	1	1	0.0653815441217	1	1	1	1	0.0148051560029	1	0.0281929886591	1	0.0262097692713	0.000616420784648	1	1	1	1	0.0392204188788	1	1	1	1	1	1	1	1	0.000337534431266	1	1	1	1	1	1	1	1	1.27812544914e-06	1	1
SIDS_Susceptibility_Pathways	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0746238704896	1	1	1	1	1	1	1	1	1	1
SREBP_signalling	1	1	1	1	1	0.0244297297334	1	1	7.53221265138e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018358931088	0.00246165351161	1	1	1	1	1	0.000384659768657	1	1	1	1	1	1
Selenium_Micronutrient_Network	1	1	1	1	1	1	1	1	1	0.000620597839185	1	1	1	1	1	1	1	1	1	1	1	0.0349689047098	1	1	1	1	0.00429821801805	1	1	1	1	1	1	0.024422066262	1	0.0232347434356	1	1
Selenium_Pathway	1	1	1	1	1	1	1	1	1	0.000676538007118	1	1	1	1	1	1	1	1	1	1	1	0.0370431453209	1	1	1	1	0.00493994697641	1	1	1	1	1	1	0.0254819664343	1	0.0250195858175	1	1
Senescence_and_Autophagy	0.0787139623588	1	1	1	1	1	1	1	1	0.0921741432341	1	0.00662190541369	0.0485433714457	1	1	1	1	1	0.00115776887159	0.0327919927158	1	1	0.0428877427402	1	1	1	0.00157393417435	1	1	0.0865283109343	1	1	1	1	1	0.000407109951579	0.0991387376714	1
Small_Ligand_GPCRs	1	1	1	1	1	1	1	1	1	1	1	0.0610938595044	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020790031424	1	1	1	1	1	1	1	1	1	1	1
Spinal_Cord_Injury	1	1	1	1	1	1	1	1	1	1	1	0.0109696148362	0.0612663246996	1	1	1	1	0.0284407440084	1	1	1	1	1	1	0.047923129789	1	0.0100556030199	1	1	1	1	1	1	1	1	1	1	1
Statin_Pathway	1	1	1	1	1	1	1	1	0.0450987400079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00212714561613	1	1	1	1	1	1
Striated_Muscle_Contraction	1	1	1	1	1	0.0671526679176	1	1	0.0868736073622	1	1	1	0.0391152590131	0.0430594398191	1	1	1	1	1	1	1	1	1	1	0.0310017878889	1	1	1	1	0.0602064137188	1	1	1	1	1	1	1	0.00069748771929
Sulindac_Metabolic_Pathway	1	1	1	1	1	1	1	1	1	1	0.000171579935286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TCR_Signaling_Pathway	1	1	1	1	1	1	1	0.0235777438142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0210013603333	1	1	1	1	1	1	1	1	1	1	1
TGF_Beta_Signaling_Pathway	1	1	0.0489876358785	1	1	1	1	1	1	1	1	1	0.0635100084482	1	1	0.0604993594493	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TOR_Signaling	1	0.0151008706234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TP53_Network	1	1	1	1	1	1	1	1	1	1	1	0.0666547869107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.15097833631e-06	1	1	1	1	1	1	1	1
TSH_signaling_pathway	1	1	0.069537862864	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TSLP_Signaling_Pathway	1	1	1	1	1	1	1	0.000308797960393	1	0.0222757667917	1	0.00319570928164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000100732996187	1	1	1	1	1	1	1	1	0.0244297297351	1	1
TWEAK_Signaling_Pathway	1	1	0.0312518743427	1	1	1	1	0.002812342545	1	1	1	1	1	1	1	0.0388367669127	1	1	1	1	1	1	1	1	1	1	0.00875640543064	1	1	1	1	1	1	1	1	1	1	1
Tamoxifen_metabolism	1	1	1	1	1	1	1	1	1	1	0.0034580473686	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Toll-like_receptor_signaling_pathway	1	1	0.0290598464052	0.0481991108479	1	1	1	0.0047813608864	1	0.0118915651974	1	0.00487874768753	0.000104369872632	1	1	1	1	0.0214207903066	1	1	1	1	1	1	1	1	1.10576418584e-05	1	1	1	1	1	1	1	1	4.49104805567e-08	1	1
Trans-sulfuration_and_one_carbon_metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00302953739071	1	1	1	1	1	1	1	1
Transcriptional_activation_by_NRF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00925713640378	1	1	1	1	1	1	1	1	1	1	1
Tryptophan_metabolism	1	1	1	1	1	1	1	1	1	1	0.0166545077917	0.0145956548991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Type_II_interferon_signaling_(IFNG)	1.57391702005e-07	1	1.48098163233e-06	0.00193866624596	1	1	1	5.24887154224e-05	1	0.00948944301468	1	0.00370823652782	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.121092439e-11	1	1	0.000214659109904	1	1	1	1	1	2.17483950637e-06	1	1
Vitamin_A_and_Carotenoid_Metabolism	1	1	1	1	0.0305899627658	0.0616115995675	1	1	0.0798676936393	1	0.0122340270332	1	1	0.0393945132782	1	0.0340058507683	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Vitamin_B12_Metabolism	1	1	1	1	1	1	1	0.000981659574638	1	0.00033200392249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0017718365352	1	1	1	1	1	1	1	1	0.0540571493123	1	1
Wnt_Signaling_Pathway_and_Pluripotency	1	1	1	1	1	1	1	1	1	0.0837336651526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
metapathway_biotransformation	1	1	1	1	1	1	1	1	1	1	0.00657326777552	1	1	1	1	1	1	1	1	1	1	1	1	0.0599075739149	1	1	1	1	1	1	1	1	1	1	1	1	1	1
miR-targeted_genes_in_leukocytes_-_TarBase	1	1	1	1	1	1	1	1	0.0153016235342	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0227835159996	1	1	1	1	1	1	0.0641714296664	0.0167395420435	1	1	1	1	1
miR-targeted_genes_in_lymphocytes_-_TarBase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0189795739875	1	1	1	1	1
miR-targeted_genes_in_muscle_cell_-_TarBase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0956344118656	1	1	1	1	1	1	1	1	1	1	1	1	0.0885147468097	1	1	1	1	1
miRNA_Regulation_of_DNA_Damage_Response	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0558532179598	1	1	1	1	1	1	1	0.0776342321749	1	1	1	1	1	1	0.0916123533024	1
