	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YBX3	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF385A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
Aryl_Hydrocarbon_Receptor		CCL1 CYP1B1 NQO1			CCL1 CD36	AHR CCL1 CDKN1A HSP90AA1		CYP1B1 NFE2L2 NQO1		CCL1 CD36 CDKN1A GCLC LPL NFE2L2 NFKB1		CCL1 CDKN1A HSP90AA1				CCL1 HSP90AA1						CD36 NFKB1	AHR CDKN1A LPL			CCL1 CDKN1A HSP90AA1 KLF6 LPL		AHR CD36 GCLC NFE2L2 NFKB1			CYP1B1 LPL NFE2L2						CDKN1A CYP1B1 HSP90AA1 LPL NQO1	AHR CCL1 GCLC HSP90AA1 KLF6 LPL NFE2L2		CCL1 CD36 GCLC NFE2L2								CCL1 CD36 CDKN1A	CCL1 CDKN1A				CCL1 CDKN1A		AHR KLF6 NFE2L2	CCL1 CYP1B1 HSP90AA1			AHR GCLC HSP90AA1 NFE2L2									CCL1 CDKN1A HSP90AA1	AHR CD36 CYP1B1 GCLC NFKB1 NQO1		KLF6 NFE2L2	CD36 NFE2L2 NFKB1	AHR CDKN1A GCLC HSP90AA1		AHR CD36 GCLC KLF6 NFE2L2 NFKB1 NQO1				CCL1 CD36 GCLC NFE2L2		CCL1 CD36 NQO1					CCL1 CD36 CDKN1A LPL	CCL1 CDKN1A	CCL1 CD36 CDKN1A NFE2L2			HSP90AA1 NFE2L2 NQO1					AHR KLF6 NFE2L2 NFKB1				CCL1 CDKN1A LPL					CCL1 HSP90AA1		CDKN1A CYP1B1 HSP90AA1 NFE2L2										CD36 GCLC NFE2L2			CCL1 CDKN1A HSP90AA1	
Aryl_Hydrocarbon_Receptor_Pathway		CYP1B1 MGST1 NQO1				AHR HSP90AA1 IL1B JUN JUNB		CYP1B1 NFE2L2 NQO1																				AHR IL1B MGST1 NFE2L2						AHR MGST1		MGST1 NFE2L2	CYP1B1 HSP90AA1 NQO1	AHR HSP90AA1 IL1B JUNB MGST1 NFE2L2																	AHR JUNB NFE2L2	CYP1B1 HSP90AA1			AHR HSP90AA1 IL1B MGST1 NFE2L2									HSP90AA1 JUNB					AHR HSP90AA1 IL1B JUNB	AHR IL1B JUN MGST1	AHR IL1B MGST1 NFE2L2 NQO1		AHR IL1B JUN MGST1 NFE2L2		IL1B MGST1 NFE2L2		JUNB MGST1 NQO1										HSP90AA1 IL1B JUN NFE2L2 NQO1	IL1B JUNB				AHR IL1B NFE2L2											CYP1B1 HSP90AA1 MGST1 NFE2L2		HSP90AA1 JUN												
Arylhydrocarbon_receptor_(AhR)_signaling_pathway		CYP1B1 NQO1				AHR CDKN1A HSP90AA1 JUN		CYP1B1 NFE2L2 NQO1															AHR CDKN1A			CDKN1A HSP90AA1 JUN			CDKN1A HSP90AA1		CYP1B1 NFE2L2						CDKN1A CYP1B1 HSP90AA1 NQO1																		AHR NFE2L2	CYP1B1 HSP90AA1			AHR HSP90AA1 NFE2L2									CDKN1A HSP90AA1					AHR CDKN1A HSP90AA1	AHR JUN			AHR JUN NFE2L2										CDKN1A JUN				HSP90AA1 JUN NFE2L2 NQO1					AHR NFE2L2											CDKN1A CYP1B1 HSP90AA1 NFE2L2		HSP90AA1 JUN											CDKN1A HSP90AA1	
BCL-XL_prevents_the_binding_of_truncated_BID_to_BAX._This_is_prevented_by_BAD._BAD_can_displace_tBID_from_BCL-XL.___					BID BIRC3 CCL2	BID BIRC3 GLUL HSP90AA1 JUN TNFRSF1B										BIRC3 HSP90AA1														GLUL JUN NFKB2 NFKBIA										BID BIRC3 CCL2 CFLAR TXN		GLUL NFKBIA						BID BIRC3 CFLAR TXN				CCL2 NFKB1 NFKBIA								BID CCL2 TXN									BID BIRC3 GLUL MAP3K8 NFKB1 NFKB2 NFKBIA TXN			BID CCL2 NFKB1 NFKB2 NFKBIA TXN		CCL2 GLUL JUN NFKBIA						BIRC3 NFKB2 NFKBIA									BIRC3 CCL2 CFLAR NFKBIA TXN		HSP90AA1 JUN MAP3K8 NFKB2 NFKBIA TXN		BID BIRC3 CCL2 GLUL NFKBIA										CFLAR GLUL MAP3K8 NFKBIA TXN		CFLAR HSP90AA1 TXN						BID CFLAR TXN		HSP90AA1 NFKBIA							GLUL HSP90AA1 TNFRSF1B	
BDNF_signaling_pathway																								CAMK1 FOS						CAMK1 JUN NCF1 NCF2 NFKBIA STAT1 YBX1																		CTNNB1 EGR2 FOS NCF1 SQSTM1 STAT1				MARCKS NCF1 NCF2 NFKB1 NFKBIA PRKAA1				EGR2 NCF2 SPP1							CTNNB1 NCF1 YBX1											CAMK1 FOS JUN NCF1 NFKBIA YBX1				CAMK1 EGR2 FOS MARCKS NCF1 NFKBIA STAT1 YBX1									CAMK1 EGR2 JUN NCF2 SPP1																															MARCKS NCF1 NFKBIA SQSTM1			
Benzo(a)pyrene_metabolism																																																								CYP1B1 EPHX1																																																																	
Bladder_Cancer						CCND1 CDKN1A CDKN2A											CDKN1A MDM2												CCND1 CDKN1A			CCND1 CDKN2A					CDKN1A CDKN2A																CDKN1A CDKN2A															CCND1 CDKN1A					CCND1 CDKN1A CDKN2A													CDKN1A CDKN2A	CDKN1A CDKN2A								CDKN2A MDM2					CCND1 CDKN1A		CDKN1A CDKN2A																			
Calcium_Regulation_in_the_Cardiac_Cell																																						ATP1B1 ATP2B1 CALR CAMK1 FKBP1A PRKACB RGS1 RGS16 RGS20 YWHAH YWHAQ																		ATP1B1 FKBP1A RGS16 YWHAH YWHAQ		CALR GNG11	ATP1B1 ATP2B1 CALR FKBP1A PRKACB RGS1 RGS16 RGS20 YWHAH YWHAQ																																																		ATP1B1 CAMK1 RGS16 YWHAQ						CAMK1 RGS16						
Cell_Cycle																	CDKN1A MDM2																														PTTG1 YWHAH YWHAQ						CDKN1A CDKN2A																																		CDKN1A CDKN2A PTTG1 YWHAH								CDKN2A MDM2							CDKN1A CDKN2A																			
Cholesterol_Biosynthesis																										FDPS MSMO1 SQLE			FDPS SQLE		FDPS MSMO1 SQLE																											FDPS MSMO1 SQLE	FDPS MSMO1 SQLE																			FDPS MSMO1 SQLE			FDPS MSMO1 SQLE													FDPS SQLE									FDPS MSMO1																		
Complement_Activation,_Classical_Pathway										C1QB CD55		C1QA C1QC																C1QA C1QB C1QC CD55	C1QA C3					C1QB C1QC				C1QA C1QB C1QC C3	C1QC CD55			C1QA C1QB C1QC													C1QB C1QC				C1QA C1QB C1QC C3 CD55										C1QA C1QB C1QC C3				C1QA C1QB C1QC C3	C1QA C1QB C1QC	C1QA C1QB C1QC C3				C1QA C1QB CD55					C1QA C1QB							C1QB C3	C1QA C1QB C1QC CD55															C1QA C3														
Complement_and_Coagulation_Cascades		C1QC CFD CLU										C1QA C1QC C5AR1 CFD CLU SERPING1	CLU PLAUR		C3 SERPINA1					C5AR1 PLAUR			C3 SERPINA1					C1QA C1QB C1QC CD55 PLAUR SERPINA1	C1QA C3 C5AR1 CLU PLAUR		C3 CFD SERPING1			C1QB C1QC				C1QA C1QB C1QC C3 C5AR1 CFD CLU F3 SERPINA1	C1QC C5AR1 CD55 CLU PLAUR			C1QA C1QB C1QC			C1QC C5AR1 CLU		C5AR1 CLU F3 PLAUR				C1QC SERPING1	C5AR1 CLU PLAUR			C1QB C1QC C5AR1 CFD CLU F3	C3 C5AR1			C1QA C1QB C1QC C3 CD55 SERPINA1	PLAUR SERPINA1							C1QA SERPINA1		C1QA C1QB C1QC C3 PLAUR SERPINA1 SERPING1				C1QA C1QB C1QC C3 PLAUR SERPINA1	C1QA C1QB C1QC CLU PLAUR SERPINA1	C1QA C1QB C1QC C3 PLAUR SERPINA1 SERPING1				C1QA C1QB CD55 CLU F3 SERPINA1					C1QA C1QB		CFD CLU F3		C3 C5AR1 CFD CLU SERPING1				C1QA C1QB C1QC CD55 SERPINA1								CD55 CFD F3 PLAUR							C1QA C3 CLU F3														
Constitutive_Androstane_Receptor_Pathway																ALAS1 HSP90AA1										ALAS1 HSP90AA1 SULT1A1											HSP90AA1 SULT1A1												ALAS1 SULT1A1							HSP90AA1 SULT1A1												ALAS1 HSP90AA1 SULT1A1																		ALAS1 SULT1A1																			ALAS1 HSP90AA1		HSP90AA1 SULT1A1		ALAS1 HSP90AA1			ALAS1 HSP90AA1									
Corticotropin-releasing_hormone																						IL18 NFKB1 NFKBIA																														IL18 NFKB1 NFKBIA																																																													HSP90AA1 NFKBIA								
Cytochrome_P450													CYP19A1 CYP1B1 CYP27B1			CYP19A1 CYP27A1																																														CYP19A1 CYP27A1																		CYP19A1 CYP27B1																				CYP19A1 CYP27A1 CYP27B1							CYB5A CYP1B1 CYP27A1							CYP19A1 CYP27B1							
Cytokines_and_Inflammatory_Response			CXCL2 IL1B			CXCL2 IL1B																																	CXCL2 IL1B											CXCL2 IL1B					CSF1 CXCL2				CSF1 CXCL2 IL1B														CSF1 CXCL2 IL1B	CXCL2 IL1B																						CXCL2 IL1B	CSF1 CXCL2												CSF1 CXCL2											CSF1 CXCL2	
DNA_Damage_Response						BID CCND1 CDKN1A CYCS GADD45G PMAIP1						CCND1 CDKN1A CYCS PMAIP1					CDKN1A CYCS MDM2						CDKN1A PMAIP1			CCND1 CCND2 CDKN1A CYCS GADD45B GADD45G			CCND1 CDKN1A CYCS																			BID CCND1 CDKN1A GADD45G PMAIP1					CDKN1A CYCS PMAIP1															CCND1 CDKN1A CYCS				BID CCND2 GADD45G NBN	CCND1 CCND2 CDKN1A CYCS GADD45G				BID CCND2 CYCS MDM2									BID CDKN1A PMAIP1																									BID NBN										
DNA_Damage_Response_(only_ATM_dependent)																	CDKN1A MDM2						CDKN1A PMAIP1																									CCND1 CDKN1A CTNNB1 PMAIP1					CDKN1A PMAIP1																								CCND2 JUN MDM2 PCK2 SOD2																																												
Differentiation_Pathway																																															CSF1 INHBA																					CSF1 CSF1R																																																					
Diurnally_Regulated_Genes_with_Circadian_Orthologs	ETV6 G0S2 NCOA4					DNAJA1 G0S2 GSTP1 HERPUD1 NCOA4	HERPUD1 PSMA4					BTG1 GSTM3 GSTP1 PSMA4			G0S2 HSPA8											DNAJA1 GSTP1 HSPA8 TOB1		BTG1 DNAJA1 G0S2 HERPUD1 NCOA4							G0S2 HERPUD1 HSPA8		HSPA8 NCOA4	BTG1 G0S2 GSTP1 HSPA8 NCOA4 TOB1						BTG1 G0S2 NCOA4 PSMA4				GSTM3 GSTP1 PSMA4		HERPUD1 HSPA8 NCOA4									BTG1 DNAJA1 G0S2 GSTP1 HSPA8 NCOA4 TOB1													DNAJA1 G0S2 PSMA4	G0S2 GSTM3 GSTP1 HERPUD1 HSPA8 TOB1	BTG1 G0S2 NCOA4	BTG1 DNAJA1 G0S2 HERPUD1 HSPA8 NCOA4 PSMA4 TOB1													BTG1 DNAJA1 NCOA4 PSMA4	G0S2 GSTP1 NCOA4 PSMA4	BTG1 DNAJA1 HERPUD1 HSPA8 NCOA4 PSMA4		BTG1 HERPUD1				DNAJA1 G0S2 HSPA8 NCOA4				BTG1 GSTM3 GSTP1					BTG1 DNAJA1 HSPA8 PSMA4												BTG1 DNAJA1 ETV6 NCOA4				
Dopamine_metabolism																																																																																											NQO1 PRKACB												NQO1 PRKACB																		
EBV_LMP1_signaling						CCL20 HSP90AA1																NFKB1 NFKBIA						CCL20 CCL5 NFKB1 NFKBIA		CCL5 NFKB2 NFKBIA																						NFKB1 NFKBIA							CCL20 HSP90AA1 NFKBIA										CCL5 NFKB1 NFKB2 NFKBIA			CCL20 CCL5 NFKB1 NFKB2 NFKBIA		CCL20 NFKBIA	CCL20 CCL5 NFKB1 NFKB2 NFKBIA			CCL5 NFKB2 NFKBIA		CCL20 CCL5 NFKB2 NFKBIA	CCL5 NFKBIA	CCL5 NFKBIA						CCL5 NFKB2 NFKBIA	CCL5 NFKBIA		CCL5 HSP90AA1 NFKB2 NFKBIA		CCL5 NFKBIA										CCL20 CCL5 NFKBIA										HSP90AA1 NFKBIA				CCL20 NFKB2				
EGF/EGFR_Signaling_Pathway																																																																																																						AURKA DOK2																			
EPO_Receptor_Signaling																														PTPRC STAT1																		PTPRC STAT1																																																																									
Eicosanoid_Synthesis				PTGDS PTGES	LTA4H TBXAS1	LTA4H PTGES		ALOX5AP PTGES TBXAS1														PTGDS PTGES TBXAS1								ALOX5AP LTA4H PTGDS	ALOX5AP PTGS1							LTA4H PTGES PTGS1		ALOX5AP LTA4H TBXAS1				LTA4H TBXAS1		LTA4H TBXAS1									ALOX5AP PTGDS						ALOX5AP LTA4H PTGDS TBXAS1													ALOX5AP PTGES	ALOX5AP PTGES PTGS1			ALOX5AP LTA4H PTGES PTGS1	PTGDS PTGES		ALOX5AP LTA4H PTGS1						ALOX5AP PTGES	ALOX5AP LTA4H PTGS1 TBXAS1								ALOX5AP PTGDS	ALOX5AP PTGDS	ALOX5AP PTGES														ALOX5AP TBXAS1							ALOX5AP PTGES PTGS1		
Electron_Transport_Chain				COX5B MT-ND2 NDUFB6			COX5B MT-ND2 MT-ND4 MT-ND5	MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 SLC25A5																	MT-CYB MT-ND4																					MT-CYB MT-ND2 MT-ND4 MT-ND5 SLC25A5				ATP5G3 NDUFB6 SLC25A5		ATP5G3 MT-ND2 NDUFB6 SLC25A5			ATP5G3 COX5B NDUFB6 NDUFB9 SLC25A5							MT-CYB MT-ND5 NDUFB9				MT-ND2 MT-ND4 MT-ND5										MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 UCP2																					ATP5G3 NDUFB6 UCP2	COX5B NDUFB6 NDUFB9					ATP5G3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 SLC25A5 UCP2																		
Endochondral_Ossification															SPP1 TIMP3																																									SPP1 TIMP3																																				MMP9 STAT1 TIMP3																													
Endothelin_Pathways	GNA15 PTGIR			GNA15 PTGIR																		CALM1 GNA15 RAMP1						CALM1 GNA15 PTGIR																																																																																													
ErbB_Signaling_Pathway																	CDKN1A MDM2									CCND1 CDKN1A HBEGF JUN																						CCND1 CDKN1A HBEGF																				CCND1 CDKN1A HBEGF																																CCND1 CDKN1A HBEGF																					
Estrogen_metabolism		CYP1B1 NQO1						CYP1B1 NQO1																													CYP1B1 NQO1 SULT1A1																			CYP1B1 SULT1A1													CYP1B1 NQO1 SULT1A1																																						CYP1B1 SULT1A1														
Estrogen_signaling_pathway																																																																										FOS JUN																																															
FAS_pathway_and_Stress_induction_of_HSP_regulation						CYCS HSPB1 JUN													CFLAR RIPK2										CYCS HSPB1			CYCS HSPB1																		CYCS HSPB1																																																											CYCS HSPB1 JUN												
Fatty_Acid_Beta_Oxidation										ACSL1 ACSL4 LPL																									ACSL1 DLD				ACSL4 LPL																																																ACSL1 DLD		ACSL1 ACSL4 DLD		ACSL1 ACSL4 DLD									ACSL4 LPL																					
