TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
NFE2L2	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	236	16	2.07527994789e-10	6.39497515942e-06	C1QA C1QB C1QC C2 C3 C3AR1 FCGR2A FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 PTAFR
RBPJ	KEGG-hsa05416	Viral_myocarditis	71	0	108	13	3.22935456154e-10	9.95093314593e-06	BID CD40 CD55 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1
FOS	KEGG-hsa05152	Tuberculosis	180	0	95	18	3.43943429293e-10	1.05979288868e-05	CALM2 CALM3 CD14 CD74 CLEC4E CLEC7A CORO1A CTSD FCGR3A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL10RA IL18 MRC1 STAT1
RBPJ	KEGG-hsa04640	Hematopoietic_cell_lineage	88	0	108	14	4.52121340366e-10	1.39307627394e-05	ANPEP CD14 CD36 CD38 CD44 CD55 CD9 CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL3RA MME
RBPJ	KEGG-hsa05323	Rheumatoid_arthritis	91	0	108	14	7.13375358785e-10	2.19798081795e-05	ATP6V1D CCL2 CCL3 CCL3L3 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1 IL1B
NR1H3	KEGG-hsa05152	Tuberculosis	180	0	180	24	7.19448500774e-10	2.21662083089e-05	C3 CALM1 CALM3 CD14 CD74 CLEC4E CLEC7A CYCS FCGR2A FCGR2B FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 HSPD1 IFNGR1 IL10RA IL18 IL1B LSP1 TLR2
ATF3	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	123	12	8.57163229284e-10	2.6408341931e-05	C3 C3AR1 CFD FPR1 FPR2 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 PTAFR
RBPJ	KEGG-hsa05330	Allograft_rejection	38	0	108	10	9.00203467324e-10	2.77334684213e-05	CD40 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5
DNMT1	KEGG-hsa05130	Pathogenic_Escherichia_coli_infection	55	0	23	7	9.2874596902e-10	2.86118770676e-05	ACTB ACTG1 NCL TUBA1A TUBA1B TUBB TUBB4B
MEF2A	KEGG-hsa04612	Antigen_processing_and_presentation	78	0	210	17	1.23207299918e-09	3.79552408127e-05	CALR CD74 CTSS HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E HSP90AA1 HSPA5 HSPA8 IFI30 PSME1
MTF1	KEGG-hsa04978	Mineral_absorption	51	0	41	8	1.39587108539e-09	4.29998087853e-05	MT1E MT1F MT1G MT1H MT1M MT1X MT2A SLC11A1
RUNX1	KEGG-hsa04612	Antigen_processing_and_presentation	78	0	18	7	1.57017665536e-09	4.83677216918e-05	CD74 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HSP90AB1
RBPJ	KEGG-hsa04145	Phagosome	152	0	108	17	1.57293111869e-09	4.84509972489e-05	ATP6V1D CD14 CD36 CLEC7A CYBB FCGR2B HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO MRC1 OLR1
MEF2A	KEGG-hsa05323	Rheumatoid_arthritis	91	0	210	18	2.09202377643e-09	6.44385163617e-05	ATP6V1D CCL20 CCL3 CD86 CSF1 CTSK FLT1 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL18 IL1B TLR2 TNFSF13B
HMGA1	KEGG-hsa04145	Phagosome	152	0	263	26	2.21154616842e-09	6.81178335334e-05	ACTB ACTG1 ATP6V1D C3 CALR CD14 CTSS CYBB FCGR1A FCGR2A FCGR3A HLA-A HLA-DQA1 HLA-DQB1 HLA-DRB1 MARCO MRC1 MSR1 NCF1 NCF2 OLR1 TLR2 TUBA1B TUBA4A TUBB TUBB2A
RBPJ	KEGG-hsa05332	Graft-versus-host_disease	43	0	108	10	3.36303562776e-09	0.000103581497335	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B
ATF3	KEGG-hsa05152	Tuberculosis	180	0	123	19	4.10611011858e-09	0.000126464085542	BID C3 CALM1 CD14 CD74 CLEC4E CTSS CYCS HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL10RA IL18 IL1B TLR2
RBPJ	KEGG-hsa04940	Type_I_diabetes_mellitus	44	0	108	10	4.28812041431e-09	0.00013206553252	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B
ATF3	KEGG-hsa04612	Antigen_processing_and_presentation	78	0	123	13	5.51232726131e-09	0.000169763142667	CD74 CTSS HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 HSP90AA1 HSP90AB1 HSPA5 LGMN
POU2F2	KEGG-hsa04060	Cytokine-cytokine_receptor_interaction	267	0	135	24	5.76489056492e-09	0.000177535569837	CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4L2 CCL7 CCL8 CCR1 CSF1R CSF2RA CXCL2 IFNGR1 IFNGR2 IL18 IL1B IL3RA IL7R INHBA RELT TNFRSF21 TNFSF13B
PKNOX1	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	300	16	7.04279057295e-09	0.000216882735694	C1QA C1QB C1QC C2 C3 C3AR1 FCGR2A FCGR2B FCGR3A FPR1 FPR2 HLA-DMB HLA-DPB1 HLA-DQA1 ICAM1 PTAFR
ETS2	KEGG-hsa05140	Leishmaniasis	72	0	194	15	7.85498976974e-09	0.000241886554969	FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2
FOXO3	KEGG-hsa04145	Phagosome	152	0	93	15	1.08076030347e-08	0.000332798520249	ACTB ACTG1 ATP6V1D C3 CALR CORO1A CTSS HLA-A HLA-DQA1 NCF1 TUBA1A TUBA1B TUBB TUBB2A TUBB4B
NR1H3	KEGG-hsa05323	Rheumatoid_arthritis	91	0	180	16	1.09210298582e-08	0.000336280351394	ATP6V1D CCL20 CCL3 CCL3L3 CD86 CSF1 CTSK HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 IL18 IL1B TLR2
ETV5	KEGG-hsa04145	Phagosome	152	0	80	14	1.15275142765e-08	0.000354943692087	ACTB ACTG1 ATP6V1D C3 CALR CD14 CTSS FCGR1A FCGR2B FCGR3A NCF2 TUBA1B TUBA4A TUBB
HMG20B	KEGG-hsa04145	Phagosome	152	0	56	12	1.22628521781e-08	0.000377573218565	ACTG1 CD14 FCGR1A FCGR3A HLA-DMA HLA-DQB1 MARCO TUBA1A TUBA1B TUBA4A TUBB TUBB4B
RBPJ	KEGG-hsa04612	Antigen_processing_and_presentation	78	0	108	12	1.27488926083e-08	0.000392525654516	CD74 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HSP90AB1 HSPA1A PSME1
FOS	KEGG-hsa05140	Leishmaniasis	72	0	95	11	1.48214873708e-08	0.000456323953171	FCGR3A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 JUN NCF1 NCF2 NFKBIA STAT1
MEF2A	KEGG-hsa04145	Phagosome	152	0	210	22	1.51496607481e-08	0.000466412605452	ATP6V1D C3 CALR CD14 CTSS CYBB FCGR2A FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E OLR1 TLR2 TUBA1B TUBA4A TUBB2A
ETS2	KEGG-hsa05152	Tuberculosis	180	0	194	23	1.71182423792e-08	0.000527002209885	CALM1 CALM3 CD14 CD74 CLEC4E CLEC7A FCGR2A FCGR2B FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IFNGR2 IL18 IL1B LSP1 NFKB1 TLR2
ETS2	KEGG-hsa04640	Hematopoietic_cell_lineage	88	0	194	16	1.94368976469e-08	0.000598364894061	CD14 CD36 CD38 CD44 CD55 CD9 CSF1R CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA IL3RA IL7R MME
RUNX1	KEGG-hsa05310	Asthma	30	0	18	5	2.00831496988e-08	0.000618239680328	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
RBPJ	KEGG-hsa05152	Tuberculosis	180	0	108	17	2.11501106628e-08	0.000651063856534	BID CALM3 CD14 CD74 CLEC7A FCGR2B HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR2 IL1B LSP1 MRC1
RUNX1	KEGG-hsa05152	Tuberculosis	180	0	18	8	2.24756928624e-08	0.00069184677769	CALM1 CALM3 CD74 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
NR3C1	KEGG-hsa05323	Rheumatoid_arthritis	91	0	118	13	2.29626940795e-08	0.000706814686462	ACP5 CCL2 CCL20 CCL3 CCL3L3 CD86 FOS HLA-DPA1 HLA-DPB1 HLA-DRA IL1B JUN TLR2
MEF2A	KEGG-hsa04940	Type_I_diabetes_mellitus	44	0	210	12	2.46172121576e-08	0.000757717790212	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E HSPD1 IL1B
ZNF267	KEGG-hsa05130	Pathogenic_Escherichia_coli_infection	55	0	11	5	2.6516759899e-08	0.00081615935293	ACTB ACTG1 TUBA1A TUBB TUBB4B
RBPJ	KEGG-hsa05320	Autoimmune_thyroid_disease	53	0	108	10	2.93099086113e-08	0.000902100367238	CD40 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5
HMG20B	KEGG-hsa05130	Pathogenic_Escherichia_coli_infection	55	0	56	8	3.51537123855e-08	0.00108192580609	ACTG1 CD14 TUBA1A TUBA1B TUBA4A TUBB TUBB4B YWHAQ
KLF3	KEGG-hsa04978	Mineral_absorption	51	0	24	6	3.7897255889e-08	0.00116632594724	FTH1 MT1E MT1F MT1H MT1X MT2A
RBPJ	KEGG-hsa05310	Asthma	30	0	108	8	4.22099052377e-08	0.00129900983369	CD40 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5
NR3C1	KEGG-hsa04145	Phagosome	152	0	118	16	4.43613930035e-08	0.00136517750829	CD14 CLEC7A CORO1A CYBB FCGR2A FCGR2B HLA-DPA1 HLA-DPB1 HLA-DRA MARCO MRC1 NCF1 OLR1 TLR2 TUBA1A TUBB
DNMT1	KEGG-hsa04145	Phagosome	152	0	23	8	5.91656182936e-08	0.00182070357175	ACTB ACTG1 CORO1A MRC1 TUBA1A TUBA1B TUBB TUBB4B
CEBPD	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	40	7	6.27044794976e-08	0.0019295422431	C2 C3 C3AR1 FCGR1A FCGR3A FPR1 HLA-DMA
KLF6	KEGG-hsa05140	Leishmaniasis	72	0	65	9	6.94091949471e-08	0.00213579033772	FCGR2A HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 NCF1 NCF2 NFKB1 NFKBIA
RUNX1	KEGG-hsa05330	Allograft_rejection	38	0	18	5	6.9669813918e-08	0.00214374017426	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
NR1H3	KEGG-hsa04612	Antigen_processing_and_presentation	78	0	180	14	7.19066339805e-08	0.00221249522095	CD74 CTSB HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 HSP90AA1 HSP90AB1 HSPA5 HSPA8 LGMN
RUNX1	KEGG-hsa05322	Systemic_lupus_erythematosus	136	0	18	7	7.88249745476e-08	0.00242528681688	C1QA C1QB HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
NR3C1	KEGG-hsa05152	Tuberculosis	180	0	118	17	8.20546763869e-08	0.0025245762284	CALM1 CALM3 CD14 CD74 CLEC4E CLEC7A CORO1A FCGR2A FCGR2B HLA-DPA1 HLA-DPB1 HLA-DRA IFNGR2 IL1B LSP1 MRC1 TLR2
ETS2	KEGG-hsa05332	Graft-versus-host_disease	43	0	194	11	8.80029202843e-08	0.00270749784547	CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B
ETS2	KEGG-hsa04145	Phagosome	152	0	194	20	9.56522965279e-08	0.00294274290268	ATP6V1D CALR CD14 CD36 CLEC7A CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO OLR1 TLR2
NR3C1	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	118	10	9.99982950889e-08	0.00307634755011	C1QA C1QB C1QC FCGR2A FCGR2B FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DRA
ETS2	KEGG-hsa04940	Type_I_diabetes_mellitus	44	0	194	11	1.13986355688e-07	0.00350656226002	CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B
POU2F2	KEGG-hsa05323	Rheumatoid_arthritis	91	0	135	13	1.16631908131e-07	0.00358783075794	ACP5 CCL2 CCL20 CCL3 CCL3L3 CD80 CD86 HLA-DRA ICAM1 IL18 IL1B JUN TNFSF13B
KLF6	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	65	8	1.17103288177e-07	0.00360221424763	C5AR1 FCGR2A FPR2 HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 ICAM1
NFE2L2	KEGG-hsa04145	Phagosome	152	0	236	22	1.2689738238e-07	0.003903363482	ATP6V1D C3 CALR CD14 CD36 CTSS CYBB FCGR2A FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E NCF1 OLR1 TLR2 TUBA1B TUBB2A TUBB4B
RBPJ	KEGG-hsa04672	Intestinal_immune_network_for_IgA_production	47	0	108	9	1.31039554097e-07	0.00403064564446	CD40 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5
RUNX1	KEGG-hsa05332	Graft-versus-host_disease	43	0	18	5	1.32360830407e-07	0.00407115442166	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
NR3C1	KEGG-hsa05140	Leishmaniasis	72	0	118	11	1.45298389875e-07	0.0044689425774	FCGR2A FOS HLA-DPA1 HLA-DPB1 HLA-DRA IFNGR2 IL1B JUN NCF1 NFKBIA TLR2
RUNX1	KEGG-hsa04940	Type_I_diabetes_mellitus	44	0	18	5	1.49060741195e-07	0.00458451215618	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
PKNOX1	KEGG-hsa04060	Cytokine-cytokine_receptor_interaction	267	0	300	35	1.6824287119e-07	0.00517430950346	CCL15 CCL18 CCL2 CCL20 CCL22 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CCR7 CD40 CSF1R CSF2RA CXCL2 CXCL3 IFNGR1 IFNGR2 IL10RA IL15RA IL18 IL1B IL2RA IL3RA IL7R INHBA TNFRSF12A TNFRSF21 TNFRSF4 TNFSF10 TNFSF13B TNFSF14 TNFSF9
MEF2A	KEGG-hsa05140	Leishmaniasis	72	0	210	14	1.73241536672e-07	0.0053278702188	C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B NFKBIA TLR2
FOS	KEGG-hsa05150	Staphylococcus_aureus_infection	55	0	95	9	1.78307201004e-07	0.00548348135248	C3AR1 C5AR1 FCGR3A FPR1 HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5
RUNX1	KEGG-hsa05323	Rheumatoid_arthritis	91	0	18	6	1.87563061083e-07	0.00576793925441	CCL3 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
MEF2A	KEGG-hsa05332	Graft-versus-host_disease	43	0	210	11	1.98202842805e-07	0.00609493561909	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E IL1B
NR1H3	KEGG-hsa05140	Leishmaniasis	72	0	180	13	1.99802321577e-07	0.00614392138848	C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B NCF2 TLR2
RUNX1	KEGG-hsa04672	Intestinal_immune_network_for_IgA_production	47	0	18	5	2.09368458681e-07	0.00643787073599	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
ATF3	KEGG-hsa05140	Leishmaniasis	72	0	123	11	2.22970612418e-07	0.00685590039063	C3 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B JUN TLR2
HMGN3	KEGG-hsa05323	Rheumatoid_arthritis	91	0	59	9	2.29897460513e-07	0.00706865721839	ACP5 CCL2 CCL20 CCL3 CCL3L3 HLA-DMA HLA-DMB IL1B TLR2
HMGN3	KEGG-hsa04145	Phagosome	152	0	59	11	2.3389803816e-07	0.00719142908127	ACTB ACTG1 CD14 CORO1A HLA-DMA HLA-DMB MARCO TFRC TLR2 TUBA1A TUBB
ETS2	KEGG-hsa05330	Allograft_rejection	38	0	194	10	2.59501209854e-07	0.00797836469696	CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5
PPARG	KEGG-hsa04145	Phagosome	152	0	169	18	2.70172511363e-07	0.00830618368934	ACTB ACTG1 ATP6V1D C3 CD36 CORO1A FCGR2A HLA-A HLA-DMB HLA-E MRC1 MSR1 NCF1 TAP1 TUBA1A TUBA1B TUBB2A TUBB4B
HIF1A	KEGG-hsa04978	Mineral_absorption	51	0	80	8	3.29993468107e-07	0.01014498919	FTH1 MT1E MT1F MT1G MT1H MT1M MT2A SLC11A1
RUNX1	KEGG-hsa05320	Autoimmune_thyroid_disease	53	0	18	5	3.87332198315e-07	0.0119073664406	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1
BATF3	KEGG-hsa04060	Cytokine-cytokine_receptor_interaction	267	0	144	22	4.20809465496e-07	0.0129361037788	CCL1 CCL18 CCL2 CCL3 CCL3L3 CCL4 CCL7 CCL8 CCR1 CCR7 CD40 CSF1 CSF2RA CXCL3 IFNGR2 IL10RA IL15RA IL18 IL1B IL2RA IL7R INHBA
DDIT3	KEGG-hsa04145	Phagosome	152	0	29	8	4.53791482724e-07	0.0139495501789	C3 CD14 CLEC7A CTSS CYBB HLA-DQB1 HLA-DRA TLR2
ATF3	KEGG-hsa04145	Phagosome	152	0	123	15	4.96485508816e-07	0.0152614680555	C3 CD14 CTSS CYBB HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO TLR2 TUBA1A TUBA4A
PKNOX1	KEGG-hsa04380	Osteoclast_differentiation	130	0	300	22	5.08945396827e-07	0.0156439636077	ACP5 CSF1R CYBB FCGR2A FCGR2B FCGR3A IFNGR1 IFNGR2 IL1B LILRA2 LILRB1 LILRB2 LILRB4 NCF1 NCF2 NFKB1 NFKB2 NFKBIA PPARG SOCS3 STAT2 TREM2
MEF2A	KEGG-hsa05330	Allograft_rejection	38	0	210	10	5.43618962401e-07	0.0167092160473	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E
NR1H3	KEGG-hsa04940	Type_I_diabetes_mellitus	44	0	180	10	5.73258622794e-07	0.0176196770302	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 HSPD1 IL1B
PKNOX1	KEGG-hsa04145	Phagosome	152	0	300	24	5.74208757875e-07	0.0176483061733	ATP6V1D C3 CALR CD14 CD36 CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DMB HLA-DPB1 HLA-DQA1 HLA-E MARCO MRC1 NCF1 NCF2 OLR1 TAP1 TLR2 TUBA1B TUBB2A TUBB4B
NFE2L2	KEGG-hsa05140	Leishmaniasis	72	0	236	14	7.28780127912e-07	0.0223983284513	C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 IFNGR1 IFNGR2 NCF1 NFKB1 NFKBIA TLR2
NR3C1	KEGG-hsa05142	Chagas_disease_(American_trypanosomiasis)	104	0	118	12	8.99977412039e-07	0.0276590058042	C1QA C1QB C1QC CCL2 CCL3 CCL3L3 FOS IFNGR2 IL1B JUN NFKBIA TLR2
RBPJ	KEGG-hsa05322	Systemic_lupus_erythematosus	136	0	108	13	9.77549148851e-07	0.0300420404425	C1QA C1QB C2 CD40 CD86 FCGR2B HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5
PKNOX1	KEGG-hsa05162	Measles	135	0	300	22	9.9495147754e-07	0.0305758538563	CCND1 CCND2 DDX58 FCGR2B HSPA1A HSPA8 IFIH1 IFNGR1 IFNGR2 IL1B IL2RA IRF7 MX1 NFKB1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT2 TLR2 TNFSF10
MEF2A	KEGG-hsa05416	Viral_myocarditis	71	0	210	13	1.00346799303e-06	0.0308365714259	CCND1 CD55 CD86 CYCS HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E
IRF3	KEGG-hsa05152	Tuberculosis	180	0	28	8	1.22714771122e-06	0.0377090220182	CALM3 CD14 CD74 FCGR2B HLA-DPA1 HLA-DRA HLA-DRB1 IFNGR1
STAT1	KEGG-hsa04380	Osteoclast_differentiation	130	0	197	17	1.25468127099e-06	0.038553846095	ACP5 FCGR2A FOS IFNGR2 JUNB LILRA1 LILRB1 LILRB2 LILRB4 NCF1 NFKB2 NFKBIA PPARG SOCS3 SQSTM1 STAT2 TREM2
ETS2	KEGG-hsa05142	Chagas_disease_(American_trypanosomiasis)	104	0	194	15	1.27429322827e-06	0.0391552080251	C1QA C1QB C1QC CALR CCL2 CCL3 CCL3L3 CCL5 GNA15 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2
MEF2A	KEGG-hsa05152	Tuberculosis	180	0	210	21	1.36825942387e-06	0.0420411390579	C3 CALM3 CD14 CD74 CTSS CYCS FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HSPD1 IFNGR1 IL18 IL1B LSP1 TLR2
