	Batf	Irf4	Maf	Stat3	Rorc	Fosl2	Nfe2l2	Hif1a	Etv6	Kdm6b	Jmjd6
1700037C18Rik	0	0	0	0.769192451384	0	0	0	0	0	0.783092250216	0
1700040L02Rik	0.90334323211	0.925395152792	0.891014464987	0	0	0.919618737427	0	0	0	0	0
1700056E22Rik	0.828508477824	0.884155570457	0.874432416898	0	0	0	0	0	0	0	0
1700065D16Rik	0	0	0.907941373695	0	0	0	0	0.84442954306	0	0	0
1700066B19Rik	0	0	0.790324743749	0	0	0	0.942235846345	0	0.792355589616	0	0
1700067K01Rik	0	0	0.878609062171	0	0	0	0.915442092154	0	0	0.801628508478	0.890430117827
1700067P10Rik	0	0	0	0	0.755196857937	0	0	0	0	0	0
1700084E18Rik	0	0	0	0	0	0	0	0.830788389692	0	0	0
1700092M07Rik	0	0	0	0	0	0	0	0	0.859105278283	0	0
1700096J18Rik	0.911753999425	0.941641919724	0	0.831612223393	0.777545741929	0	0	0.832915030175	0	0	0
1700096K18Rik	0	0	0	0	0.834236995881	0	0	0	0	0	0
1700101E01Rik	0	0	0	0	0	0	0	0	0	0	0.780563272344
1700125H20Rik	0	0	0	0	0	0	0	0	0	0	0.854325126928
1810009A15Rik	0.751259699205	0.910403295335	0.917884854871	0.908726889549	0.833738863876	0	0.940645655714	0.96019733691	0.97391512597	0.880726123192	0
1810010H24Rik	0	0	0	0	0	0	0	0	0	0	0.787776606955
1810013L24Rik	0	0	0	0.856978637801	0	0	0	0	0	0	0
1810014B01Rik	0	0	0	0	0	0	0.968694319379	0	0.752801992528	0	0
1810024B03Rik	0	0	0	0.85128843759	0	0	0	0	0.918162659259	0	0
1810026J23Rik	0	0.861682153463	0	0.829006609829	0	0	0	0	0.872621898649	0	0
1810043G02Rik	0	0	0	0	0	0	0.891445540761	0	0	0	0
1810046K07Rik	0	0	0	0	0	0	0	0	0	0	0.821199348597
1810058I24Rik	0	0	0	0.827253568349	0	0.778235463167	0	0	0	0	0
2010016I18Rik	0.952466711371	0.852026056136	0	0	0.876990133155	0	0	0	0	0	0
2010107G12Rik	0.800546029313	0.891407222914	0.810135070409	0.801302806782	0.763004119169	0.94185266788	0	0	0	0	0
2010111I01Rik	0.995296484338	0.996244851039	0.99659929112	0.980390842035	0.967132867133	0.997164479356	0	0	0	0.878570744324	0
2010320M18Rik	0	0	0	0	0	0	0	0	0	0	0.892355589616
2200002D01Rik	0	0	0	0	0	0	0	0.829351470447	0	0	0.818555417186
2210015D19Rik	0	0	0	0	0	0	0	0.886914455408	0.879528690488	0	0
2210016F16Rik	0	0	0	0	0	0	0.957515087652	0	0.791867037073	0	0
2300002M23Rik	0	0	0	0	0	0	0	0	0	0	0.87426956605
2300005B03Rik	0	0	0	0	0	0	0	0	0	0	0.803774307884
2300009A05Rik	0	0	0.810987642494	0	0	0	0	0	0	0	0
2310001K24Rik	0	0	0	0	0	0	0	0	0	0	0.806150014369
2310007L24Rik	0	0	0	0	0.873369096657	0	0	0	0	0	0
2310011J03Rik	0	0	0	0	0	0	0	0	0.770169556471	0	0
2310014L17Rik	0	0.798218220136	0	0.816725740013	0.829696331066	0	0.971520260561	0	0.860858319762	0	0
2310015A10Rik	0.956988217262	0.972363253185	0.970753903631	0.961404349076	0.929830443529	0.8784270524	0	0.919273876808	0.832637225788	0.965925854967	0.849487498803
2310022A10Rik	0	0	0	0.893466807165	0	0	0	0	0.849315068493	0	0
2310033P09Rik	0.829840022991	0.846901044161	0.873292460964	0	0	0	0.825979499952	0	0	0	0
2310036O22Rik	0	0.774863492672	0	0.938528594693	0.867678896446	0	0	0.796857936584	0.829820864067	0	0
2310039H08Rik	0	0.767860906217	0	0.90685889453	0	0	0.850656193122	0	0.905996742983	0	0
2310047M10Rik	0.876817702845	0.902471501102	0	0.89554555034	0.86752562506	0.869843854775	0.875725644219	0.929246096369	0.885975668167	0	0
2310061J03Rik	0.872708113804	0.882258837053	0	0.790171472363	0	0.786358846633	0.838145416228	0.864191972411	0.865236133729	0.774422837437	0
2310068J16Rik	0	0	0.895583868187	0	0	0	0	0.831296101159	0.955580036402	0	0
2410004B18Rik	0	0	0	0	0	0	0	0	0.75803237858	0	0
2410004P03Rik	0	0	0.788025672957	0	0	0	0	0	0	0	0
2410006H16Rik	0	0.835022511735	0.926161509723	0.937714340454	0.778082191781	0.814982277996	0.903688092729	0.753213909378	0.857687517961	0.89988504646	0
2410015M20Rik	0	0	0	0	0	0	0.940319954019	0	0.851422550053	0	0.786291790401
2410127L17Rik	0	0	0	0	0	0	0	0.84102883418	0.759584251365	0	0
2510039O18Rik	0	0	0	0	0	0	0.833949612032	0	0	0	0
2610002J02Rik	0.884864450618	0.925328096561	0.968703898841	0.972219561261	0.966519781588	0.814033911294	0	0	0.831382316314	0.898994156528	0
2610005L07Rik	0	0	0	0	0	0	0.837752658301	0	0	0	0.839112941853
2610015P09Rik	0	0.783781971453	0	0	0.771798064949	0	0	0	0	0	0
2610020H08Rik	0.788945301274	0.891416802376	0.777181722387	0	0	0	0	0	0	0	0
2610028H24Rik	0	0	0	0	0	0	0.908468244085	0	0.837685602069	0	0
2610035D17Rik	0.839314110547	0.767602260753	0	0	0	0.759277708593	0	0	0	0	0.792451384232
2610306M01Rik	0.893380592011	0.757409713574	0	0	0	0	0	0	0	0	0
2610318N02Rik	0.792480122617	0.911188811189	0	0	0	0	0	0	0.836152888208	0	0
2610507B11Rik	0	0	0	0	0	0	0.936095411438	0	0	0	0
2610507I01Rik	0	0.766069546891	0	0	0	0	0.910546987259	0	0	0	0
2610524H06Rik	0	0	0	0	0	0	0	0	0	0	0.765523517578
2700029M09Rik	0.926324360571	0.805843471597	0.896158635885	0	0	0.85621228087	0	0	0	0	0
2700046G09Rik	0.915806111697	0.878762333557	0	0	0.937062937063	0.837695181531	0	0	0	0.77327330204	0
2700081O15Rik	0	0	0	0	0	0	0.928393524284	0	0	0.786799501868	0
2700094K13Rik	0	0	0	0	0	0	0	0	0.865255292653	0	0
2810002D19Rik	0	0	0	0	0	0	0.861423507999	0	0.761825845387	0	0
2810006K23Rik	0	0	0	0	0	0	0.797624293515	0	0	0	0
2810008D09Rik	0	0	0	0	0	0	0	0	0.759076539898	0	0.891761662995
2810408A11Rik	0	0	0	0.835779289204	0	0	0.85017722004	0	0	0	0
2810408M09Rik	0	0	0	0	0	0	0	0.793294376856	0.872746431651	0	0
2810417H13Rik	0	0.784692020308	0	0.833662228183	0	0	0.88218220136	0.796225692116	0.893897882939	0	0
2810428I15Rik	0	0	0	0.798716352141	0	0	0.968972123767	0.825740013411	0.807759363924	0	0.887623335569
2810454H06Rik	0.944774403679	0.903161222339	0	0	0	0.976741067152	0	0	0	0.762448510394	0
2810459M11Rik	0	0.774901810518	0	0	0	0	0.750550819044	0	0	0	0
2810474O19Rik	0	0.766720950283	0	0	0	0	0	0	0	0	0
2900026A02Rik	0	0	0	0	0	0	0	0	0	0	0.920969441517
2900060B14Rik	0	0	0	0	0	0	0	0	0.858961586359	0.849372545263	0
2900097C17Rik	0	0	0	0	0	0	0.815901906313	0	0	0	0
3110001I22Rik	0	0	0	0	0	0	0	0	0.876032186991	0	0
3110002H16Rik	0.87678896446	0.891043203372	0	0	0	0.903314493725	0	0.805987163521	0	0	0
3110009E18Rik	0	0.818191397643	0	0	0	0.90556566721	0	0	0	0	0.803486924035
3110021A11Rik	0.82619982757	0.806609828528	0.826832072038	0.780141776032	0.780630328576	0.898697193218	0	0	0	0.840090046939	0
3110057O12Rik	0	0	0	0	0	0	0	0.817971070026	0	0	0
3110062M04Rik	0.886320528786	0.913018488361	0.935415269662	0.849516237187	0	0.865734265734	0	0	0	0	0
3110082I17Rik	0	0	0	0.905709359134	0	0	0	0	0	0	0
3830406C13Rik	0	0.765791742504	0	0	0	0	0	0	0	0	0
3830408C21Rik	0.926190248108	0.933949612032	0	0	0	0.875821438835	0	0	0	0	0
4430402I18Rik	0.826448893572	0	0	0	0	0	0	0	0	0	0
4632428C04Rik	0.855512980171	0.861643835616	0.894003257017	0	0	0.896177794808	0	0	0	0	0
4632428N05Rik	0.761509723154	0.884356739151	0.928144458281	0.768866749689	0.832282785707	0.823325989079	0	0.760628412683	0	0	0
4732471J01Rik	0	0	0	0	0	0.812999329438	0	0	0	0	0
4831440E17Rik	0	0.867650158061	0	0	0	0	0.77291886196	0.878359996168	0	0.761768368618	0
4833418N02Rik	0	0.785793658396	0	0	0	0	0	0	0	0	0
4833420G17Rik	0	0	0	0	0	0	0	0	0.784414215921	0	0
4833439L19Rik	0.886033144937	0.855934476482	0	0	0.948816936488	0	0	0	0	0	0
4921504E06Rik	0	0.79841938883	0	0	0	0	0	0	0	0	0
4921507P07Rik	0	0	0	0	0	0	0	0	0.759881214676	0	0
4921524J17Rik	0	0.775246671137	0.783063511831	0	0	0.796043682345	0	0	0	0	0
4921531C22Rik	0	0	0	0	0	0	0	0	0	0.844745665294	0
4922502D21Rik	0	0	0	0	0	0.886406743941	0	0	0	0	0
4930402H24Rik	0.776300411917	0	0	0	0	0	0	0	0	0	0
4930404N11Rik	0	0	0	0	0	0	0.872219561261	0	0	0	0
4930412C18Rik	0	0	0	0	0	0	0	0	0	0	0.813411246288
4930412O13Rik	0.808717310087	0.927684644123	0	0	0	0	0	0	0	0	0
4930415F15Rik	0.910221285564	0.916036018776	0.883513746527	0	0.814618258454	0.964776319571	0	0	0	0	0
4930415O20Rik	0	0	0	0	0	0	0	0	0.845483283839	0	0
4930417O13Rik	0	0.770035444008	0	0	0	0	0	0.85123096082	0	0	0
4930427A07Rik	0	0	0	0	0	0	0	0.753185170993	0	0	0
4930453N24Rik	0	0	0	0	0	0	0	0	0.869470255772	0	0
4930465K10Rik	0	0	0	0.75328096561	0	0	0.757103170802	0	0.770648529553	0.777766069547	0.85996742983
4930503L19Rik	0.840176262094	0	0.856758310183	0	0	0	0	0	0	0	0
4930512B01Rik	0	0	0	0	0	0.818612893955	0	0	0	0	0
4930513N10Rik	0	0	0	0	0.866213238816	0	0	0	0	0	0
4930515G01Rik	0.860714627838	0	0	0	0	0.926362678417	0	0.847571606476	0	0.766404828049	0
4930523C07Rik	0.985784078935	0.98470159977	0.912625730434	0	0	0.979959766261	0	0	0	0	0
4930528A17Rik	0	0	0	0	0	0	0	0	0.874643165054	0	0
4930529M08Rik	0	0	0	0	0	0	0	0	0.790219369671	0	0
4930539J05Rik	0	0.803132483954	0.839170418622	0.790372641058	0.758463454354	0	0	0.828441421592	0	0	0
4930549C01Rik	0	0	0	0	0	0	0.799022894913	0	0	0	0
4930550C14Rik	0.766788006514	0.833087460485	0	0	0	0	0	0	0	0	0
4930558C23Rik	0.760867899224	0	0	0	0	0	0	0	0	0	0
4930558K02Rik	0	0	0	0	0	0	0	0	0.796934572277	0	0
4930562C15Rik	0	0	0	0	0	0.786071462784	0	0	0	0	0
4930562F07Rik	0.862975380784	0.801503975477	0	0	0	0.81717597471	0	0	0	0	0
4930563E22Rik	0	0	0	0	0	0	0	0.832426477632	0	0	0
4930579G18Rik	0	0	0	0	0	0	0	0	0	0	0.913813583677
4930581F22Rik	0.79413736948	0	0	0.859478877287	0.790257687518	0.847284222627	0	0	0	0	0
4930583K01Rik	0	0	0	0.821381358368	0	0	0	0.784490851614	0	0	0
4930592I03Rik	0	0.758444295431	0	0	0	0	0	0	0	0	0
4930594C11Rik	0.928671328671	0.920212664048	0.926123191877	0	0	0.761471405307	0	0	0	0	0
4931406C07Rik	0	0	0	0	0	0	0	0.815528307309	0.896292748348	0	0
4931406P16Rik	0	0	0	0	0	0	0.910336239103	0.924255196858	0	0	0
4931428F04Rik	0	0.917204713095	0.827129035348	0.859402241594	0	0.802184117253	0	0.950253855733	0.815604943002	0	0
4931429I11Rik	0	0	0	0	0.805661461826	0	0	0	0	0	0
4931440P22Rik	0.956317654948	0.946144266692	0.780544113421	0.858607146278	0.750244276272	0.909301657247	0	0.817846537025	0	0.786952773254	0
4932416H05Rik	0	0	0	0	0	0	0.759842896829	0	0	0	0
4932438A13Rik	0.884557907846	0.952859469298	0	0	0	0.783590382221	0	0	0	0	0
4932438H23Rik	0.937426956605	0.960149439601	0.968090813296	0.863147811093	0.860273972603	0.94126832072	0	0.825462209024	0	0	0
4933402N22Rik	0.904578982661	0.768311140914	0	0	0	0.804416131813	0	0	0	0	0
4933402P03Rik	0	0	0	0	0.768129131143	0	0	0	0	0	0
4933406I18Rik	0.960321869911	0.954851997318	0.935233259891	0	0.838988408851	0.934150780726	0	0	0	0	0
4933407L21Rik	0.867717214293	0.93634447744	0	0	0	0	0	0	0	0	0
4933421O10Rik	0	0	0	0	0	0	0	0	0	0.844151738672	0
4933427D14Rik	0	0.77696139477	0.879040137944	0	0	0	0	0	0	0	0
4933427E11Rik	0	0	0	0	0	0	0	0	0.824370150398	0	0
4933430I17Rik	0.887738289108	0.923287671233	0	0.910058434716	0	0.835300316122	0	0	0	0	0
4933433C11Rik	0	0	0	0.80603506083	0	0	0.980371683111	0	0.891981990612	0.903534821343	0
5031414D18Rik	0.888715394195	0.938480697385	0	0.883446690296	0	0.77280390842	0	0	0	0	0
5031434O11Rik	0.869240348692	0.884423795383	0.914675735224	0	0	0.814407510298	0	0	0	0.821879490373	0
5330426P16Rik	0	0.928355206437	0.763090334323	0	0	0.865169077498	0	0.886263052016	0	0	0
5430402O13Rik	0	0.786128939554	0	0	0	0.767046651978	0	0	0	0	0
5430416N02Rik	0.867343615289	0.83581760705	0	0.752543347064	0.802663090334	0	0	0.869498994157	0.907481559536	0	0
5430421N21Rik	0	0	0.811830635118	0	0.879059296868	0	0	0	0	0	0
5430435G22Rik	0.893485966089	0.937858032379	0	0	0	0.901168694319	0	0	0	0	0
5530601H04Rik	0	0	0	0	0	0	0	0	0.893639237475	0	0
5730408K05Rik	0.764642207108	0.914761950378	0.922588370534	0.912539515279	0.842120892806	0	0.943624868282	0.96213238816	0.974997605135	0.883389213526	0
5730422E09Rik	0	0	0	0	0.817147236325	0	0	0	0.791253951528	0	0
5730455P16Rik	0	0	0	0	0	0	0	0.791426381837	0.92080659067	0	0
5730508B09Rik	0.957045694032	0.974403678513	0.884490851614	0	0	0.903142063416	0	0	0	0	0
5830415F09Rik	0	0	0	0	0	0	0	0.884375898075	0	0	0.907625251461
5830416P10Rik	0.96658683782	0.947676980554	0.953951527924	0.87895392279	0.941986780343	0.972698534342	0	0.890861193601	0	0	0
5830417I10Rik	0	0	0.955244755245	0	0	0.867822588371	0	0	0	0	0
5830428M24Rik	0.942839352428	0.967774691062	0.952179327522	0.850426286043	0.929313152601	0.921668742217	0	0	0.875859756682	0.866452725357	0
5830432E09Rik	0.893438068781	0	0	0	0	0.910288341795	0	0	0	0	0
6030468B19Rik	0	0	0	0	0	0	0.956518823642	0	0	0	0.774518632053
6230400D17Rik	0	0	0	0.891713765686	0	0	0.943414120126	0.93059680046	0.877478685698	0	0
6330403A02Rik	0.815001436919	0	0	0	0	0	0	0	0	0	0
6430531B16Rik	0.846565763004	0.922435099147	0.976051345914	0.846259220232	0.938538174155	0.948098476866	0	0	0	0	0
6430548M08Rik	0.786837819715	0	0	0	0	0	0	0	0	0	0
6430562O15Rik	0	0	0.758913689051	0.780122617109	0	0.869853434237	0	0	0	0	0
6430571L13Rik	0.91342082575	0.926899128269	0.957783312578	0.92965801322	0.90545071367	0.802375706485	0.875409521985	0.892393907462	0.942858511352	0.959095698822	0
6820408C15Rik	0	0	0	0	0	0.821553788677	0	0	0	0	0
6820431F20Rik	0	0	0	0	0	0	0.785745761088	0	0	0	0
8430429K09Rik	0.944170897596	0.958329341891	0.921400517291	0.79261423508	0	0.938614809848	0	0	0.825807069643	0	0.845607816841
9030025P20Rik	0	0	0	0.880754861577	0	0	0.955599195325	0.804962161127	0	0	0
9030617O03Rik	0	0.781272152505	0	0	0	0	0	0	0	0	0
9130019O22Rik	0	0	0	0	0	0	0	0	0.885745761088	0	0
9130023H24Rik	0.818373407415	0.877143404541	0.940434907558	0	0.894415173867	0	0	0	0	0	0
9130230L23Rik	0.806925950762	0	0	0	0	0	0	0	0	0	0
9230114K14Rik	0	0	0	0	0	0	0.794817511256	0	0	0	0
9230116N13Rik	0.787201839257	0	0	0.791138997988	0	0	0	0	0	0	0
9330020H09Rik	0	0	0	0	0	0	0	0.777478685698	0.871558578408	0	0
9330111N05Rik	0.92414982278	0.787968196187	0	0	0	0	0.771204138327	0.802222435099	0	0	0
9330133O14Rik	0	0	0	0.775390363062	0.811715681579	0.906092537599	0	0	0	0	0
9330151L19Rik	0	0	0	0	0	0	0	0.824341412013	0.757802471501	0	0
9330175E14Rik	0.93358559249	0.960829581378	0.949736564805	0.843682345052	0	0.946728613852	0	0	0	0.844659450139	0
9430008C03Rik	0	0	0	0	0	0	0	0	0	0	0.841661078647
9430041J12Rik	0.884395056998	0.882287575438	0.857965322349	0	0	0.885247629083	0	0	0	0	0
9530068E07Rik	0	0	0	0	0	0	0.808075486158	0	0	0	0
9530077C05Rik	0.83112367085	0	0	0	0	0	0	0	0	0	0
9530082P21Rik	0	0.815547466232	0	0	0	0	0	0.755053166012	0	0	0
9930012K11Rik	0	0	0	0.753510872689	0	0	0	0	0.914053070217	0	0
9930111J21Rik2	0.818545837724	0	0	0	0	0.817635788869	0	0	0	0	0
A130010J15Rik	0.821170610212	0.782105565667	0.821084395057	0	0	0.798246958521	0	0	0.789807452821	0	0
A230020J21Rik	0	0	0.809330395632	0.765207395344	0	0.829801705144	0	0	0	0	0
A230050P20Rik	0	0.753252227225	0.837743078839	0	0	0	0	0.75427722962	0	0	0
A230065H16Rik	0	0	0	0	0	0	0	0	0	0	0.871625634639
A330035P11Rik	0	0.753836574385	0	0	0	0	0	0.856748730721	0.891301848836	0	0
A430093F15Rik	0.993917041862	0.998678034294	0.999396493917	0.998218220136	0.997643452438	0.996292748348	0.970667688476	0.990008621515	0.986464220711	0.830644697768	0
A530013C23Rik	0.88968291982	0.932780917712	0.829322732062	0	0	0	0	0	0	0.808018009388	0.891550914839
A530088E08Rik	0	0.826161509723	0	0	0	0	0.918066864642	0	0	0	0
A630001G21Rik	0.923891177316	0.923009866845	0	0.777660695469	0	0	0	0	0	0	0
A630066F11Rik	0	0	0	0	0	0	0	0	0.836469010442	0.809531564326	0
A630072M18Rik	0	0.805000478973	0	0	0	0	0	0.751633298209	0.788954880736	0	0
A630075F10Rik	0	0	0	0	0	0	0	0	0	0	0.856327234409
A730008H23Rik	0	0	0	0	0	0	0.911801896733	0	0	0	0
A730098P11Rik	0.860091962832	0.833758022799	0.753405498611	0	0	0.8038701025	0	0	0	0.846872305776	0
A930003A15Rik	0	0	0.809895583868	0	0	0	0	0	0	0	0
A930004D18Rik	0	0	0	0	0	0	0	0.753683302998	0	0	0
A930007I19Rik	0.857898266117	0.938049621611	0	0	0.805632723441	0	0	0	0	0	0.759459718364
A930015D03Rik	0.950905259124	0.992690870773	0.992058626305	0.958865791743	0	0.952054794521	0.936947983523	0.923833700546	0	0	0.931516428777
AA388235	0	0	0	0	0	0	0	0	0	0	0.879241306639
AA415398	0	0	0	0	0	0	0	0	0.844678609062	0	0
AA465934	0.971817223872	0.961653415078	0.928929974135	0.887642494492	0.892164000383	0.949985630808	0.894558865792	0.910700258645	0.936823450522	0	0
AA467197	0	0	0	0	0	0	0	0	0	0	0.837838873455
AA543186	0	0	0	0	0	0	0.826583006035	0	0	0	0
AI118078	0	0	0	0	0	0.778206724782	0	0	0	0	0
AI413582	0.949621611265	0.911773158349	0.97198007472	0.966395248587	0.917013123862	0.952897787144	0.964670945493	0.81664910432	0.92854679567	0.918929016189	0.819781588275
AI450353	0.973551106428	0.963847111792	0.933010824792	0.892777085928	0.896532234888	0.953319283456	0.89759555513	0.913995593448	0.938701025002	0	0
AI467606	0.939419484625	0.942159210652	0.911466615576	0.813583676597	0	0.836890506754	0	0	0	0	0
AI504432	0.867573522368	0.953817415461	0.845617396302	0	0	0.939658971166	0	0	0	0	0
AI506816	0.919714532043	0.92866174921	0.795593447648	0.84343327905	0	0.852600823834	0.924370150398	0	0.905421975285	0	0
AI662270	0	0	0	0	0	0	0.750771146662	0	0	0	0
AI837181	0	0	0	0	0	0.886148098477	0.811907270811	0	0	0	0
AK010878	0	0.920068972124	0	0.904588562123	0	0	0	0	0.928422262669	0	0
AU019823	0	0	0	0	0.772487786186	0	0.871778906025	0.78323594214	0.904253280966	0	0
AU019990	0.881176357889	0	0.938940511543	0	0	0.944209215442	0	0	0	0	0
AW011738	0	0.793016572469	0	0	0	0	0	0	0	0	0
AW112010	0.768167448989	0.807146278379	0.835798448127	0	0	0.765667209503	0	0	0	0	0
AW549877	0.899051633298	0.795813775266	0	0	0.76060925376	0.897787144362	0	0	0	0	0
AW554918	0.796024523422	0	0	0	0	0	0	0	0	0	0
AY074887	0	0	0	0	0	0	0	0	0	0.76160551777	0
Aaas	0	0	0	0.783801130376	0	0	0.857026535109	0	0.946096369384	0	0
Aacs	0	0	0	0	0	0	0	0.846374173771	0	0	0
Aagab	0	0	0	0	0.829734648913	0	0	0	0	0	0
Aak1	0.753606667305	0.757476769806	0	0	0	0	0	0	0	0	0
Aanat	0	0	0	0	0	0	0	0	0	0	0.921563368139
Aars	0.835137465274	0.87737331162	0	0.900421496312	0.840406169173	0	0.935999616822	0	0.756882843184	0	0
Abca17	0	0	0.82843184213	0	0	0	0	0	0	0	0
Abca2	0.935779289204	0.856595459335	0.861356451767	0	0.918545837724	0.750751987738	0	0	0	0	0
Abca3	0	0	0.814225500527	0	0	0	0	0	0	0	0
Abca7	0.922358463454	0.982048088897	0.765992911198	0.957428872497	0.895698821726	0.911409138806	0.9784270524	0.754641249162	0	0	0
Abcb1a	0.779557428872	0	0	0	0	0	0	0	0	0	0
Abcb8	0.924782067248	0.972842226267	0.931985822397	0.831439793084	0.937187470064	0.959411821056	0	0.785132675544	0.774920969442	0	0
Abcb9	0	0	0.764728422263	0	0	0	0.766385669125	0	0	0	0
Abcc3	0.786991091101	0	0.916131813392	0	0	0.889951144746	0	0	0	0	0
Abcd3	0	0.786320528786	0	0	0	0	0	0	0	0	0
Abce1	0	0	0	0	0	0	0.933029983715	0	0	0	0
Abcf1	0	0	0	0	0	0	0.974863492672	0	0.913277133825	0	0
