	Batf	Irf4	Maf	Stat3	Rorc	Fosl2	Nfe2l2	Hif1a	Ikzf3	Etv6	Kdm6b	Jmjd6	Id2	Ski	Lef1	Atf6	Trib3	Sirt2	Prkrir	Satb1	Nfatc2	Crem	Ddit3	Aes	Inhba	Zfp36l2	Egr2	Bcl11b
4930481A15Rik	0	0	0	0	0	0	0	0	0	0	-1.54031481874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930503L19Rik	1.73844953375	0	-1.74994468083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930506M07Rik	0	0	-1.07200387474	0	0	-1.04312481864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931406C07Rik	0	0	-1.11483512301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4932438H23Rik	1.9125054149	0	0	1.85319469235	-1.85234553826	1.9397056122	1.70280432006	1.82022735072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933404O12Rik	-1.00757784411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5330426P16Rik	0	0	0	0	0	0	0	1.86263300496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5730455P16Rik	0	0	0	0	0	0	0	0	0	0	0	1.60247812126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5730508B09Rik	0	0	0	0	-1.16631790714	-1.78545829888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5830415F09Rik	0	0	0	0	0	0	0	0	0	0	0	-1.80358552539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6530402F18Rik	0	0	-1.08946881037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8430419L09Rik	0	1.14543391243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8430429K09Rik	0	0	0	0	0	0	0	0	0	0	0	-1.74799683449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9030617O03Rik	0	0	-1.47055467779	0	0	0	0	-1.14607079519	0	0	0	-1.2122472015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9230114K14Rik	-1.01681273416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9330151L19Rik	0	0	0	0	0	0	0	1.68477389052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9430020K01Rik	1.5190621481	1.0427928095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9530082P21Rik	0	0	0	0	0	1.36695135896	0	1.70155515276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9630033F20Rik	0	0	0	0	0	-1.21107372162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A230046K03Rik	0	0	0	0	0	0	0	1.30987112086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A230050P20Rik	1.3848459255	0	0	0	0	0	0	0	0	-1.48767755402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A430093F15Rik	0	0	-1.88313900857	1.97219890799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A630033H20Rik	-1.42910923453	-1.39617373831	-1.65321887236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830010M20Rik	0	0	0	1.24068454621	0	0	0	1.58320796248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A930015D03Rik	0	0	-1.87385049442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA465934	0	0	0	-1.86982449191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA467197	0	1.44205111465	-1.4225230705	0	-1.29547050006	0	0	0	0	-1.46717148104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA474331	0	0	0	0	0	0	1.38573660887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB124611	0	0	0	0	0	0	1.26844142974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AI413582	0	0	0	0	0	0	1.91422085961	1.67864429135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AI504432	1.76977293775	1.94650325078	-1.82932005904	1.61104170732	1.73418834105	-1.93233355928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AI846148	0	0	0	0	0	0	0	1.40592816559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AU022252	0	0	0	0	0	0	0	1.60222620253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AU040320	0	0	0	0	0	0	0	0	0	-1.49231822165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AW112010	1.76638518638	0	-1.75309522956	-1.65634207432	-1.36153109659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AW549877	-1.83299707812	0	0	0	0	1.8311675455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aacs	-1.45076072612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aagab	0	0	0	0	0	0	0	0	0	0	1.45743874418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aamp	0	0	0	0	0	0	0	1.57505826872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aars	0	1.79592304923	0	0	0	0	0	0	0	0	1.60467120232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca1	0	0	-1.42388140245	1.02238372779	-1.04159117991	0	0	0	0	1.09213667214	1.71146077554	1.39636896905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca2	0	0	0	1.42747438861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb1a	0	0	-1.17133029923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb1b	-1.14101032827	0	-1.31147621121	0	0	-1.04678537643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb6	1.14777249594	0	0	0	0	0	0	1.48596628187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb9	1.6121522071	-1.37663639571	0	0	-1.19363049799	1.48791112901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc1	1.13896265661	1.05993943677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcd3	0	-1.78409196755	-1.13331038437	1.18869096574	0	0	0	0	0	0	1.51451057509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abce1	0	0	0	0	0	-1.4869785321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcf2	0	0	0	0	0	-1.39902557567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcg1	-1.78476801756	0	0	0	0	1.88168716041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd12	-1.55096033332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd14a	0	0	0	0	0	0	1.85511307182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd14b	0	0	0	0	0	0	1.52878778481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd8	0	0	0	0	0	0	0	1.33481460246	0	-1.68117470206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abi2	0	1.02721151017	0	1.15484761942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abi3	1.67041830019	1.84302159182	0	1.90144848335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abl1	0	0	0	0	0	0	0	0	0	0	1.20531381602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ablim1	0	0	0	0	-1.78730571121	1.97828914406	0	1.39334596443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abtb1	0	0	0	1.68687058175	0	0	0	1.83687812916	0	-1.39843046891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abtb2	1.90816884352	1.97803238983	-1.9542813695	1.94190882322	0	0	0	1.81932382042	0	0	0	1.42106331644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaa2	0	0	-1.22521162261	0	0	0	0	1.35600255376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaca	0	0	0	0	0	-1.01639960492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acadl	0	0	-1.28414385203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acadm	0	0	0	0	-1.53045999659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acadsb	0	0	0	0	0	1.68230126511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acat3	0	-1.14782428574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acbd5	0	0	0	0	-1.14477322304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acly	0	0	0	1.07408046327	0	0	0	0	0	0	1.41108825919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acot13	0	0	0	0	-1.36030701955	1.51055388199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acot7	0	0	0	0	0	-1.39730834739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acox1	0	1.38669385326	0	0	0	0	0	1.26775952449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acox3	1.74673428052	1.63268018624	0	1.21639582839	0	1.47911934904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp5	1.76678491265	0	0	0	0	1.77171166182	0	1.7758205538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp6	0	0	0	0	-1.55106552184	1.12693509238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsbg1	1.36300045694	-1.19967451018	0	0	0	1.74822989681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsf2	0	0	0	0	0	0	1.14175017149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsl3	-1.7556124652	0	0	1.15086848553	-1.12696304483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsl4	1.8900981404	1.82881538313	0	1.25131362782	0	1.77816051264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsl5	-1.82877442836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsl6	0	1.82920470276	-1.67074542715	-1.74075201333	-1.5666860515	-1.65137667969	-1.13542817486	1.25474021624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acss2	-1.65586922698	0	0	0	0	1.59268303013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn1	0	0	0	-1.23369503864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn4	0	0	0	0	0	0	0	0	0	0	1.39005011513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acvrl1	0	1.44503101464	0	0	0	1.08967042717	0	1.85575853942	0	0	0	-1.67565235867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam10	-1.37001510545	0	0	0	0	-1.20400575828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam15	0	1.44426911045	0	1.66377889339	0	1.0807720547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam17	0	0	-1.11214436291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam19	1.9900677752	0	-1.9795660238	1.97342545736	1.96960624912	0	0	0	0	0	1.27428612046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts6	0	-1.5295161455	-1.23549628314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adap1	1.95284738128	1.96603631155	-1.79865879048	0	0	-1.84697639001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adarb1	0	1.95484802617	0	1.945045044	0	1.97803777182	0	0	0	0	1.51260560391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adat2	0	0	-1.4476054084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adck5	0	0	0	0	0	0	0	1.58714585028	0	0	0	1.5996902187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adcy3	0	0	0	0	0	0	0	1.20820163492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adcy6	0	1.04460234226	0	0	0	0	0	0	0	0	1.60195729513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adcy7	-1.34141199516	-1.62330179685	-1.27559842945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Add1	0	0	0	0	-1.1181658999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adh1	1.19572349415	0	0	0	0	1.06813936792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adh4	0	1.93357952543	0	1.6959296781	1.82309723196	1.87995502348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adh5	0	1.19528980891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adi1	-1.58757891609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adk	0	0	-1.9308332063	0	0	-1.83025963451	0	0	0	0	1.09952544721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adm	-1.77188594156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adora2a	1.30833848226	0	-1.36441708469	0	0	-1.50665132814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adora2b	0	0	0	0	0	1.11492026947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adpgk	-1.48236831585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adprhl2	0	0	0	0	0	0	0	0	0	0	0	1.81419722398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adrbk1	0	0	0	0	0	0	0	0	0	0	1.59762414344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adss	0	1.64530830007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adssl1	1.65451797904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aebp2	0	1.95551355468	0	0	0	1.84074227071	0	1.84788276386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aen	-1.69495212362	0	0	0	0	-1.81594403352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aes	0	1.43836937976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aff3	1.97021149423	1.97078163111	1.90880147263	0	-1.21779419352	1.97658324071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afg3l2	0	0	0	0	0	0	0	1.83502571666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agbl5	0	0	0	0	0	1.14514792317	0	1.87798295582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agfg1	0	0	-1.81348225434	0	0	-1.89372319412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agl	0	0	-1.01980462377	0	0	0	0	1.5761408448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agpat4	-1.93324250474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agpat9	0	1.46436309799	0	0	-1.1451119756	1.59422951008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahcy	-1.77186683458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahi1	0	-1.93229227104	-1.88978093598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahnak	1.96273122932	1.97625135314	-1.97947189235	1.8369039722	0	-1.97546697304	0	1.68115504779	0	0	1.79756938835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahr	1.73726929978	1.86538118474	1.78158529544	1.36450585217	0	0	0	0	0	0	1.62618705308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aig1	0	1.93247608151	-1.7905276591	1.7471190585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aim1	1.9530029796	1.93359356279	0	1.78709886152	0	1.77489606649	0	1.11496142995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aim2	0	0	-1.32024181815	0	0	-1.15793598922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aimp2	0	0	0	0	0	0	0	1.75502250558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Airn	0	-1.91374314917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ak3	-1.6855406032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ak4	0	0	0	0	0	0	0	1.81003659832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
