	ARID3A	ARID5B	ARNT	ASCL2	ATF3	BATF3	BHLHE41	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	PKNOX1	PLSCR1	SOX4	TCF4	TCF7L2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF143	ZNF75A
Activation_of_BH3-only_proteins																													BID PMAIP1								
Adaptive_Immune_System										HLA-A NFKBIA PSMB9 PSME1				CD80 CTSS HLA-A IFITM1 NFKBIA PSMB9 PSME2 UBE2D1												C3 CALR FYB HCST LAT PSMA7	CD80 CD86 CYBB HLA-A HLA-E IFITM1 MAP3K8 NFKB1 NFKBIA PSMA4 PSME1 PTPRC RIPK2 UBE2D1		CD86 HLA-E PSMA4 PSME1 PSME2					CD80 CD86 HLA-E IFITM1 MAP3K8 NFKBIA PSME1 PSME2			
Alpha-synuclein_signaling								FKBP1A UCHL1																		FKBP1A UCHL1											
Alpha4_beta1_integrin_signaling_events															CD14 SPP1											PRKACB SPP1								MDK SPP1			
Alpha6Beta4Integrin																													MMP7 VIM YWHAH								
Alpha9_beta1_integrin_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9					CDKN1A CLU FCGR2B FTH1 NCOA4 SAT1	ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SAT1 SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2			BHLHE41 CCND1 CCND2 CLU CSF1 CYCS FKBP1A FKBP5 HMGA1 JUNB PIM1 RAN SH3BP5 TFRC TGM2		CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1		ADM ATF4 BATF3 BNIP3 CCL2 CCL5 CEBPD CSF1R CSF2RA DAPP1 DDIT4 FCGR2B FTH1 GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IRF1 IRF7 LYN MAP3K8 MCL1 MMP14 MT2A NBN NCOA4 NFKB1 NFKB2 NFKBIA NR3C1 PCK2 PLAUR PTPN1 PTPRC PVRL2 RIPK2 RNF144B RRAS SAT1 SKIL SOCS3 SOD2 STAT4 TNIK TXN UBE2D1							ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Alternative_NF-kappaB_pathway																											NFKB1 NFKB2										
Amino_acid_and_oligopeptide_SLC_transporters			SLC43A2 SLC7A11																										SLC3A2 SLC7A11					SLC43A2 SLC7A11			
Amino_acid_transport_across_the_plasma_membrane			SLC43A2 SLC7A11																										SLC3A2 SLC7A11					SLC43A2 SLC7A11			
AndrogenReceptor								CALR COX5B RAN															CCND1 COX5B RAN														
Antigen_processing										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
Antigen_processing-Cross_presentation														CTSS PSMB9 PSME2 UBE2D1															PSMA4 PSME1 PSME2								
Apoptosis																													BID PMAIP1 PSMA4 PSME1 PSME2 TNFSF10 VIM								
Arf6_downstream_pathway				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Arf6_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Arf6_trafficking_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Assembly_of_the_pre-replicative_complex																													PSMA4 PSME1 PSME2								
Atypical_NF-kappaB_pathway																											NFKB1 NFKBIA										
Aurora_A_signaling										NFKB2 NFKBIA																											
Autodegradation_of_Cdh1_by_Cdh1										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
Autodegradation_of_the_E3_ubiquitin_ligase_COP1										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
BCR_signaling_pathway																	FOS PTPRC										DAPP1 FCGR2B LYN NFKB1 NFKBIA PTPRC							LYN NFKBIA POU2F2			
BMP_receptor_signaling					IL2RA NUP214 STMN1 YWHAQ		HSPB1 LSP1				FKBP1A GREM1 PPARG RAN YWHAQ												CCND1 FKBP1A JUNB PIM1 RAN			CCND1 FKBP1A GREM1 LSP1 PPARG YWHAQ											
Beta1_integrin_cell_surface_interactions				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9					CD14 CDKN1A CLU FCGR2B FTH1 NCOA4 SAT1	ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SAT1 SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2			BHLHE41 CCND1 CCND2 CLU CSF1 CYCS FKBP1A FKBP5 HMGA1 JUNB PIM1 RAN SH3BP5 TFRC TGM2		CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1		ADM ATF4 BATF3 BNIP3 CCL2 CCL5 CD14 CEBPD CSF1R CSF2RA DAPP1 DDIT4 FCGR2B FTH1 GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IRF1 IRF7 LYN MAP3K8 MCL1 MMP14 MT2A NBN NCOA4 NFKB1 NFKB2 NFKBIA NR3C1 PCK2 PLAUR PTPN1 PTPRC PVRL2 RIPK2 RNF144B RRAS SAT1 SKIL SOCS3 SOD2 STAT4 TGFBI TNIK TXN UBE2D1							ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MDK MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN		CXCR4 MDK SAT1 ZFP36L1	
Beta2_integrin_cell_surface_interactions																										C3 SPON2	FCGR2A ICAM1 PLAUR TGFBI										
Beta3_integrin_cell_surface_interactions															PLAUR SPP1																						
Biological_oxidations						ALDH1A1 CYP27A1 GCLC							ALDH1A1 CYP1B1 CYP27A1 SULT1A1					SULT1A1 TBXAS1						ALDH1A1 CYP27A1 TBXAS1									ALDH1A1 CYP27A1				
C-MYB_transcription_factor_network									CDKN1A LYZ					ADA ANPEP ETS2 TOM1																					CDKN1A HSPA8		
C-MYC_pathway									CDKN1A CLU FTH1	CCL5 CLU FTH1											CLU HMGA1		CCND1 CCND2 CLU HMGA1 PIM1 TFRC									CCND2 NDRG2			CDKN1A HSP90AA1 ID2 NDRG2		
CD28_co-stimulation																											CD80 CD86 MAP3K8							CD80 CD86 MAP3K8			
CD40/CD40L_signaling				BIRC3 CD40						NFKB2 NFKBIA																											
CDC42_signaling_events				ATF4 CCL2 FKBP5 MT2A PLAUR PLIN2 SOCS3 STAT1 TNFRSF4 TNFRSF9																			BHLHE41 CCND1 CCND2 FKBP1A FKBP5 JUNB NCF2 PIM1 RAN TFRC				ADM ATF4 BATF3 BNIP3 CCL2 CEBPD CYBB GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IRF1 IRF7 MAP3K8 MCL1 MT2A NCF1 NCOA4 NFKB1 NR3C1 PCK2 PLAUR PTPN1 SKIL SOCS3 STAT4 TNIK TXN							ADM HIF1A ICAM1 IRF1 IRF7 MAP3K8 MT2A NCF1 NCF2 NR3C1 PTPN1 STAT1 TIMP1 TNIK TXN			
CDK-mediated_phosphorylation_and_removal_of_Cdc6										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
CDT1_association_with_the_CDC6																													PSMA4 PSME1 PSME2								
CXCR4-mediated_signaling_events					CXCR4 HLA-DRA HLA-DRB1 IL2RA	FYB MMP9 RGS1		FKBP1A FYB MMP9 RAN RGS1															FKBP1A JUNB RALB RAN				BATF3 IL2RA MAP3K8 NFKB1 NFKB2 NFKBIA PTPRC RIPK2 STAT2										IL2RA PTPRC
Calcineurin-regulated_NFAT-dependent_transcription_in_lymphocytes														BATF3 GBP3 IL2RA JUNB	CALM1 SLC3A2												BATF3 GBP3 IL2RA PTPN1		CALM1 JUNB SLC3A2								
Calcium_signaling_in_the_CD4+_TCR_pathway														BATF3 IL2RA JUNB									FKBP1A JUNB						CALM1 JUNB								
Canonical_NF-kappaB_pathway										NFKB2 NFKBIA																	NFKB1 NFKB2 NFKBIA RIPK2										
Caspase_cascade_in_apoptosis				BID BIRC3																									BID BIRC3 CASP1 VIM								
Cdc20										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
Cell_Cycle,_Mitotic																																			CDKN1A HSP90AA1 TUBA4A TUBB		
Cell_Cycle_Checkpoints																													CDKN1A PSMA4 PSME1 PSME2								
Cell_surface_interactions_at_the_vascular_wall												CD47 CD48 OLR1																						CD48 LYN OLR1			
Cellular_roles_of_Anthrax_toxin														IL18 IL1B	CALM1 IL1B												IL18 IL1B		CALM1 CASP1								
Centrosome_maturation															TUBA1A TUBB																				HSP90AA1 TUBA4A TUBB		
Ceramide_signaling_pathway				BID BIRC3						EIF2AK2 NFKBIA																			BID BIRC3								
Chemokine_receptors_bind_chemokines										CCL5 CCR7																	CCL20 CCL5 CCR7							CCL20 CCL5			
Cholesterol_biosynthesis											EBP LBR SQLE																										
Class_A/1_(Rhodopsin-like_receptors)					C3AR1 CCL20 FPR2 PTAFR					CCL5 CCR7 GAL												CCR7 PTGIR					C3AR1 CCL20 CCL5 CCR7 FPR1 FPR2 PTAFR PTGIR										
Class_I_MHC_mediated_antigen_processing_&_presentation																													PSMA4 PSME1 PSME2								
Class_I_PI3K_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Class_I_PI3K_signaling_events_mediated_by_Akt				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Classical_antibody-mediated_complement_activation														C1QA C1QB													C1QA C1QB C1QC										
Complement_cascade														C1QA C1QB C2 CFD													C1QA C1QB C1QC C2								C1QA C3		
Costimulation_by_the_CD28_family																											CD80 CD86 MAP3K8							CD80 CD86 MAP3K8			
Creation_of_C4_and_C2_activators														C1QA C1QB													C1QA C1QB C1QC										
Cross-presentation_of_soluble_exogenous_antigens_(endosomes)										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
Cyclin_A																													CDKN1A PSMA4 PSME1 PSME2								
Cyclin_E_associated_events_during_G1/S_transition																													CDKN1A PSMA4 PSME1 PSME2								
Cytochrome_P450_-_arranged_by_substrate_type													CYP1B1 CYP27A1											CYP27A1 TBXAS1													
Cytokine_Signaling_in_Immune_system	CASP1 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 SQSTM1 XAF1	CSF2RA PRKACB		IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 MT2A SOCS3 XAF1	IFNGR1 IL1B IL2RA PTAFR					GBP2 IFI27 IFIT2 IFITM3 ISG15 MT2A		IFI35 IFIT3 MT2A		CSF2RA GBP2 IFI6 IFIT3 IFITM1 IFITM3 IL1B IL2RA ISG15 PTAFR	IL1B IL1RN IL3RA				IL1B MT2A								CSF2RA GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 PTAFR PTPN1 SOCS3 STAT2		CASP1 IFI35 IFI6 IFITM2 IFITM3 IL1RN					IFI27 IFI6 IFITM1 IFITM3 IL1B IL3RA ISG15 LYN MAP3K8 MT2A PTPN1 XAF1			
DNA_Repair																							ERCC1 MPG XPC							ERCC1 MPG							
DNA_Replication_Pre-Initiation																													PSMA4 PSME1 PSME2								
Death_Receptor_Signalling																																		CFLAR TNFSF10			
Degradation_of_beta-catenin_by_the_destruction_complex										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
Destabilization_of_mRNA_by_AUF1_(hnRNP_D0)										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
Developmental_Biology						APBB1IP CD36 FABP4 TREM2																															
Diabetes_pathways																													ASNS ATF3 ATF4 HSPA5								
Direct_p53_effectors														BTG2 DDIT4 DUSP1 MCL1 MDM2 RNF144B RPS27L											CTSD RPS27L				ATF3 BID CASP1 CD82 CDKN1A PMAIP1				CTSD RPS27L				
Downstream_TCR_signaling																											NFKB1 NFKBIA RIPK2										
Downstream_signaling_in_na&#xef;ve_CD8+_T_cells				TNFRSF4 TNFRSF9	HLA-A IL2RA					HLA-A TNFRSF9				HLA-A IL2RA JUNB STAT4 TNFRSF18 TNFRSF9															CALM1 JUNB								
Dual_incision_reaction_in_GG-NER																							ERCC1 XPC														
EGFR-dependent_Endothelin_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
EGFR1				PLSCR1 SOCS3 STAT1 TNIP1																																	
EGF_receptor_(ErbB1)_signaling_pathway				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
EPO_signaling_pathway				SOCS3 STAT1																							LYN NFKB1 SOCS3							LYN STAT1			
ER-Phagosome_pathway										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
Elongation_arrest_and_recovery								TCEB1 TCEB2																													
Endogenous_TLR_signaling					CD14 S100A8 TLR2				CD14 S100A8	NFKB2 NFKBIA			CD14 S100A8 S100A9	CD14 NFKBIA S100A8 TLR2	CD14 S100A8 S100A9 TLR2				S100A8 S100A9								CD14 NFKB1 NFKB2 NFKBIA RIPK2 S100A8 TLR2										
Endogenous_sterols													CYP1B1 CYP27A1																								
Endothelins				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
ErbB1_downstream_signaling				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
ErbB_receptor_signaling_network				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Extrinsic_Pathway_for_Apoptosis																																		CFLAR TNFSF10			
FAS_(CD95)_signaling_pathway										EIF2AK2 NFKB2 NFKBIA																			BID BIRC3 CASP1 VIM								
FGF_signaling_pathway				PLAUR STAT1											PLAUR SDC2 SPP1																						
FOXA2_and_FOXA3_transcription_factor_networks																																		NR3C1 UCP2			
FOXA_transcription_factor_networks																																		NR3C1 SERPINA1 UCP2			
FOXM1_transcription_factor_network																							CCND1 CKS1B														
Fatty_Acyl-CoA_Biosynthesis																										ACSL1 TECR											
Fatty_acid,_triacylglycerol,_and_ketone_body_metabolism																GPD1 TECR										ACSL1 GPD1 TECR				GPD1 TECR							
Fc-epsilon_receptor_I_signaling_in_mast_cells																	FOS LAT2																				
Formation_of_HIV-1_elongation_complex_containing_HIV-1_Tat								TCEB1 TCEB2																													
Formation_of_HIV-1_elongation_complex_in_the_absence_of_HIV-1_Tat								TCEB1 TCEB2																													
Formation_of_RNA_Pol_II_elongation_complex								TCEB1 TCEB2																													
Formation_of_incision_complex_in_GG-NER																							ERCC1 XPC														
G1/S_DNA_Damage_Checkpoints														MDM2 PSMB9 PSME2 UBE2D1															CDKN1A PSMA4 PSME1 PSME2								
G1/S_Transition																													CDKN1A PSMA4 PSME1 PSME2								
G2/M_Transition																																			HSP90AA1 TUBA4A TUBB		
GMCSF-mediated_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1		ADM ATF4 BATF3 BNIP3 CCL2 CCL5 CEBPD CSF1R CSF2RA DAPP1 DDIT4 FCGR2B FTH1 GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IRF1 IRF7 LYN MAP3K8 MCL1 MMP14 MT2A NBN NCOA4 NFKB1 NFKB2 NFKBIA NR3C1 PCK2 PLAUR PTPN1 PTPRC PVRL2 RIPK2 RNF144B RRAS SKIL SOCS3 SOD2 STAT4 TNIK TXN UBE2D1							ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
GPCR_ligand_binding					C3AR1 CCL20 FPR2 PTAFR					CCL5 CCR7 GAL					C5AR1 CCL20 CD55							CCR7 PTGIR					C3AR1 CCL20 CCL5 CCR7 FPR1 FPR2 PTAFR PTGIR										
Generation_of_second_messenger_molecules																										FYB LAT											
Global_Genomic_NER_(GG-NER)																							ERCC1 XPC														
Glucocorticoid_receptor_regulatory_network	FKBP5 IRF1 STAT1			FKBP5 STAT1																							ICAM1 IRF1 NFKB1 NR3C1 PCK2		CDKN1A ICAM1 YWHAH					ICAM1 IRF1 NR3C1 STAT1	CDKN1A HSP90AA1		
Glucocorticoid_receptor_signaling	FKBP5 IRF1 STAT1			FKBP5 STAT1																							ICAM1 IRF1 NFKB1 NR3C1 PCK2		CDKN1A ICAM1 YWHAH					ICAM1 IRF1 NR3C1 STAT1	CDKN1A HSP90AA1		
Glypican_1_network				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Glypican_3_network																														CCND2 ID2 PPARG							
Glypican_pathway				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2			BHLHE41 CCND1 CCND2 CLU CSF1 CYCS FKBP1A FKBP5 GPC3 HMGA1 JUNB PIM1 RAN SH3BP5 TFRC		CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MDK MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Golgi_Cisternae_Pericentriolar_Stack_Reorganization															TUBA1A TUBB																				HSP90AA1 TUBA4A TUBB		
Growth_hormone_receptor_signaling																											LYN PTPN1							LYN PTPN1			
HIF-1-alpha_transcription_factor_network										ADM MCL1			BNIP3 CITED2				BNIP3 CXCR4 FOS						BHLHE41 TFRC														
HIF-2-alpha_transcription_factor_network								TCEB1 TCEB2			FLT1 TCEB1		CITED2 TCEB2																								
HIV-1_Nef				BID BIRC3																									BID BIRC3					CFLAR NFKBIA			
HIV-1_Transcription_Elongation								TCEB1 TCEB2																													
HIV-1_elongation_arrest_and_recovery								TCEB1 TCEB2																													
HIV_Life_Cycle								RAN TCEB1 TCEB2																													
Hemostasis												CD47 CD48 OLR1																									
Host_Interactions_of_HIV_factors								PSMA7 RAN TCEB1 TCEB2		HLA-A PSMB9 PSME1				HCK HLA-A NUP214 PSMB9 PSME2 UBE2D1																							
