	ARID3A	ARID5B	ARNT	ASCL2	ATF3	BATF3	BHLHE41	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	PKNOX1	PLSCR1	SOX4	TCF4	TCF7L2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF143	ZNF75A
Activation_of_BH3-only_proteins	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0112295149291	1	1	1	1	1	1	1	1
Adaptive_Immune_System	1	1	1	1	1	1	1	1	1	0.0457860946075	1	1	1	0.0512752382557	1	1	1	1	1	1	1	1	1	1	1	0.077089879826	0.00223992087092	1	0.0306308041956	1	1	1	1	0.0026870038868	1	1	1
Alpha-synuclein_signaling	1	1	1	1	1	1	1	0.0235177567906	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0589621849841	1	1	1	1	1	1	1	1	1	1	1
Alpha4_beta1_integrin_signaling_events	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0185345187696	1	1	1	1	1	1	1	1	1	1	0.0992950664297	1	1	1	1	1	1	1	0.0698213563794	1	1	1
Alpha6Beta4Integrin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0112164557145	1	1	1	1	1	1	1	1
Alpha9_beta1_integrin_signaling_events	1	1	1	0.00784474846558	1	1	1	1	0.0782934421949	0.0108331578077	1	1	1	1	1	1	1	1	1	0.0764865129771	1	1	0.063372785209	1	0.0549909865432	1	0.0853362494579	1	1	1	1	1	1	0.0242740657215	1	1	1
Alternative_NF-kappaB_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016034028441	1	1	1	1	1	1	1	1	1	1
Amino_acid_and_oligopeptide_SLC_transporters	1	1	0.0206418536931	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0492499440896	1	1	1	1	0.08623316069	1	1	1
Amino_acid_transport_across_the_plasma_membrane	1	1	0.0153918738503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0371819072685	1	1	1	1	0.0658991412514	1	1	1
AndrogenReceptor	1	1	1	1	1	1	1	0.0399905485323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0252592365574	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Antigen_processing	1	1	1	1	1	1	1	1	1	0.0805604760379	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.022891703233	1	1	1	1	1	1	1	1
Antigen_processing-Cross_presentation	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0863818627801	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0353739858702	1	1	1	1	1	1	1	1
Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000593299661731	1	1	1	1	1	1	1	1
Arf6_downstream_pathway	1	1	1	0.00667445448315	1	1	1	1	1	0.0221850798193	1	1	1	1	1	1	1	1	1	0.0719028647512	1	1	1	1	0.0507326730599	1	1	1	1	1	1	1	1	0.0200317709077	1	1	1
Arf6_signaling_events	1	1	1	0.00667445448315	1	1	1	1	1	0.0221850798193	1	1	1	1	1	1	1	1	1	0.0719028647512	1	1	1	1	0.0507326730599	1	1	1	1	1	1	1	1	0.0200317709077	1	1	1
Arf6_trafficking_events	1	1	1	0.00667445448315	1	1	1	1	1	0.0221850798193	1	1	1	1	1	1	1	1	1	0.0719028647512	1	1	1	1	0.0507326730599	1	1	1	1	1	1	1	1	0.0200317709077	1	1	1
Assembly_of_the_pre-replicative_complex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0406304565898	1	1	1	1	1	1	1	1
Atypical_NF-kappaB_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0813258858253	1	1	1	1	1	1	1	1	1	1
Aurora_A_signaling	1	1	1	1	1	1	1	1	1	0.0876076411145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Autodegradation_of_Cdh1_by_Cdh1	1	1	1	1	1	1	1	1	1	0.0714656642549	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0190768531666	1	1	1	1	1	1	1	1
Autodegradation_of_the_E3_ubiquitin_ligase_COP1	1	1	1	1	1	1	1	1	1	0.0899973155217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0270933509347	1	1	1	1	1	1	1	1
BCR_signaling_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0876076411145	1	1	1	1	1	1	1	1	1	0.0201330615056	1	1	1	1	1	1	0.0581245540494	1	1	1
BMP_receptor_signaling	1	1	1	1	0.0709403278252	1	0.0190058584744	1	1	1	0.0539318156966	1	1	1	1	1	1	1	1	1	1	1	0.017617390859	1	1	0.0822362029942	1	1	1	1	1	1	1	1	1	1	1
Beta1_integrin_cell_surface_interactions	1	1	1	0.0109549159865	1	1	1	1	0.0282714866282	0.0151782772869	1	1	1	1	1	1	1	1	1	0.0869880055595	1	1	0.0819765087161	1	0.0650029623364	1	0.0720928197437	1	1	1	1	1	1	0.0194407045329	1	0.0415974652714	1
Beta2_integrin_cell_surface_interactions	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0886043518264	0.0162537741674	1	1	1	1	1	1	1	1	1	1
Beta3_integrin_cell_surface_interactions	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0272051452436	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Biological_oxidations	1	1	1	1	1	0.0186477034294	1	1	1	1	1	1	0.000476350827583	1	1	1	1	0.00770823591761	1	1	1	1	1	0.0028325993235	1	1	1	1	1	1	1	1	0.0376787793179	1	1	1	1
C-MYB_transcription_factor_network	1	1	1	1	1	1	1	1	0.0171134787046	1	1	1	1	0.0970606050293	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0541895399454	1	1
C-MYC_pathway	1	1	1	1	1	1	1	1	0.00585473303266	0.0953460153966	1	1	1	1	1	1	1	1	1	1	0.0273768478011	1	0.00116190034941	1	1	1	1	1	1	1	1	0.0402405325824	1	1	0.00494501585745	1	1
CD28_co-stimulation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0294565889521	1	1	1	1	1	1	0.00255590893338	1	1	1
CD40/CD40L_signaling	1	1	1	0.0529221241341	1	1	1	1	1	0.0648871612969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDC42_signaling_events	1	1	1	0.0139173630344	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0587407988634	1	1	1	0.0726356353775	1	1	1	1	1	1	0.0425898208652	1	1	1
CDK-mediated_phosphorylation_and_removal_of_Cdc6	1	1	1	1	1	1	1	1	1	0.0852379770911	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.024944169955	1	1	1	1	1	1	1	1
CDT1_association_with_the_CDC6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0328881973255	1	1	1	1	1	1	1	1
CXCR4-mediated_signaling_events	1	1	1	1	0.042996543804	0.0857109609573	1	0.018730940074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0398512508788	1	1	1	0.0690566812335	1	1	1	1	1	1	1	1	1	0.0311597839948
Calcineurin-regulated_NFAT-dependent_transcription_in_lymphocytes	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0210048681776	0.0371993308729	1	1	1	1	1	1	1	1	1	1	1	0.0670703645975	1	0.0105598958079	1	1	1	1	1	1	1	1
Calcium_signaling_in_the_CD4+_TCR_pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0161791808843	1	1	1	1	1	1	1	1	0.016791606784	1	1	1	1	1	0.0226247002913	1	1	1	1	1	1	1	1
Canonical_NF-kappaB_pathway	1	1	1	1	1	1	1	1	1	0.0305938307235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0305924956784	1	1	1	1	1	1	1	1	1	1
Caspase_cascade_in_apoptosis	1	1	1	0.0409727848245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00114920395601	1	1	1	1	1	1	1	1
Cdc20	1	1	1	1	1	1	1	1	1	0.0924065581357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0282041692064	1	1	1	1	1	1	1	1
Cell_Cycle,_Mitotic	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0559209714369	1	1
Cell_Cycle_Checkpoints	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0223761840472	1	1	1	1	1	1	1	1
Cell_surface_interactions_at_the_vascular_wall	1	1	1	1	1	1	1	1	1	1	1	0.00262801756445	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0378251374011	1	1	1
Cellular_roles_of_Anthrax_toxin	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0476722649948	0.00447904056101	1	1	1	1	1	1	1	1	1	1	1	0.0917878972424	1	0.00988994087339	1	1	1	1	1	1	1	1
Centrosome_maturation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.075773782327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00454846498959	1	1
Ceramide_signaling_pathway	1	1	1	0.0442688302018	1	1	1	1	1	0.0544246744949	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0859328442306	1	1	1	1	1	1	1	1
Chemokine_receptors_bind_chemokines	1	1	1	1	1	1	1	1	1	0.00764212592709	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0189370744651	1	1	1	1	1	1	0.0231435035204	1	1	1
Cholesterol_biosynthesis	1	1	1	1	1	1	1	1	1	1	0.000506740253138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Class_A/1_(Rhodopsin-like_receptors)	1	1	1	1	0.0142632950062	1	1	1	1	0.0500233020284	1	1	1	1	1	1	1	1	1	1	1	0.0202222074217	1	1	1	1	0.0282812857533	1	1	1	1	1	1	1	1	1	1
Class_I_MHC_mediated_antigen_processing_&_presentation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0406304565898	1	1	1	1	1	1	1	1
Class_I_PI3K_signaling_events	1	1	1	0.00667445448315	1	1	1	1	1	0.0221850798193	1	1	1	1	1	1	1	1	1	0.0719028647512	1	1	1	1	0.0507326730599	1	1	1	1	1	1	1	1	0.0200317709077	1	1	1
Class_I_PI3K_signaling_events_mediated_by_Akt	1	1	1	0.00667445448315	1	1	1	1	1	0.0221850798193	1	1	1	1	1	1	1	1	1	0.0719028647512	1	1	1	1	0.0507326730599	1	1	1	1	1	1	1	1	0.0200317709077	1	1	1
Classical_antibody-mediated_complement_activation	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00782187300739	1	1	1	1	1	1	1	1	1	1	1	1	0.00073544555095	1	1	1	1	1	1	1	1	1	1
Complement_cascade	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000874762727096	1	1	1	1	1	1	1	1	1	1	1	1	0.00346088293306	1	1	1	1	1	1	1	0.00406828196787	1	1
Costimulation_by_the_CD28_family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0885683327021	1	1	1	1	1	1	0.00902702184638	1	1	1
Creation_of_C4_and_C2_activators	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0141554441423	1	1	1	1	1	1	1	1	1	1	1	1	0.00195701794066	1	1	1	1	1	1	1	1	1	1
Cross-presentation_of_soluble_exogenous_antigens_(endosomes)	1	1	1	1	1	1	1	1	1	0.0805604760379	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.022891703233	1	1	1	1	1	1	1	1
Cyclin_A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0102322675488	1	1	1	1	1	1	1	1
Cyclin_E_associated_events_during_G1/S_transition	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00657345087596	1	1	1	1	1	1	1	1
Cytochrome_P450_-_arranged_by_substrate_type	1	1	1	1	1	1	1	1	1	1	1	1	0.0199814471491	1	1	1	1	1	1	1	1	1	1	0.0121432524807	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytokine_Signaling_in_Immune_system	1.82798454151e-09	0.0146473452097	1	7.43280027526e-07	0.0176744654933	1	1	1	1	0.000216208963178	1	0.0212862985796	1	0.000295095694647	0.0406786850604	1	1	1	0.0433368401521	1	1	1	1	1	1	1	8.09352584952e-14	1	0.000920133156566	1	1	1	1	3.50364169899e-08	1	1	1
DNA_Repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0493013451872	1	1	1	1	1	1	0.0608821154957	1	1	1	1	1	1	1
DNA_Replication_Pre-Initiation	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0636240032964	1	1	1	1	1	1	1	1
Death_Receptor_Signalling	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0137614376145	1	1	1
Degradation_of_beta-catenin_by_the_destruction_complex	1	1	1	1	1	1	1	1	1	0.0924065581357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0282041692064	1	1	1	1	1	1	1	1
Destabilization_of_mRNA_by_AUF1_(hnRNP_D0)	1	1	1	1	1	1	1	1	1	0.0899973155217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0270933509347	1	1	1	1	1	1	1	1
Developmental_Biology	1	1	1	1	1	0.0993235392757	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Diabetes_pathways	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0333642233693	1	1	1	1	1	1	1	1
Direct_p53_effectors	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0257062050431	1	1	1	1	1	1	1	1	1	1	0.0573147322135	1	1	1	0.0014326074193	1	1	1	0.0794009656768	1	1	1	1
Downstream_TCR_signaling	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0579069387554	1	1	1	1	1	1	1	1	1	1
Downstream_signaling_in_na&#xef;ve_CD8+_T_cells	1	1	1	0.0346817159795	0.0537810833062	1	1	1	1	0.042777874568	1	1	1	0.000401697488959	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.068146395111	1	1	1	1	1	1	1	1
Dual_incision_reaction_in_GG-NER	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0128201778882	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EGFR-dependent_Endothelin_signaling_events	1	1	1	0.00673219504074	1	1	1	1	1	0.0223557949864	1	1	1	1	1	1	1	1	1	0.0721396729312	1	1	1	1	0.0509509041437	1	1	1	1	1	1	1	1	0.0202390112872	1	1	1
EGFR1	1	1	1	0.0140546192875	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EGF_receptor_(ErbB1)_signaling_pathway	1	1	1	0.00667445448315	1	1	1	1	1	0.0221850798193	1	1	1	1	1	1	1	1	1	0.0719028647512	1	1	1	1	0.0507326730599	1	1	1	1	1	1	1	1	0.0200317709077	1	1	1
EPO_signaling_pathway	1	1	1	0.019649844336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0885683327021	1	1	1	1	1	1	0.0698213563794	1	1	1
ER-Phagosome_pathway	1	1	1	1	1	1	1	1	1	0.0997473541062	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0316811638145	1	1	1	1	1	1	1	1
Elongation_arrest_and_recovery	1	1	1	1	1	1	1	0.0216151581564	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Endogenous_TLR_signaling	1	1	1	1	0.0133135289813	1	1	1	0.0100354889637	0.0714656642549	1	1	0.00211320549749	0.0425507306087	0.000511002419242	1	1	1	0.0116189906444	1	1	1	1	1	1	1	0.00277053306579	1	1	1	1	1	1	1	1	1	1
Endogenous_sterols	1	1	1	1	1	1	1	1	1	1	1	1	0.00212488374419	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Endothelins	1	1	1	0.00714813138678	1	1	1	1	1	0.0235799348012	1	1	1	1	1	1	1	1	1	0.0738111125353	1	1	1	1	0.0524967683128	1	1	1	1	1	1	1	1	0.0217385656397	1	1	1
ErbB1_downstream_signaling	1	1	1	0.00667445448315	1	1	1	1	1	0.0221850798193	1	1	1	1	1	1	1	1	1	0.0719028647512	1	1	1	1	0.0507326730599	1	1	1	1	1	1	1	1	0.0200317709077	1	1	1
ErbB_receptor_signaling_network	1	1	1	0.00797725651334	1	1	1	1	1	0.0259923251414	1	1	1	1	1	1	1	1	1	0.0769793804493	1	1	1	1	0.0554530827369	1	1	1	1	1	1	1	1	0.0247594491431	1	1	1
Extrinsic_Pathway_for_Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0137614376145	1	1	1
FAS_(CD95)_signaling_pathway	1	1	1	1	1	1	1	1	1	0.0689512047527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0342512544535	1	1	1	1	1	1	1	1
FGF_signaling_pathway	1	1	1	0.0377759823634	1	1	1	1	1	1	1	1	1	1	0.00315918023173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXA2_and_FOXA3_transcription_factor_networks	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0992257288324	1	1	1
FOXA_transcription_factor_networks	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0723242542573	1	1	1
FOXM1_transcription_factor_network	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0369774711412	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fatty_Acyl-CoA_Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0338652609185	1	1	1	1	1	1	1	1	1	1	1
Fatty_acid,_triacylglycerol,_and_ketone_body_metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0757562019338	1	1	1	1	1	1	1	1	1	0.0571414975199	1	1	1	0.0194331621257	1	1	1	1	1	1	1
Fc-epsilon_receptor_I_signaling_in_mast_cells	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0805604760379	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Formation_of_HIV-1_elongation_complex_containing_HIV-1_Tat	1	1	1	1	1	1	1	0.0434522347515	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Formation_of_HIV-1_elongation_complex_in_the_absence_of_HIV-1_Tat	1	1	1	1	1	1	1	0.0459530583028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Formation_of_RNA_Pol_II_elongation_complex	1	1	1	1	1	1	1	0.0459530583028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Formation_of_incision_complex_in_GG-NER	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0128201778882	1	1	1	1	1	1	1	1	1	1	1	1	1	1
G1/S_DNA_Damage_Checkpoints	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0829576781169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00539671655458	1	1	1	1	1	1	1	1
G1/S_Transition	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0210205207396	1	1	1	1	1	1	1	1
G2/M_Transition	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0109660349074	1	1
GMCSF-mediated_signaling_events	1	1	1	0.00696733169992	1	1	1	1	1	0.0230490196478	1	1	1	1	1	1	1	1	1	0.073091825906	1	1	1	1	0.0518303372236	1	0.0999397714793	1	1	1	1	1	1	0.0210853275772	1	1	1
GPCR_ligand_binding	1	1	1	1	0.0315499898562	1	1	1	1	0.089155019024	1	1	1	1	0.0630284643741	1	1	1	1	1	1	0.0317993240305	1	1	1	1	0.0912437253749	1	1	1	1	1	1	1	1	1	1
Generation_of_second_messenger_molecules	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0234275155243	1	1	1	1	1	1	1	1	1	1	1
Global_Genomic_NER_(GG-NER)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0331740815973	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glucocorticoid_receptor_regulatory_network	0.0107017567111	1	1	0.0820098007579	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0827816325699	1	0.0316811638145	1	1	1	1	0.0148382156212	0.0465552167483	1	1
Glucocorticoid_receptor_signaling	0.0115820676032	1	1	0.0861986100221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0911251731173	1	0.0341191591472	1	1	1	1	0.0163613327146	0.0490518886448	1	1
Glypican_1_network	1	1	1	0.00733281216067	1	1	1	1	1	0.0241203984225	1	1	1	1	1	1	1	1	1	0.0745348381125	1	1	1	1	0.0531690996484	1	1	1	1	1	1	1	1	0.0224079609128	1	1	1
Glypican_3_network	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.039728809624	1	1	1	1	1	1	1
Glypican_pathway	1	1	1	0.010197644909	1	1	1	1	1	0.0322930170637	1	1	1	1	1	1	1	1	1	0.0846109664528	1	1	0.0776030770468	1	0.0627071400062	1	1	1	1	1	1	1	1	0.0177301578065	1	1	1
Golgi_Cisternae_Pericentriolar_Stack_Reorganization	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0606276822492	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00317055876024	1	1
Growth_hormone_receptor_signaling	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016034028441	1	1	1	1	1	1	0.00282003501231	1	1	1
HIF-1-alpha_transcription_factor_network	1	1	1	1	1	1	1	1	1	0.0805604760379	1	1	0.0315404445032	1	1	1	0.0113527181271	1	1	1	1	1	0.0960646352231	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIF-2-alpha_transcription_factor_network	1	1	1	1	1	1	1	0.0362759744784	1	1	0.0447800282832	1	0.00789634526122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIV-1_Nef	1	1	1	0.0247084189071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0492499440896	1	1	1	1	0.08623316069	1	1	1
HIV-1_Transcription_Elongation	1	1	1	1	1	1	1	0.0434522347515	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIV-1_elongation_arrest_and_recovery	1	1	1	1	1	1	1	0.0216151581564	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIV_Life_Cycle	1	1	1	1	1	1	1	0.0633580445728	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Hemostasis	1	1	1	1	1	1	1	1	1	1	1	0.0753705605323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
