	ALX1	ALX3	ALX4	ARX	CIC	DRGX	EN1	EN2	ESX1	FOXP3	GBX1	GBX2	HESX1	HSF2	HSF4	ISX	MIXL1	MSX1	MSX2	NOBOX	OTP	PHOX2A	PHOX2B	PROP1	PRRX1	PRRX2	RAX	RAX2	RFX1	RFX2	RFX3	RFX4	SEBOX	SHOX	SHOX2	SOX1	SOX10	SOX11	SOX12	SOX13	SOX14	SOX15	SOX17	SOX18	SOX2	SOX21	SOX3	SOX4	SOX5	SOX6	SOX7	SOX8	SOX9	SRY	UNCX	VSX1	VSX2
AC092431.2	3	3	3	3	1	3	3	3	3	0	3	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3
AC099326.1	5	5	5	5	0	5	5	5	5	1	5	5	5	2	2	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	0	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5
AC130709.1	7	7	7	7	0	7	7	7	7	1	7	7	7	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7
ADCY1	9	9	9	9	7	9	9	9	9	4	9	9	9	3	3	9	9	9	9	9	9	9	9	9	9	9	9	9	1	1	1	1	9	9	9	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	9	9
AL035697.1	5	5	5	5	0	5	5	5	5	1	5	5	5	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	0	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5
AL592494.5	2	2	2	2	1	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
ANKRD32	2	2	2	2	0	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
ANXA4	7	7	7	7	4	7	7	7	7	5	7	7	7	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	0	7	7	7	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	7
AP003354.1	7	7	7	7	0	7	7	7	7	1	7	7	7	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	0	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7
APLF	32	32	32	32	5	32	32	32	32	6	32	32	32	4	4	32	32	32	32	32	32	32	32	32	32	32	32	32	2	2	2	2	32	32	32	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	32	32	32
AQP1	3	3	3	3	0	3	3	3	3	0	3	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3
ARHGAP42P5	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
AZIN1	4	4	4	4	2	4	4	4	4	4	4	4	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4
C19orf82	4	4	4	4	0	4	4	4	4	0	4	4	4	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4
C4BPAP2	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C9orf47	2	2	2	2	2	2	2	2	2	1	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CD36	61	61	61	61	23	61	61	61	61	23	61	61	61	16	16	61	61	61	61	61	61	61	61	61	61	61	61	61	6	6	6	6	61	61	61	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	61	61	61
CREG1	5	5	5	5	1	5	5	5	5	1	5	5	5	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	0	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5
CSTF3	4	4	4	4	1	4	4	4	4	2	4	4	4	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4
CTC-303L1.2	2	2	2	2	0	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
CTD-2033A16.1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
CTD-2301A4.3	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
CTD-2301A4.5	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
EID1	3	3	3	3	0	3	3	3	3	0	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3
FAM188B	8	8	8	8	1	8	8	8	8	3	8	8	8	3	3	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	8
FBXO48	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
FREM1	30	30	30	30	7	30	30	30	30	6	30	30	30	4	4	30	30	30	30	30	30	30	30	30	30	30	30	30	3	3	3	3	30	30	30	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	30	30	30
GNAT3	18	18	18	18	5	18	18	18	18	4	18	18	18	6	6	18	18	18	18	18	18	18	18	18	18	18	18	18	1	1	1	1	18	18	18	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	18	18	18
HIF1AN	1	1	1	1	0	1	1	1	1	0	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
IDO1	8	8	8	8	5	8	8	8	8	3	8	8	8	2	2	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	8	8	8	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	8	8
IDO2	14	14	14	14	3	14	14	14	14	3	14	14	14	5	5	14	14	14	14	14	14	14	14	14	14	14	14	14	1	1	1	1	14	14	14	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	14	14	14
INMT-FAM188B	8	8	8	8	1	8	8	8	8	3	8	8	8	3	3	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	8
KB-1254G8.1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
KB-1507C5.2	18	18	18	18	3	18	18	18	18	7	18	18	18	1	1	18	18	18	18	18	18	18	18	18	18	18	18	18	4	4	4	4	18	18	18	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	18	18	18
KIAA0825	2	2	2	2	0	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
LDHA	2	2	2	2	0	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
LDHC	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
MAPK1	9	9	9	9	0	9	9	9	9	4	9	9	9	6	6	9	9	9	9	9	9	9	9	9	9	9	9	9	0	0	0	0	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9
MIR3159	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
MITF	31	31	31	31	9	31	31	31	31	12	31	31	31	9	9	31	31	31	31	31	31	31	31	31	31	31	31	31	7	7	7	7	31	31	31	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	31	31	31
MXD3	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
NDUFB8	4	4	4	4	0	4	4	4	4	1	4	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4
NFAT5	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
NFE2L2	13	13	13	13	1	13	13	13	13	11	13	13	13	5	5	13	13	13	13	13	13	13	13	13	13	13	13	13	0	0	0	0	13	13	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	13	13
NQO1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
NSD1	22	22	22	22	4	22	22	22	22	10	22	22	22	4	4	22	22	22	22	22	22	22	22	22	22	22	22	22	0	0	0	0	22	22	22	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	22	22	22
PABPC1P13	2	2	2	2	0	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
PARK2	201	201	201	201	36	201	201	201	201	68	201	201	201	74	74	201	201	201	201	201	201	201	201	201	201	201	201	201	10	10	10	10	201	201	201	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	201	201	201
PAWR	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
PFDN4	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
PIGCP1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
POTED	6	6	6	6	0	6	6	6	6	1	6	6	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	0	0	0	0	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6
PPP1R12A	4	4	4	4	0	4	4	4	4	0	4	4	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4
PRELID1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
PRKRA	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
RAB24	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
RN7SL418P	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
RN7SL487P	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RN7SL604P	4	4	4	4	0	4	4	4	4	2	4	4	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4
RNA5SP493	3	3	3	3	0	3	3	3	3	1	3	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3
RNU6-1260P	7	7	7	7	0	7	7	7	7	1	7	7	7	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	0	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7
RNU6-286P	6	6	6	6	0	6	6	6	6	0	6	6	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	0	0	0	0	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6
RP11-138E16.1	7	7	7	7	1	7	7	7	7	1	7	7	7	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	0	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7
RP11-235E17.5	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
RP11-23F23.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RP11-30L15.4	3	3	3	3	0	3	3	3	3	1	3	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3
RP11-311C24.1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
RP11-326A13.1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
RP11-337N6.1	5	5	5	5	0	5	5	5	5	3	5	5	5	2	2	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	0	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5
RP11-337N6.2	5	5	5	5	0	5	5	5	5	1	5	5	5	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	0	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5
RP11-343N15.2	2	2	2	2	1	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
RP11-44K6.2	3	3	3	3	3	3	3	3	3	1	3	3	3	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
RP11-44K6.3	19	19	19	19	6	19	19	19	19	4	19	19	19	5	5	19	19	19	19	19	19	19	19	19	19	19	19	19	1	1	1	1	19	19	19	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	19	19	19
RP11-44K6.4	5	5	5	5	2	5	5	5	5	1	5	5	5	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	5	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	5	5
RP11-44K6.5	2	2	2	2	0	2	2	2	2	0	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
RP11-530C5.1	18	18	18	18	3	18	18	18	18	4	18	18	18	9	9	18	18	18	18	18	18	18	18	18	18	18	18	18	0	0	0	0	18	18	18	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	18	18	18
RP11-536C10.12	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
RP11-536C10.13	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
RP11-536C10.16	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
RP11-536C10.7	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
RP11-626K17.5	8	8	8	8	1	8	8	8	8	8	8	8	8	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	0	0	0	0	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	8
RP11-77O7.1	2	2	2	2	0	2	2	2	2	0	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
RP11-82L18.4	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RPL5P24	4	4	4	4	0	4	4	4	4	1	4	4	4	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4
S1PR3	2	2	2	2	2	2	2	2	2	1	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
SEC31B	6	6	6	6	0	6	6	6	6	1	6	6	6	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6
SHC3	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
SHC4	18	18	18	18	6	18	18	18	18	12	18	18	18	4	4	18	18	18	18	18	18	18	18	18	18	18	18	18	0	0	0	0	18	18	18	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	18	18	18
SHPK	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
SNORA36C	4	4	4	4	0	4	4	4	4	0	4	4	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4
snoU13	5	5	5	5	2	5	5	5	5	3	5	5	5	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	0	5	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	5	5
SNRPBP1	4	4	4	4	0	4	4	4	4	1	4	4	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4
TCEA1	6	6	6	6	1	6	6	6	6	1	6	6	6	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	0	0	0	0	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	6
TCP11L1	9	9	9	9	2	9	9	9	9	4	9	9	9	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	1	1	1	1	9	9	9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9	9	9
TUBGCP4	2	2	2	2	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
U95743.1	3	3	3	3	1	3	3	3	3	2	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3
WNT8B	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Y_RNA	4	4	4	4	0	4	4	4	4	0	4	4	4	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4
ZKSCAN2	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
ZNF562	5	5	5	5	0	5	5	5	5	0	5	5	5	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	2	2	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5
