	ARID3A	ARNT	ASCL2	ATF3	BATF3	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	NR3C1	PKNOX1	PLSCR1	RUNX1	SOX4	TCF4	TCF7L2	TFDP2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF143	ZNF385A	ZNF75A
Graft-versus-host_disease				HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B						HLA-DPA1 HLA-DRB1	HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DRB1 IL1B							HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1							CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E IL1B			CD86 HLA-E						CD80 CD86 HLA-E IL1B				
Hematopoietic_cell_lineage	CD38 HLA-DRA			CD14 CD33 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA		CD36 CD9 MME				CD44 HLA-DRB1 IL7R	CD14 FCGR1A	ANPEP CD14 CD33 CD44 CSF2RA HLA-DRB1 IL1B IL2RA IL7R	CD14 CD55 IL1B IL3RA													CD14 CD38 CD44 CSF1R CSF2RA IL1B IL2RA IL3RA IL7R									CD44 IL1B IL3RA				CD14 IL2RA
Hepatitis_C	IFIT1 IRF1 STAT1		OAS1 SOCS3 STAT1					EIF2AK2 NFKBIA STAT1																		DDX58 IFIT1 IRF1 IRF7 NFKB1 NFKBIA OAS1 OAS2 OAS3 SOCS3 STAT2									CLDN7 IRF1 IRF7 NFKBIA STAT1				
Histidine_metabolism				ALDH2 HNMT																																			
Huntington's_disease						ATP5G3 COX5B NDUFB6 NDUFB9 SLC25A5								MT-ATP6 MT-CO3 MT-CYB PPARG					ATP5G3 NDUFB6 SLC25A5		ATP5G3 COX5B CYCS NDUFB6 NDUFB9 SLC25A5 TGM2	MT-ATP6 MT-CO3 MT-CYB NDUFB9		ATP5G3 COX5B CYCS NDUFB9 PPARG TGM2			MT-ATP6 MT-CO3 MT-CYB NDUFB9						COX5B NDUFB6 NDUFB9						
Hypertrophic_cardiomyopathy_(HCM)		PRKAA1 TPM4							ACTB ACTG1 TPM2				ACTB ACTG1 TPM4																		ACTB ACTG1							ACTB ACTG1 TPM4	
Insulin_signaling_pathway																												CALM1 CALM3											
Intestinal_immune_network_for_IgA_production			CD40 CD86	CXCR4 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5						HLA-DPA1 HLA-DRB1	HLA-DMA HLA-DQB1	CD80 CXCR4 HLA-DQA1 HLA-DRB1 TNFSF13B							HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1							CD80 CD86 HLA-DPB1 HLA-DQA1 IL15RA TNFSF13B			CD40 CD86 TNFSF13B										
Jak-STAT_signaling_pathway			IFNGR2 SOCS3 STAT1					IL10RA IL15RA IL7R STAT1																		CSF2RA IFNGR1 IFNGR2 IL10RA IL15RA IL2RA IL3RA IL7R SOCS3 STAT2 STAT4													
Leishmaniasis	HLA-DRA IFNGR2 STAT1		IFNGR2 STAT1	HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B TLR2				NCF1 NFKBIA STAT1		HLA-DPA1 HLA-DRB1	FCGR1A FCGR3A HLA-DMA HLA-DQB1 IFNGR1	FCGR2A HLA-DQA1 HLA-DRB1 IL1B NCF1 NFKBIA TLR2			FCGR3A FOS IFNGR1	FCGR1A FCGR3A			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 NCF2							FCGR2A FCGR3A HLA-DPB1 HLA-DQA1 IFNGR1 IFNGR2 IL1B NCF1 NFKB1 NFKBIA TLR2									IL1B NCF1 NCF2 NFKBIA STAT1				
Leukocyte_transendothelial_migration													ACTB ACTG1 MYL12A							ACTB CYBB									ACTG1 ICAM1 MYL12A NCF2		ACTB ACTG1				CLDN7 ICAM1 NCF1 NCF2			ACTB ACTG1	
Long-term_potentiation																												CALM1 CALM3											
Lysosome					ACP5 CTSD CTSH DNASE2B HEXB LIPA	ACP5 DNASE2B GM2A LIPA										CTSB CTSD CTSH						ACP5 CTSD DNASE2B	CTSD CTSS		ACP5 DNASE2B GM2A									ACP5 CTSD					
MAPK_signaling_pathway															CD14 FOS GADD45G STMN1																	CD14 DUSP1							
Malaria			CCL2 CD40	GYPC IL1B TLR2								GYPC IL18 IL1B TLR2	CCL2 IL1B SDC2 TLR2													CCL2 GYPC ICAM1 IL18 IL1B TLR2			CD40 ICAM1						GYPC ICAM1 IL1B				
Measles	IFNGR2 MX1 STAT1 TNFSF10		IFNGR2 OAS1 STAT1	IFNGR1 IL1B IL2RA TLR2				EIF2AK2 IFIH1 NFKBIA STAT1				IL1B IL2RA MX1 NFKBIA SLAMF1 TLR2 TNFSF10														DDX58 FCGR2B HSPA1A IFIH1 IFNGR1 IFNGR2 IL1B IL2RA IRF7 MX1 NFKB1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT2 TLR2 TNFSF10			HSPA1A MX1 OAS1 SLAMF1 TNFSF10						HSPA1A IL1B IRF7 MX1 NFKBIA STAT1 TNFSF10				
Melanogenesis																												CALM1 CALM3											
Metabolism_of_xenobiotics_by_cytochrome_P450															EPHX1 GSTP1																								
Mineral_absorption		ATOX1 FTH1						FTH1 MT2A		ATOX1 MT2A	ATOX1 ATP2B1 FTH1 MT1H MT1X	FTH1 MT1G MT1M MT1X	MT1F MT1G MT1H MT1M MT1X SLC11A1		ATP2B1 SLC8A1		FTH1 MT1E MT1F MT1G MT1H MT2A	FTH1 MT1E MT1F MT1H MT1X MT2A								ATOX1 FTH1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A									FTH1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A				
NOD-like_receptor_signaling_pathway			BIRC3 CCL2					CCL5 IL18 NFKBIA				CXCL2 IL18 IL1B NFKBIA	CCL2 CXCL2 IL1B				CXCL2 IL1B									CCL2 CCL5 CXCL2 IL18 IL1B NFKB1 NFKBIA RIPK2			BIRC3 CASP1 HSP90AB1						CCL5 IL1B NFKBIA	HSP90AA1 HSP90AB1			CXCL2 IL18
Natural_killer_cell_mediated_cytotoxicity																										CD48 FCGR3A HLA-A HLA-E ICAM1 IFNGR1 IFNGR2 TNFSF10			BID HLA-E ICAM1 TNFSF10						CD48 HLA-E ICAM1 TNFSF10				
Neurotrophin_signaling_pathway																												CALM1 CALM3											
Nicotinate_and_nicotinamide_metabolism																										BST1 CD38 NAMPT NT5C3A													
Nucleotide_excision_repair																					ERCC1 POLE4 XPC																		
Olfactory_transduction																												CALM1 CALM3											
Oocyte_meiosis																												CALM1 CALM3											
Osteoclast_differentiation	IFNGR2 SQSTM1 STAT1		IFNGR2 LILRB1 SOCS3 STAT1					NCF1 NFKB2 NFKBIA STAT1			FCGR1A FCGR3A IFNGR1	FCGR2A IL1B JUNB LILRA1 NCF1 NFKBIA			FCGR3A FOS IFNGR1	FCGR1A FCGR3A					CSF1 JUNB LILRA2 NCF2	ACP5 TREM2	CSF1R IFNGR1			CSF1R CYBB FCGR2A FCGR2B FCGR3A IFNGR1 IFNGR2 IL1B LILRB1 LILRB2 LILRB4 NCF1 NFKB1 NFKB2 NFKBIA SOCS3 STAT2				ACP5 LILRA2 PPARG				ACP5 TREM2	IL1B NCF1 NCF2 NFKBIA STAT1				
Oxidative_phosphorylation						ATP5G3 ATP6V1D COX5B NDUFB6 NDUFB9								ATP6V1D MT-ATP6 MT-CO3 MT-CYB MT-ND4					ATP5G3 MT-ND2 NDUFB6		ATP5G3 COX5B NDUFB6 NDUFB9	MT-ATP6 MT-CO3 MT-CYB MT-ND5 NDUFB9		ATP5G3 ATP6V1D COX5B MT-ND2 NDUFB9 PPA1			ATP6V1D MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9						COX5B NDUFB6 NDUFB9						
PPAR_signaling_pathway		ACSL1 OLR1			CD36 CYP27A1 FABP3 FABP4	CD36 DBI FABP3 SCD			ACOX2 FABP5 LPL PPARG				ACSL4 LPL UBC	CD36 FABP3 FABP4 FABP5 PPARG	CD36 FABP4 FABP5									ACOX2 ACSL1 CD36 FABP3 FABP5 PPARG	DBI FABP3 FABP4 FABP5 SCD	ACSL1 GK OLR1 PCK2 UBC	DBI FABP4 FABP5			FABP5 PPARG	ACOX2 LPL	FABP5 LPL		CYP27A1 DBI					
Pancreatic_cancer																					CCND1 RALB																		
Parkinson's_disease						ATP5G3 COX5B NDUFB6 NDUFB9 SLC25A5 UCHL1								MT-ATP6 MT-CO3 MT-CYB MT-ND4					ATP5G3 MT-ND2 NDUFB6 SLC25A5		ATP5G3 COX5B CYCS NDUFB6 NDUFB9 SLC25A5	MT-ATP6 MT-CO3 MT-CYB MT-ND5 NDUFB9		ATP5G3 COX5B CYCS MT-ND2 NDUFB9 UCHL1			MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 UCHL1						COX5B NDUFB6 NDUFB9			CYCS NDUFB6			
Pathogenic_Escherichia_coli_infection				CD14 YWHAQ					ACTB ACTG1 TUBA1A TUBA1B TUBB TUBB2A TUBB4B YWHAQ				ACTB ACTG1 CD14 TUBA1A TUBB	ACTB TUBB2A	CD14 CTNNB1					ACTB NCL				TUBA1B TUBB2A TUBB4B YWHAQ					ACTG1 TUBB		ACTB ACTG1 TUBA1A	CD14 TUBA1A				TUBA4A TUBB TUBB4B		ACTB ACTG1	
Pathways_in_cancer																																				CDKN1A CYCS HSP90AA1 HSP90AB1 TCEB1			
Peroxisome																								ACOX2 ACSL1 IDH2															
Phagosome				CD14 CTSS CYBB HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO TLR2			CD14 CTSS FCGR2B		ACTB ACTG1 ATP6V1D C3 CALR CORO1A TUBA1A TUBA1B TUBB TUBB2A TUBB4B	HLA-DPA1 HLA-DRB1 OLR1	CD14 FCGR1A FCGR3A HLA-DMA HLA-DQB1 MARCO	CD14 CTSS FCGR2A HLA-A HLA-DQA1 HLA-DRB1 NCF1 OLR1 TLR2	ACTB ACTG1 CD14 CORO1A MARCO TLR2 TUBA1A TUBB	ACTB ATP6V1D CD36 HLA-DMB MSR1 TUBB2A	CD14 CD36 FCGR3A MSR1	FCGR1A FCGR3A MSR1			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 MRC1 NCF2	ACTB CYBB MRC1	MRC1 NCF2 TFRC TUBA4A			ATP6V1D C3 CALR CD36 TUBA1B TUBB2A TUBB4B		CD14 CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DPB1 HLA-DQA1 HLA-E MARCO MRC1 NCF1 OLR1 TLR2			ACTG1 HLA-E NCF2 TUBB		ACTB ACTG1 TUBA1A	CD14 TUBA1A	HLA-DMB MRC1			C3 CORO1A TUBA4A TUBB TUBB4B		ACTB ACTG1	
Phosphatidylinositol_signaling_system																												CALM1 CALM3											
Phototransduction																												CALM1 CALM3											
Prion_diseases										C1QA CCL5		C1QA C1QB IL1B	C1QC IL1B				C1QA IL1B							PRKACB STIP1		C1QA C1QB C1QC CCL5 HSPA1A IL1B			HSPA1A HSPA5						CCL5 HSPA1A IL1B	C1QA STIP1			
Progesterone-mediated_oocyte_maturation																																				HSP90AA1 HSP90AB1			
Prostate_cancer																													ATF4 CDKN1A HSP90AB1							CDKN1A HSP90AA1 HSP90AB1			
Proteasome								PSMB9 PSME1																					PSMA4 PSME1 PSME2										
Protein_processing_in_endoplasmic_reticulum																													ATF4 HSP90AB1 HSPA1A HSPA5							HSP90AA1 HSP90AB1 HSPA8			
Proximal_tubule_bicarbonate_reclamation									CA2 MDH1												CA2 MDH1			CA2 MDH1															
Pyruvate_metabolism						ACAT2 MDH1			ACAT2 MDH1												ACAT2 MDH1				ACAT2 MDH1	AKR1B1 ALDH2 DLD PCK2													
RIG-I-like_receptor_signaling_pathway			ISG15 TMEM173					IFIH1 ISG15 NFKBIA																		DDX58 DHX58 IFIH1 IRF7 ISG15 NFKB1 NFKBIA									IRF7 ISG15 NFKBIA				
RNA_degradation			BTG1 BTG2																																				
Regulation_of_actin_cytoskeleton									ACTB ACTG1 GSN MRAS MYL12A				ACTB ACTG1 CD14 MYL12A							ACTB TMSB4X											ACTB ACTG1 MRAS							ACTB ACTG1	
Rheumatoid_arthritis			CCL2 CD86	CCL20 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B TLR2						CCL3 CCL5 HLA-DPA1 HLA-DRB1	HLA-DMA HLA-DQB1	CCL3 CD80 HLA-DQA1 HLA-DRB1 IL18 IL1B TLR2 TNFSF13B	CCL2 CCL20 CCL3 CCL3L3 IL1B TLR2	ACP5 ATP6V1D HLA-DMB					HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1	CCL3 CCL3L3		ACP5 HLA-DMA				CCL2 CCL20 CCL3 CCL3L3 CCL5 CD80 CD86 HLA-DPB1 HLA-DQA1 ICAM1 IL18 IL1B TLR2 TNFSF13B			CD86 ICAM1 TNFSF13B						CCL20 CCL3 CCL3L3 CCL5 CD80 CD86 ICAM1 IL1B				
Riboflavin_metabolism					ACP5 BLVRB																													ACP5 BLVRB					
Salivary_secretion															ATP2B1 BST1 LYZ													CALM1 CALM3		CALM2 LYZ									
Shigellosis													ACTB ACTG1																		ACTB ACTG1							ACTB ACTG1	
Small_cell_lung_cancer																					CCND1 CKS1B CYCS																		
Staphylococcus_aureus_infection	C1QC HLA-DRA			C3AR1 FPR2 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 PTAFR			C1QA FCGR2B			C1QA HLA-DPA1 HLA-DRB1	FCGR1A FCGR3A FPR1 HLA-DMA HLA-DQB1	C1QA C1QB C2 CFD FCGR2A FPR1 FPR2 HLA-DQA1 HLA-DRB1 PTAFR	C1QC C5AR1	CFD HLA-DMB	C1QC C3AR1 FCGR3A	FCGR1A FCGR3A FPR1			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1							C1QA C1QB C1QC C2 C3AR1 FCGR2A FCGR2B FCGR3A FPR1 FPR2 HLA-DPB1 HLA-DQA1 ICAM1 PTAFR										C1QA C3			
Steroid_biosynthesis									EBP MSMO1 SQLE																														
Systemic_lupus_erythematosus	C1QC HIST1H2AC HIST1H2BC HLA-DRA			HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5			C1QA FCGR2B			C1QA HLA-DPA1 HLA-DRB1	FCGR1A FCGR3A HLA-DMA HLA-DQB1	C1QA C1QB C2 CD80 FCGR2A HIST1H2AC HLA-DQA1 HLA-DRB1				FCGR1A FCGR3A			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1							C1QA C1QB C1QC C2 CD80 CD86 FCGR2A FCGR2B FCGR3A H3F3B HIST1H2AC HIST1H2BC HLA-DPB1 HLA-DQA1 SSB										C1QA C3			
TGF-beta_signaling_pathway																														ID2 ID3									
Terpenoid_backbone_biosynthesis									ACAT2 FDPS															ACAT2 FDPS															
Thyroid_cancer																								CCND1 PPARG															
Tight_junction									ACTB ACTG1 MRAS MYL12A				ACTB ACTG1 MYL12A																		ACTB ACTG1 MRAS							ACTB ACTG1	
Toll-like_receptor_signaling_pathway			CD40 CD86 STAT1	CD14 IL1B TLR2				CCL5 NFKBIA STAT1		CCL3 CCL4 CCL5		CCL3 CCL4 CD14 CD80 IL1B NFKBIA TLR2	CCL3 CCL4 CD14 IL1B SPP1 TLR2				CCL4 IL1B									CCL3 CCL4 CCL5 CD14 CD80 CD86 IL1B IRF7 MAP3K8 NFKB1 NFKBIA TLR2									CCL3 CCL4 CCL5 CD80 CD86 IL1B IRF7 MAP3K8 NFKBIA SPP1 STAT1				
