	ATF5	BATF3	CEBPD	DDIT3	DNMT1	ETS2	ETV5	FOS	HIF1A	HMG20B	HMGA1	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TSC22D1	XBP1	YBX1	YY1	ZNF267
Hematopoietic_cell_lineage		CD44 CD55 CSF1 CSF2RA IL1B IL2RA IL7R		CD14 HLA-DRA		CD14 CD38 CD44 CD55 CSF1R CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA IL3RA IL7R		CD14 CD36 CD9 CSF1R HLA-DRA HLA-DRB1 HLA-DRB5	CD14 CD38 IL1B IL2RA IL3RA				CD14 CSF1R HLA-DRA HLA-DRB1	CD36 HLA-DRB1 HLA-DRB5 IL7R	CD36 CD44 CD55 IL2RA IL7R MME				ANPEP CD14 CSF1R	ANPEP CD14 CD33 CD44 CD55 CSF1 CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA IL7R MME			CD44 IL1B	ANPEP CD14 CD38 CD44 CSF1R CSF2RA HLA-DRA HLA-DRB1 IL2RA IL3RA IL7R	CD36 CD44 CD9 HLA-DRA IL7R	CD14 CD33 CSF1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA TFRC	ANPEP CD14 CD33 CD38 HLA-DRA IL1B	ANPEP CD38 CD44 CD9 CSF1R CSF2RA HLA-DRA IL1B IL3RA IL7R		ANPEP CD14 CD36 CD38 CD44 CD55 CD9 CSF2RA HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL3RA MME		HLA-DRA HLA-DRB1	CD33 CSF1 IL2RA	CD36 CD38 CD44 CD9 IL7R MME	CD55 CSF1 IL3RA				
Intestinal_immune_network_for_IgA_production	CD80 HLA-DMB	CD40 CD86 IL15RA		HLA-DQB1 HLA-DRA		CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5				CD40 CD80 IL15RA TNFSF13B	HLA-DPA1 HLA-DRA HLA-DRB1	CD40 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 IL15RA TNFSF13B	CD40 CD86 HLA-DMB IL15RA TNFSF13B	CD40 HLA-DPB1 HLA-DRB5 TNFSF13B	CD40 CD86 HLA-DMA IL15RA TNFSF13B			CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL15RA TNFSF13B	HLA-DMB IL15RA			CD40 CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 IL15RA TNFSF13B	CD40 CD80 HLA-DQA1 HLA-DQB1 HLA-DRA TNFSF13B	CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	CD86 HLA-DPA1 HLA-DPB1 HLA-DRA	CD80 CD86 HLA-DRA TNFSF13B	CD80 HLA-DMB IL15RA TNFSF13B	CD40 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5	CD40 CD80 TNFSF13B	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		CD40 CD80 HLA-DQA1 IL15RA TNFSF13B			HLA-DMA HLA-DMB		
Leishmaniasis		IFNGR2 IL1B NFKB1 NFKBIA TLR2	C3 FCGR1A FCGR3A HLA-DMA	C3 HLA-DQB1 HLA-DRA TLR2		FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IFNGR2 IL1B NFKB1 NFKBIA TLR2	C3 FCGR1A FCGR3A NCF2	FCGR3A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 JUN NCF2	IFNGR2 IL1B TLR2		C3 FCGR1A FCGR3A HLA-DQB1 IFNGR1 NCF2		HLA-DPA1 HLA-DRA HLA-DRB1 IFNGR1 NFKBIA	HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 STAT1		FCGR3A HLA-DPB1 HLA-DRB5		FOS NCF2	FCGR2A FCGR3A IFNGR1 TLR2	C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B NFKBIA TLR2	FCGR2A HLA-DMB NCF1		HLA-DPA1 IFNGR1 IL1B	FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 IFNGR1 IFNGR2 NCF1 NFKB1 NFKBIA TLR2	HLA-DQA1 HLA-DQB1 HLA-DRA IFNGR2 NFKB1 NFKBIA STAT1	C3 FCGR2A FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B NCF2 TLR2	FCGR2A FOS HLA-DPA1 HLA-DPB1 HLA-DRA IFNGR2 IL1B JUN NFKBIA TLR2	FCGR3A HLA-DRA IFNGR1 IFNGR2 IL1B JUN NCF2	C3 FCGR2A FOS HLA-DMB IFNGR2 NCF1 NFKBIA STAT1	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR2 IL1B	IFNGR2 NCF1 NFKBIA STAT1	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1	IFNGR1 JUN NCF2	C3 FCGR2A FOS HLA-DQA1 IFNGR2 NCF1 NFKBIA			C3 FCGR1A HLA-DMA HLA-DMB		
Measles		IFIH1 IFNGR2 IL1B IL2RA NFKB1 NFKBIA SLAMF1 TLR2				FCGR2B IFNGR1 IFNGR2 IL1B IL2RA IRF7 NFKB1 NFKBIA TLR2			CCND2 HSPA8 IFNGR2 IL1B IL2RA STAT2 TLR2			DDX58 EIF2AK2 IFIH1 IFNGR2 IRF7 MX1 OAS1 OAS2 OAS3 SLAMF1 STAT1 STAT2 TNFSF10	FCGR2B IFNGR1 NFKBIA	DDX58 EIF2AK2 IFIH1 IRF7 MX1 OAS1 OAS2 OAS3 SLAMF1 STAT1 STAT2	DDX58 EIF2AK2 IFIH1 IFNGR2 IL2RA IRF7 MX1 OAS1 OAS2 OAS3 SLAMF1 STAT1 STAT2 TNFSF10	DDX58 IFIH1 IRF7 MX1 OAS1 OAS2 OAS3 TNFSF10	DDX58 EIF2AK2 IFIH1 IFNGR2 IRF7 MX1 OAS1 OAS2 OAS3 STAT1 STAT2 TNFSF10						IFNGR1 IL1B	DDX58 HSPA1A IFNGR1 IFNGR2 IL2RA MX1 NFKB1 NFKBIA OAS1 OAS2 TLR2 TNFSF10	CCND2 EIF2AK2 IFNGR2 NFKB1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT1	CCND1 CCND2 FCGR2B HSPA8 IFNGR1 IL1B IL2RA TLR2	DDX58 FCGR2B IFNGR2 IL1B IRF7 NFKBIA TLR2	CCND2 IFNGR1 IFNGR2 IL1B MX1 OAS1 SLAMF1	CCND2 DDX58 HSPA8 IFIH1 IFNGR2 IRF7 NFKBIA OAS1 OAS2 STAT1 TNFSF10		DDX58 HSPA1A IFNGR2 IRF7 MX1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT1 TNFSF10			CCND2 DDX58 EIF2AK2 IFIH1 IFNGR2 IRF7 MX1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT2 TNFSF10				HSPA8 STAT1 TNFSF10	
Mineral_absorption	ATOX1 MT1E MT2A			MT1G SLC8A1		ATP2B1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A SLC8A1		SLC11A1 SLC8A1	FTH1 MT1E MT1F MT1G MT1H MT1M MT2A SLC11A1			ATOX1 FTH1 MT2A								ATP1B1 ATP2B1 MT1F MT1G MT1H MT1M	MT1E MT1F MT1G MT1H MT1M MT1X MT2A SLC11A1			ATOX1 FTH1 MT1M MT2A		ATP1B1 ATP2B1 FTH1 MT1F MT1G MT1H MT1M MT1X SLC8A1	MT1F MT1G MT1H MT1M MT1X MT2A	MT1G MT1H MT1M MT1X					ATP1B1 MT1E MT1F MT1X						
NOD-like_receptor_signaling_pathway		BIRC3 CCL2 HSP90AB1 IL18 IL1B NFKB1 NFKBIA RIPK2				CCL2 CCL5 CXCL2 IL18 IL1B NFKB1 NFKBIA	CCL2 HSP90AA1 HSP90AB1 HSP90B1		CCL5 IL1B PYCARD	HSP90AA1 HSP90AB1		BIRC3 CASP1 CCL2 CCL5 RIPK2			BIRC3 CASP1 CCL2 CCL5 RIPK2		BIRC3 CASP1 CCL5 PYCARD RIPK2			CXCL2 HSP90AA1 IL18 IL1B NFKBIA				BIRC3 CCL5 IL18 NFKB1 NFKBIA	CCL2 CCL5 NFKB1 NFKBIA	CXCL2 HSP90AA1 HSP90AB1 IL18 IL1B	CCL2 CXCL2 HSP90AB1 IL1B NFKBIA	CCL2 CXCL2 IL18 IL1B	CCL5 CXCL2 HSP90B1 IL18 NFKBIA PYCARD RIPK2	CCL2 HSP90AB1 IL1B	BIRC3 CCL5 HSP90B1 IL18 NFKBIA		HSP90AB1 IL18 PYCARD	CASP1 CCL5 NFKBIA PYCARD RIPK2		HSP90AA1 HSP90AB1 HSP90B1		HSP90AA1 HSP90AB1	
Osteoclast_differentiation	LILRA2 LILRB1 LILRB4 NCF1	CSF1 IFNGR2 IL1B LILRA1 LILRB1 LILRB2 LILRB4 NFKB1 NFKBIA SOCS3	FCGR1A FCGR3A LILRA2			CSF1R CYBB FCGR2A FCGR2B FCGR3A IFNGR1 IFNGR2 IL1B LILRB2 NFKB1 NFKBIA SOCS3	FCGR1A FCGR3A LILRB4 NCF2	CSF1R CYBB FCGR3A JUN NCF2 PPARG TREM2	IFNGR2 IL1B LILRB4 SOCS3 STAT2		CSF1 CYBB FCGR1A FCGR3A IFNGR1 LILRA2 NCF2 PPARG TREM2	FCGR2A IFNGR2 JUNB LILRA1 LILRB1 LILRB2 LILRB4 SOCS3 SQSTM1 STAT1 STAT2	CSF1R FCGR2B IFNGR1 NFKBIA	ACP5 JUNB PPARG STAT1 STAT2 TREM2	ACP5 IFNGR2 JUNB LILRA1 LILRB4 PPARG SOCS3 SQSTM1 STAT1 STAT2		ACP5 IFNGR2 JUNB PPARG SOCS3 STAT1 STAT2 TREM2	CSF1 FCGR2B FOS NCF2	CSF1R FCGR2A FCGR3A IFNGR1	CSF1 CTSK CYBB FCGR2A FCGR3A IFNGR1 IL1B LILRA2 LILRB2 NFKBIA PPARG TREM2	ACP5 FCGR2A NCF1		CYBB IFNGR1 IL1B	CSF1R CYBB FCGR2A FCGR3A IFNGR1 IFNGR2 LILRB1 LILRB2 LILRB4 NCF1 NFKB1 NFKB2 NFKBIA SOCS3 SQSTM1	IFNGR2 LILRB4 NFKB1 NFKB2 NFKBIA SOCS3 SQSTM1 STAT1	CSF1 CTSK CYBB FCGR2A FCGR2B FCGR3A IFNGR1 IL1B JUNB LILRA2 NCF2	CYBB FCGR2A FCGR2B FOS IFNGR2 IL1B JUN LILRB1 LILRB2 NFKBIA	ACP5 CSF1R CYBB FCGR3A IFNGR1 IFNGR2 IL1B JUN LILRA1 LILRB1 LILRB2 NCF2 SOCS3	ACP5 FCGR2A FOS IFNGR2 LILRB4 NCF1 NFKB2 NFKBIA SOCS3 STAT1 TREM2	CYBB FCGR2B IFNGR2 IL1B LILRB1 LILRB2	IFNGR2 JUNB LILRB1 NCF1 NFKBIA PPARG SOCS3 SQSTM1 STAT1 TREM2		CSF1 IFNGR1 JUN NCF2	ACP5 FCGR2A FOS IFNGR2 JUNB LILRA1 LILRB1 LILRB2 LILRB4 NCF1 NFKB2 NFKBIA PPARG SOCS3 SQSTM1 STAT2 TREM2	CSF1 JUNB LILRA1 NCF2				
Oxidative_phosphorylation	MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9													MT-ATP6 MT-CO3 MT-CYB MT-ND4 MT-ND5	ATP6V1D MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 PPA1		MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 PPA1					MT-ATP6 MT-ND2 MT-ND4 MT-ND5															ATP5G3 MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9		
Parkinson's_disease	MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 SLC25A5 SNCA										ATP5G3 COX5B CYCS NDUFB6 NDUFB9 SLC25A5 UCHL1			MT-ATP6 MT-CO3 MT-CYB MT-ND4 MT-ND5 UBE2L6	MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 SLC25A5 UBE2L6		MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 SLC25A5 UBE2L6			ATP5G3 COX5B CYCS LRRK2 NDUFB6 NDUFB9 SLC25A5 UCHL1	LRRK2 SLC25A5 UCHL1	MT-ATP6 MT-ND2 MT-ND4 MT-ND5				ATP5G3 COX5B CYCS LRRK2 NDUFB6 SLC25A5 SNCA UCHL1			CYCS MT-CO3 MT-ND2 NDUFB6 NDUFB9 SLC25A5 UCHL1								ATP5G3 MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 SLC25A5 UCHL1		
Pathogenic_Escherichia_coli_infection					ACTB ACTG1 NCL TUBA1A TUBA1B TUBB TUBB4B		ACTB ACTG1 TUBA1B TUBA4A TUBB YWHAQ	ACTG1 CD14 TUBB2A TUBB4B		ACTG1 TUBA1A TUBA1B TUBA4A TUBB TUBB4B YWHAQ	ACTB ACTG1 NCL TUBA1B TUBA4A TUBB TUBB2A YWHAQ							NCL TUBA1A TUBB YWHAQ		CD14 TUBA1B TUBA4A TUBB2A YWHAQ						ACTB CD14 TUBA1B TUBA4A YWHAQ	CD14 TUBA1A TUBB		ACTB ACTG1 NCL TUBA1A TUBA1B TUBB2A TUBB4B		ACTB ACTG1 TUBA1B TUBB2A TUBB4B			ACTB TUBA1A TUBA1B TUBB2A TUBB4B	TUBA4A YWHAQ	ACTG1 NCL TUBA1A TUBA1B TUBB		NCL TUBB TUBB2A	ACTB ACTG1 TUBA1A TUBB TUBB4B
Phagosome			C3 FCGR1A FCGR3A HLA-DMA MARCO OLR1 TUBA4A	C3 CD14 CLEC7A CTSS CYBB HLA-DQB1 HLA-DRA TLR2	ACTB ACTG1 CORO1A MRC1 TUBA1A TUBA1B TUBB TUBB4B	CD14 CLEC7A CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO OLR1 TLR2	ACTB ACTG1 ATP6V1D C3 CALR FCGR1A FCGR3A NCF2 TUBA1B TUBA4A TUBB	ACTG1 CD14 CD36 CLEC7A CORO1A CYBB FCGR3A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO MRC1 NCF2 TUBB2A TUBB4B	CD14 MARCO OLR1 TLR2 TUBA1B	ACTG1 TUBA1A TUBA1B TUBA4A TUBB TUBB4B	ACTB ACTG1 ATP6V1D C3 CALR CYBB FCGR1A FCGR3A HLA-DQB1 MARCO MRC1 MSR1 NCF2 TUBA1B TUBA4A TUBB TUBB2A		ATP6V1D CD14 FCGR2B HLA-DPA1 HLA-DRA HLA-DRB1	CD36 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E MRC1 TAP1	ACTB ATP6V1D CD36 HLA-A HLA-DMB HLA-E MSR1 TAP1	FCGR3A HLA-DPB1 HLA-DRB5 HLA-E OLR1 TAP1		CLEC7A FCGR2B NCF2 TUBA1A TUBB	CD14 CORO1A FCGR2A FCGR3A HLA-E MARCO MSR1 TLR2	ATP6V1D C3 CALR CD14 CTSS CYBB FCGR2A FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E OLR1 TLR2 TUBA1B TUBA4A TUBB2A	FCGR2A HLA-DMB NCF1 OLR1		CLEC7A CYBB HLA-DPA1 OLR1	CD14 CTSS CYBB FCGR2A FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E NCF1 OLR1 TLR2	CALR CD36 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E TAP1 TUBB2A TUBB4B	ACTB ATP6V1D C3 CD14 CLEC7A CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO NCF2 OLR1 TFRC TLR2 TUBA1B TUBA4A	CD14 CLEC7A CORO1A CYBB FCGR2A FCGR2B HLA-DPA1 HLA-DPB1 HLA-DRA MARCO MRC1 OLR1 TLR2 TUBA1A TUBB	CTSS CYBB FCGR3A HLA-A HLA-DRA MARCO NCF2 OLR1	ACTB ACTG1 ATP6V1D C3 CD36 CORO1A FCGR2A HLA-A HLA-DMB HLA-E MRC1 MSR1 NCF1 TAP1 TUBA1A TUBA1B TUBB2A TUBB4B	ATP6V1D CD14 CD36 CLEC7A CYBB FCGR2B HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO MRC1 OLR1	ACTB ACTG1 ATP6V1D CALR CD36 CORO1A HLA-A HLA-E MRC1 MSR1 NCF1 TUBA1B TUBB2A TUBB4B	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		ACTB C3 CD36 FCGR2A HLA-A HLA-DQA1 HLA-E MRC1 MSR1 NCF1 TAP1 TUBA1A TUBA1B TUBB2A TUBB4B		ACTG1 TUBA1A TUBA1B TUBB	C3 CALR FCGR1A HLA-DMA HLA-DMB	HLA-A HLA-E TAP1 TUBB TUBB2A	ACTB ACTG1 TUBA1A TUBB TUBB4B
Rheumatoid_arthritis	CCL3L3 CD80 HLA-DMB	CCL2 CCL3 CCL3L3 CD86 CSF1 ICAM1 IL18 IL1B TLR2		HLA-DQB1 HLA-DRA TLR2		CCL2 CCL20 CCL3 CCL3L3 CCL5 CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1 IL18 IL1B TLR2		HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 JUN				CCL2 CCL5 CD80 ICAM1 TNFSF13B	ATP6V1D CCL3 HLA-DPA1 HLA-DRA HLA-DRB1	ACP5 CCL5 HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 TNFSF13B	ACP5 ATP6V1D CCL2 CCL3 CCL5 CD86 HLA-DMB ICAM1 TNFSF13B	CCL5 HLA-DPB1 HLA-DRB5 TNFSF13B	ACP5 CCL3 CCL5 CD86 HLA-DMA TNFSF13B	CCL3 CCL3L3 CD86 CSF1 FLT1 FOS	CCL2 CCL20 TLR2	ATP6V1D CCL20 CCL3 CD86 CSF1 CTSK FLT1 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL18 IL1B TLR2 TNFSF13B	ACP5 CCL20 HLA-DMB		HLA-DPA1 IL1B	CCL3 CCL5 CD80 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 IL18 TLR2 TNFSF13B	CCL2 CCL20 CCL3 CCL3L3 CCL5 CD80 HLA-DQA1 HLA-DQB1 HLA-DRA ICAM1 TNFSF13B	ATP6V1D CCL20 CCL3 CCL3L3 CD86 CSF1 CTSK HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 IL18 IL1B TLR2	CCL2 CCL20 CCL3 CCL3L3 CD86 FOS HLA-DPA1 HLA-DPB1 HLA-DRA IL1B JUN TLR2	ACP5 CCL2 CCL20 CCL3 CCL3L3 CD80 CD86 HLA-DRA ICAM1 IL18 IL1B JUN TNFSF13B	ACP5 ATP6V1D CCL5 CD80 FLT1 FOS HLA-DMB IL18 TNFSF13B	ATP6V1D CCL2 CCL3 CCL3L3 CD86 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1 IL1B	ATP6V1D CCL5 CD80 ICAM1 IL18 TNFSF13B	CCL3 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1	CSF1 IL18 JUN	ACP5 CCL5 CD80 FLT1 FOS HLA-DQA1 ICAM1 TNFSF13B	CCL3 CCL3L3 CSF1		ACP5 HLA-DMA HLA-DMB		
Staphylococcus_aureus_infection	C2 FPR2 HLA-DMB		C2 C3 C3AR1 FCGR1A FCGR3A FPR1 HLA-DMA	C3 HLA-DQB1 HLA-DRA		C1QA C1QB C1QC C2 C3AR1 FCGR2A FCGR2B FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1	C3 C5AR1 FCGR1A FCGR3A	C3AR1 C5AR1 FCGR3A FPR1 HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5			C1QC C3 C3AR1 C5AR1 FCGR1A FCGR3A HLA-DQB1		C1QA C1QB C1QC C3AR1 FCGR2B HLA-DPA1 HLA-DRA HLA-DRB1	HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5	C2 HLA-DMB ICAM1 PTAFR	C1QC C5AR1 FCGR3A HLA-DPB1 HLA-DRB5		C5AR1 FCGR2B	C1QB C1QC C3AR1 C5AR1 CFD FCGR2A FCGR3A FPR1	C1QA C1QB C1QC C2 C3 C3AR1 FCGR2A FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 PTAFR	C1QB FCGR2A HLA-DMB		C1QA C3AR1 HLA-DPA1	C1QA C1QB C1QC C2 C3AR1 FCGR2A FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 PTAFR	FPR2 HLA-DQA1 HLA-DQB1 HLA-DRA ICAM1 PTAFR	C1QA C1QB C1QC C3 C3AR1 FCGR2A FCGR2B FCGR3A FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 PTAFR	C1QA C1QB C1QC FCGR2A FCGR2B FPR1 FPR2 HLA-DPA1 HLA-DPB1 HLA-DRA	C3AR1 CFD FCGR3A FPR1 FPR2 HLA-DRA ICAM1 PTAFR	C3 FCGR2A HLA-DMB PTAFR	C1QA C1QB C2 C3AR1 FCGR2B HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 ICAM1		C1QA C1QB HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		C3 C5AR1 CFD FCGR2A HLA-DQA1 ICAM1 PTAFR			C3 FCGR1A HLA-DMA HLA-DMB		
Systemic_lupus_erythematosus	C2 CD80 H3F3B HLA-DMB		C2 C3 FCGR1A FCGR3A HLA-DMA	C3 HLA-DQB1 HLA-DRA		C1QA C1QB C1QC C2 CD80 CD86 FCGR2A FCGR2B FCGR3A HIST1H2BC HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5		FCGR3A H2AFY HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5					C1QA C1QB C1QC FCGR2B HLA-DPA1 HLA-DRA HLA-DRB1	CD40 H3F3B HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5	C2 CD40 CD86 H3F3B HIST1H2AC HIST1H2BC HLA-DMB SSB	C1QC CD40 FCGR3A H3F3B HLA-DPB1 HLA-DRB5			C1QB C1QC FCGR2A FCGR3A	C1QA C1QB C1QC C2 C3 CD86 FCGR2A FCGR3A H2AFY H3F3B HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5	C1QB FCGR2A HLA-DMB		C1QA HLA-DPA1	C1QA C1QB C1QC C2 CD40 CD80 CD86 FCGR2A FCGR3A H3F3B HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 SSB	CD40 CD80 H2AFY HIST1H2AC HLA-DQA1 HLA-DQB1 HLA-DRA SSB	C1QA C1QB C1QC C3 CD86 FCGR2A FCGR2B FCGR3A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5	C1QA C1QB C1QC CD86 FCGR2A FCGR2B HIST1H2AC HIST1H2BC HLA-DPA1 HLA-DPB1 HLA-DRA	CD80 CD86 FCGR3A H2AFY H3F3B HLA-DRA	C3 CD80 FCGR2A H2AFY H2AFZ H3F3B HIST1H2AC HLA-DMB	C1QA C1QB C2 CD40 CD86 FCGR2B HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5	C2 CD40 CD80 H2AFY H2AFZ H3F3B HIST1H2AC	C1QA C1QB HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1		C3 CD40 CD80 FCGR2A H3F3B HIST1H2AC HIST1H2BC HLA-DQA1 SSB			C3 FCGR1A H2AFY H2AFZ HLA-DMA HLA-DMB		
Toll-like_receptor_signaling_pathway		CCL3 CCL4 CD40 CD86 IL1B NFKB1 NFKBIA TLR2		CD14 TLR2		CCL3 CCL4 CCL5 CD14 CD80 CD86 IL1B IRF7 MAP3K8 NFKB1 NFKBIA TLR2			CCL5 CD14 IL1B TLR2			CCL5 CD40 CD80 IRF7 STAT1	CCL3 CD14 NFKBIA	CCL5 CD40 IRF7 STAT1	CCL3 CCL5 CD40 CD86 IRF7 STAT1	CCL5 CD40 IRF7	CCL3 CCL5 CD40 CD86 IRF7 STAT1	CCL3 CD86 FOS		CCL3 CCL4 CD14 CD86 CTSK IL1B NFKBIA SPP1 TLR2				CCL3 CCL5 CD14 CD40 CD80 CD86 MAP3K8 NFKB1 NFKBIA TLR2	CCL3 CCL4 CCL5 CD40 CD80 NFKB1 NFKBIA STAT1	CCL3 CCL4 CD14 CD86 CTSK IL1B SPP1 TLR2	CCL3 CCL4 CD14 CD86 FOS IL1B IRF7 JUN NFKBIA TLR2	CCL3 CD80 CD86 IL1B JUN	CCL5 CD80 FOS IRF7 NFKBIA STAT1	CCL3 CCL4 CD14 CD40 CD86 IL1B	CCL5 CD40 CD80 IRF7 NFKBIA STAT1	CCL3 CCL4		CCL4 CCL5 CD40 CD80 FOS IRF7 NFKBIA	CCL3 CCL4 SPP1				
