	ASCL2	ATF3	FOXO3	HMG20B	HMGA1	HMGN3	KLF10	KLF3	KLF6	NR3C1	PKNOX1	PLSCR1	YBX1
Hematopoietic_cell_lineage		CD14 CD33 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B IL2RA		CD14 FCGR1A	ANPEP CD14 CD33 CD44 CSF2RA HLA-DRB1 IL1B IL2RA IL7R	CD14 CD55 IL1B IL3RA					CD14 CD38 CD44 CSF1R CSF2RA IL1B IL2RA IL3RA IL7R		CD44 IL1B IL3RA
Intestinal_immune_network_for_IgA_production	CD40 CD86	CXCR4 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5		HLA-DMA HLA-DQB1	CD80 CXCR4 HLA-DQA1 HLA-DRB1 TNFSF13B				HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CD80 CD86 HLA-DPB1 HLA-DQA1 IL15RA TNFSF13B		
Leishmaniasis	IFNGR2 STAT1	HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL1B TLR2		FCGR1A FCGR3A HLA-DMA HLA-DQB1 IFNGR1	FCGR2A HLA-DQA1 HLA-DRB1 IL1B NCF1 NFKBIA TLR2				HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 NCF2		FCGR2A FCGR3A HLA-DPB1 HLA-DQA1 IFNGR1 IFNGR2 IL1B NCF1 NFKB1 NFKBIA TLR2		IL1B NCF1 NCF2 NFKBIA STAT1
Measles	IFNGR2 OAS1 STAT1	IFNGR1 IL1B IL2RA TLR2			IL1B IL2RA MX1 NFKBIA SLAMF1 TLR2 TNFSF10						DDX58 FCGR2B HSPA1A IFIH1 IFNGR1 IFNGR2 IL1B IL2RA IRF7 MX1 NFKB1 NFKBIA OAS1 OAS2 OAS3 SLAMF1 STAT2 TLR2 TNFSF10		HSPA1A IL1B IRF7 MX1 NFKBIA STAT1 TNFSF10
Mineral_absorption				ATOX1 ATP2B1 FTH1 MT1H MT1X	FTH1 MT1G MT1M MT1X	MT1F MT1G MT1H MT1M MT1X SLC11A1	FTH1 MT1E MT1F MT1G MT1H MT2A	FTH1 MT1E MT1F MT1H MT1X MT2A			ATOX1 FTH1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A		FTH1 MT1E MT1F MT1G MT1H MT1M MT1X MT2A
Osteoclast_differentiation	IFNGR2 LILRB1 SOCS3 STAT1			FCGR1A FCGR3A IFNGR1	FCGR2A IL1B JUNB LILRA1 NCF1 NFKBIA						CSF1R CYBB FCGR2A FCGR2B FCGR3A IFNGR1 IFNGR2 IL1B LILRB1 LILRB2 LILRB4 NCF1 NFKB1 NFKB2 NFKBIA SOCS3 STAT2		IL1B NCF1 NCF2 NFKBIA STAT1
Oxidative_phosphorylation									ATP5G3 MT-ND2 NDUFB6			ATP6V1D MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9	
PPAR_signaling_pathway			ACOX2 FABP5 LPL PPARG			ACSL4 LPL UBC				DBI FABP3 FABP4 FABP5 SCD	ACSL1 GK OLR1 PCK2 UBC	DBI FABP4 FABP5	
Parkinson's_disease									ATP5G3 MT-ND2 NDUFB6 SLC25A5			MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9 UCHL1	
Pathogenic_Escherichia_coli_infection		CD14 YWHAQ	ACTB ACTG1 TUBA1A TUBA1B TUBB TUBB2A TUBB4B YWHAQ			ACTB ACTG1 CD14 TUBA1A TUBB							
Phagosome		CD14 CTSS CYBB HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 MARCO TLR2	ACTB ACTG1 ATP6V1D C3 CALR CORO1A TUBA1A TUBA1B TUBB TUBB2A TUBB4B	CD14 FCGR1A FCGR3A HLA-DMA HLA-DQB1 MARCO	CD14 CTSS FCGR2A HLA-A HLA-DQA1 HLA-DRB1 NCF1 OLR1 TLR2	ACTB ACTG1 CD14 CORO1A MARCO TLR2 TUBA1A TUBB			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 MRC1 NCF2		CD14 CYBB FCGR2A FCGR2B FCGR3A HLA-A HLA-DPB1 HLA-DQA1 HLA-E MARCO MRC1 NCF1 OLR1 TLR2		
Rheumatoid_arthritis	CCL2 CD86	CCL20 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B TLR2		HLA-DMA HLA-DQB1	CCL3 CD80 HLA-DQA1 HLA-DRB1 IL18 IL1B TLR2 TNFSF13B	CCL2 CCL20 CCL3 CCL3L3 IL1B TLR2			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CCL2 CCL20 CCL3 CCL3L3 CCL5 CD80 CD86 HLA-DPB1 HLA-DQA1 ICAM1 IL18 IL1B TLR2 TNFSF13B		CCL20 CCL3 CCL3L3 CCL5 CD80 CD86 ICAM1 IL1B
Staphylococcus_aureus_infection		C3AR1 FPR2 HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 PTAFR		FCGR1A FCGR3A FPR1 HLA-DMA HLA-DQB1	C1QA C1QB C2 CFD FCGR2A FPR1 FPR2 HLA-DQA1 HLA-DRB1 PTAFR	C1QC C5AR1			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		C1QA C1QB C1QC C2 C3AR1 FCGR2A FCGR2B FCGR3A FPR1 FPR2 HLA-DPB1 HLA-DQA1 ICAM1 PTAFR		
Systemic_lupus_erythematosus		HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5		FCGR1A FCGR3A HLA-DMA HLA-DQB1	C1QA C1QB C2 CD80 FCGR2A HIST1H2AC HLA-DQA1 HLA-DRB1				HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		C1QA C1QB C1QC C2 CD80 CD86 FCGR2A FCGR2B FCGR3A H3F3B HIST1H2AC HIST1H2BC HLA-DPB1 HLA-DQA1 SSB		
Toll-like_receptor_signaling_pathway	CD40 CD86 STAT1	CD14 IL1B TLR2			CCL3 CCL4 CD14 CD80 IL1B NFKBIA TLR2	CCL3 CCL4 CD14 IL1B SPP1 TLR2	CCL4 IL1B				CCL3 CCL4 CCL5 CD14 CD80 CD86 IL1B IRF7 MAP3K8 NFKB1 NFKBIA TLR2		CCL3 CCL4 CCL5 CD80 CD86 IL1B IRF7 MAP3K8 NFKBIA SPP1 STAT1
Toxoplasmosis	BIRC3 CD40 IFNGR2 STAT1	HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL10RA TLR2		HLA-DMA HLA-DQB1 IFNGR1					HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		HLA-DPB1 HLA-DQA1 HSPA1A IFNGR1 IFNGR2 IL10RA NFKB1 NFKBIA TLR2		
Tuberculosis	BID IFNGR2 STAT1	CD14 CD74 CLEC4E CTSS HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IFNGR1 IL10RA IL1B TLR2		CD14 FCGR1A FCGR3A HLA-DMA HLA-DQB1 IFNGR1	CD14 CD74 CLEC4E CTSS CYP27B1 FCGR2A HLA-DQA1 HLA-DRB1 IL10RA IL18 IL1B TLR2	CALM1 CD14 CORO1A IL1B TLR2			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 MRC1		CD14 CLEC4E FCGR2A FCGR2B FCGR3A HLA-DPB1 HLA-DQA1 IFNGR1 IFNGR2 IL10RA IL18 IL1B MRC1 NFKB1 RIPK2 TLR2		
Type_I_diabetes_mellitus		HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B		HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DRB1 IL1B				HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E IL1B		CD80 CD86 HLA-E IL1B
Viral_myocarditis	BID CD40 CD86	HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5	ACTB ACTG1 CYCS	HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DRB1	ACTB ACTG1 CD55			HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1		CD80 CD86 HLA-A HLA-DPB1 HLA-DQA1 HLA-E ICAM1		CD80 CD86 HLA-E ICAM1
